"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.284698573,      -5.300112177,      -6.421032795,      -6.123929676,      -4.713187049
          0,           0,           1,      -5.157722266,      -4.962802055,      -5.315431728,      -5.082121053,      -4.581949248
          0,           0,           2,      -4.964241854,      -4.789233013,      -5.188000225,      -5.033556273,       -4.38434515
          0,           0,           3,      -4.842197389,      -4.699158473,      -5.109065513,      -4.929593835,      -4.270635437
          0,           0,           4,       -4.78241575,      -4.661802666,      -5.033633548,      -4.855463501,      -4.209942157
          0,           0,           5,       -4.75941721,       -4.69734968,      -4.977400978,      -4.807661407,       -4.18895828
          0,           0,           6,      -4.739156513,      -4.817892661,      -5.008473285,      -4.852026081,      -4.180092105
          0,           0,           7,      -4.721930742,      -4.849600659,       -5.00484843,      -4.882610328,      -4.147127031
          0,           0,           8,      -4.734207296,      -4.807382457,      -4.985920149,      -4.858807619,      -4.161191134
          0,           0,           9,      -4.754968142,      -4.794074216,       -5.00452344,      -4.849208112,       -4.17762727
          0,           0,          10,      -4.821716673,       -4.88446709,      -5.058112119,      -4.889419727,      -4.239059857
          0,           0,          11,      -4.860714527,      -4.999772095,      -5.131855597,      -4.980462123,      -4.302329156
          0,           0,          12,      -4.892323571,      -5.085076557,      -5.211630198,      -5.076611575,      -4.335736315
          0,           0,          13,      -4.964674027,      -5.135968686,      -5.254591966,      -5.120259075,      -4.388840746
          0,           0,          14,      -5.024228749,       -5.15918761,      -5.279851875,      -5.150974211,      -4.453107216
          0,           0,          15,      -5.066698008,      -5.165799273,      -5.321511034,      -5.201441129,      -4.492741544
          0,           0,          16,      -5.126018974,      -5.190857714,       -5.38580702,      -5.267493445,      -4.541684483
          0,           0,          17,       -5.19670687,        -5.2513343,      -5.482006346,      -5.341517822,      -4.609268121
          0,           0,          18,      -5.261238612,      -5.323159214,      -5.567947794,      -5.397308975,      -4.689276909
          0,           0,          19,      -5.330416537,      -5.414295746,      -5.658269348,        -5.4586521,      -4.762821334
          0,           0,          20,      -5.420571326,      -5.514589193,      -5.728877317,      -5.532329907,      -4.842954398
          0,           0,          21,       -5.51734688,      -5.621814345,      -5.784223344,      -5.627053733,      -4.930840817
          0,           0,          22,      -5.609332686,      -5.727641656,      -5.841896333,      -5.736032814,      -5.021779837
          0,           0,          23,      -5.700316962,      -5.826375586,      -5.917473157,      -5.846676483,      -5.113573322
          0,           0,          24,      -5.795769616,      -5.918679777,      -6.014706746,      -5.942239422,      -5.210352443
          0,           0,          25,      -5.896894221,      -6.008385057,      -6.132297596,      -6.021880803,      -5.311757163
          0,           0,          26,      -6.001010008,      -6.094903604,      -6.260038176,      -6.099316972,      -5.415411074
          0,           0,          27,      -6.103245088,      -6.176436529,      -6.380231512,       -6.18929243,      -5.517301778
          0,           0,          28,      -6.201336542,      -6.254195443,      -6.480877524,       -6.29995434,       -5.61531663
          0,           0,          29,      -6.298515869,       -6.33374692,      -6.566326731,       -6.42995214,      -5.712640935
