"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.301254278,      -3.364132341,      -3.879700987
          0,           0,           1,      -3.530702057,      -1.993304323,       -1.93744862
          0,           0,           2,      -3.818164947,      -2.654439665,      -2.678581792
          0,           0,           3,      -4.380158338,      -2.992270183,      -3.077856855
          0,           0,           4,       -4.65589467,        -3.1719957,      -3.271119066
          0,           0,           5,      -4.803180756,      -3.292705233,      -3.462165283
          0,           0,           6,      -4.901003078,      -3.441679312,      -3.659310207
          0,           0,           7,      -5.029768582,      -3.586537503,      -3.850689707
          0,           0,           8,      -5.181812663,      -3.747637342,      -4.034139201
          0,           0,           9,      -5.277018473,      -3.916037656,      -4.242790588
          0,           0,          10,      -5.353916675,      -4.073308361,      -4.455892938
          0,           0,          11,      -5.414520419,      -4.225614064,      -4.662584712
          0,           0,          12,      -5.471746749,      -4.375008073,      -4.863775449
          0,           0,          13,      -5.538541605,      -4.515424928,      -5.056154619
          0,           0,          14,      -5.617678885,      -4.642899809,      -5.232786379
          0,           0,          15,      -5.707384889,       -4.75662837,      -5.378807092
          0,           0,          16,      -5.803838601,      -4.861754361,      -5.489430101
          0,           0,          17,      -5.907782438,      -4.962033233,      -5.578527947
          0,           0,          18,      -6.017061154,      -5.059500249,      -5.659788576
          0,           0,          19,      -6.128328732,       -5.15536739,      -5.739350161
          0,           0,          20,      -6.241084404,      -5.251205546,      -5.821342933
          0,           0,          21,      -6.355896808,      -5.347988005,      -5.905658459
          0,           0,          22,      -6.470624676,      -5.445928527,      -5.991415684
          0,           0,          23,      -6.582989139,      -5.545441475,      -6.079480483
          0,           0,          24,      -6.693678547,      -5.647662972,       -6.17184121
          0,           0,          25,      -6.803704556,      -5.753046814,      -6.267106369
          0,           0,          26,      -6.913202018,       -5.86196379,      -6.366188149
          0,           0,          27,      -7.022344209,       -5.97511533,      -6.471378954
          0,           0,          28,      -7.131076197,      -6.092235741,      -6.581463156
          0,           0,          29,      -7.239024469,      -6.212064742,      -6.691826938
          0,           0,          30,      -7.346606633,       -6.33491277,      -6.805476031
          0,           0,          31,      -7.453908418,      -6.461173076,      -6.924093845
          0,           0,          32,      -7.561390813,      -6.591215488,      -7.047668345
          0,           0,          33,      -7.669077764,      -6.725028197,       -7.17552363
          0,           0,          34,      -7.776317898,      -6.862034065,      -7.306035704
          0,           0,          35,      -7.882934977,      -7.001406164,      -7.437421668
          0,           0,          36,      -7.989271612,      -7.142467183,      -7.568770123
          0,           0,          37,      -8.095446989,      -7.284693668,      -7.699747225
          0,           0,          38,      -8.201492664,      -7.427684116,      -7.830038854
          0,           0,          39,      -8.307677181,      -7.571154995,      -7.959229055
          0,           0,          40,      -8.414225494,        -7.7146251,      -8.086480917
          0,           0,          41,      -8.521152983,      -7.857136595,      -8.210524586
          0,           0,          42,      -8.628500304,       -7.99754858,      -8.330509153
          0,           0,          43,      -8.736377021,      -8.134975452,      -8.446542073
          0,           0,          44,      -8.844806042,      -8.268894533,      -8.559307952
          0,           0,          45,      -8.953734505,      -8.399125989,      -8.669573745
          0,           0,          46,      -9.063141007,      -8.525827424,      -8.778001036
          0,           0,          47,      -9.173033415,      -8.649366892,       -8.88507774
          0,           0,          48,      -9.283395398,      -8.770182758,      -8.991179028
          0,           0,          49,      -9.394196263,      -8.888779262,      -9.096675858
          0,           0,          50,       -9.50542568,      -9.005713473,      -9.201902365
          0,           0,          51,      -9.617074756,      -9.121499875,      -9.307086676
          0,           0,          52,      -9.729127555,      -9.236546074,      -9.412390456
          0,           0,          53,      -9.841585667,      -9.351221117,      -9.517910695
          0,           0,          54,      -9.954482514,       -9.46586575,      -9.623725191
          0,           0,          55,      -10.06783713,      -9.580743188,      -9.729915382
          0,           0,          56,      -10.18165106,      -9.696005936,        -9.8365458
          0,           0,          57,      -10.29590969,      -9.811753529,      -9.943720035
          0,           0,          58,      -10.41061779,      -9.927979173,      -10.05143621
          0,           0,          59,      -10.52576662,      -10.04469251,       -10.1597473
          0,           0,          60,      -10.64134946,       -10.1618714,      -10.26866889
          0,           0,          61,      -10.75735553,      -10.27948789,      -10.37821198
          0,           0,          62,      -10.87377558,      -10.39751473,      -10.48838764
          0,           0,          63,      -10.99059721,      -10.51592013,      -10.59920078
          0,           0,          64,      -11.10780383,      -10.63466518,      -10.71064987
          0,           0,          65,      -11.22537963,      -10.75371112,      -10.82273052
          0,           0,          66,      -11.34331094,      -10.87301249,      -10.93543146
          0,           0,          67,      -11.46157955,      -10.99252839,      -11.04874724
          0,           0,          68,       -11.5801693,      -11.11223468,      -11.16267378
          0,           0,          69,      -11.69906619,      -11.23212194,      -11.27720518
          0,           0,          70,      -11.81824119,      -11.35217253,      -11.39233133
          0,           0,          71,      -11.93768255,      -11.47237444,      -11.50803608
          0,           0,          72,      -12.05733597,      -11.59267548,      -11.62429955
          0,           0,          73,       -12.1771949,      -11.71306524,      -11.74110523
          0,           0,          74,      -12.29725364,      -11.83351583,      -11.85842885
          0,           0,          75,      -12.41746317,       -11.9540108,      -11.97625134
          0,           0,          76,       -12.5377832,      -12.07453824,      -12.09455679
          0,           0,          77,      -12.65810164,      -12.19512423,      -12.21329775
          0,           0,          78,      -12.77847103,      -12.31572439,      -12.33245707
          0,           0,          79,      -12.89879197,      -12.43629485,      -12.45202171
          0,           0,          80,      -13.01863407,      -12.55675522,      -12.57192467
          0,           0,          81,      -13.13739808,      -12.67698336,      -12.69219292
          0,           0,          82,      -13.25894548,      -12.79787878,      -12.81281617
          0,           0,          83,      -13.37575512,      -12.91773822,      -12.93344053
          0,           0,          84,      -13.48883966,      -13.03668419,       -13.0538956
          0,           0,          85,      -13.58679121,      -13.15260226,      -13.17407684
          0,           0,          86,      -13.68543153,      -13.26805423,      -13.29275955
          0,           0,          87,      -13.80307695,      -13.38642436,      -13.41560843
          0,           0,          88,       -13.9203457,      -13.50760829,      -13.53384031
          0,           0,          89,      -13.87439709,      -13.56885177,      -13.63822886
          0,           0,          90,      -13.99309488,      -13.68714915,      -13.74907393
          0,           0,          91,      -14.04675624,      -13.77258835,      -13.87121971
          0,           0,          92,       -13.9899164,      -13.77368151,      -13.91201937
          0,           0,          93,      -14.08080199,      -13.88691794,      -14.00450496
          0,           0,          94,      -13.92486705,      -13.78725106,      -14.00009213
          0,           0,          95,       -14.0077374,      -13.86794162,      -14.03935922
          0,           0,          96,       -14.0149152,      -13.88017718,      -14.11430952
          0,           0,          97,      -14.06062334,      -13.93004261,      -14.13802438
          0,           0,          98,      -13.96671463,      -13.84487796,      -14.06294549
          0,           0,          99,      -14.09653446,      -13.97920694,      -14.18901005
          0,           0,         100,       -13.9704903,      -13.85787614,      -14.13408143
          0,           0,         101,      -14.03866186,      -13.92741159,      -14.11243806
          0,           0,         102,      -14.08024311,      -13.95749098,       -14.1864215
          0,           0,         103,      -14.08125995,      -13.95718011,      -14.20695894
          0,           0,         104,      -14.00295228,      -13.86888328,      -14.14060147
          0,           0,         105,      -14.05981368,      -13.92294967,      -14.17178113
          0,           0,         106,      -14.11744697,       -13.9758038,      -14.19969799
          0,           0,         107,      -14.07293538,      -13.95521602,      -14.16194591
          0,           0,         108,      -14.05479497,      -13.91659888,      -14.12664275
          0,           0,         109,      -13.98944663,      -13.85472285,      -14.11513735
          0,           0,         110,      -14.05095699,      -13.92626614,      -14.12528955
          0,           0,         111,      -14.13667499,      -13.99797741,      -14.20945989
          0,           0,         112,      -13.99186176,      -13.86312934,      -14.14609895
          0,           0,         113,      -14.09628173,      -13.98522257,      -14.11987504
          0,           0,         114,      -14.03172491,      -13.91304031,      -14.13824949
          0,           0,         115,      -14.08912171,      -13.95725347,      -14.21137249
          0,           0,         116,      -14.07670986,       -13.9550816,      -14.15323464
          0,           0,         117,      -14.01513772,      -13.91031865,      -14.12751554
          0,           0,         118,      -14.05346766,      -13.92895231,      -14.17202694
          0,           0,         119,      -14.08094277,      -13.95601315,      -14.16835375
          0,           0,         120,       -14.0652403,      -13.93350566,      -14.12866998
          0,           0,         121,       -13.9960981,      -13.87953311,      -14.14325132
          0,           0,         122,      -14.09715294,      -13.97295346,      -14.17033017
          0,           0,         123,       -14.0169811,      -13.88145638,      -14.08477822
          0,           0,         124,      -13.99382381,      -13.85918317,      -14.11993163
          0,           0,         125,      -13.99557607,      -13.86412149,      -14.08620922
          0,           0,         126,      -14.07113442,      -13.95407269,      -14.16704461
          0,           0,         127,      -14.10723642,      -13.98935063,      -14.13054779
          0,           0,         128,      -14.03205315,      -13.91005228,      -14.17374553
          0,           0,         129,      -14.07013921,      -13.94415349,      -14.14402133
          0,           0,         130,      -14.02624078,       -13.8882398,        -14.089889
          0,           0,         131,       -13.9798393,      -13.83551715,      -14.12029862
          0,           0,         132,      -14.07696068,      -13.93060237,      -14.15251226
          0,           0,         133,      -14.02981663,      -13.90817632,      -14.13635771
          0,           0,         134,      -14.08400045,      -13.96094334,      -14.13934679
