"Pressure","Points:0","Points:1","Points:2"
1.0832,0.79465,0,-0.0015307
1.0722,0.78312,0,-0.0030657
1.0565,0.77104,0,-0.004644
1.042,0.75822,0,-0.0062955
1.0266,0.74447,0,-0.0080327
1.0117,0.72968,0,-0.0098515
0.99702,0.71372,0,-0.011744
0.98344,0.69654,0,-0.013697
0.97096,0.67809,0,-0.015702
0.95981,0.65836,0,-0.017748
0.94965,0.63738,0,-0.019828
0.94013,0.61518,0,-0.021939
0.93069,0.59183,0,-0.024072
0.92095,0.56742,0,-0.026215
0.91081,0.54204,0,-0.028347
0.90076,0.5158,0,-0.030431
0.89186,0.48885,0,-0.03242
0.88556,0.46131,0,-0.034259
0.88313,0.43334,0,-0.035886
0.88519,0.4051,0,-0.037245
0.89159,0.37676,0,-0.038293
0.9016,0.34848,0,-0.039003
0.91413,0.32045,0,-0.039371
0.92801,0.29283,0,-0.03941
0.94219,0.26579,0,-0.039149
0.9558,0.23949,0,-0.038624
0.96833,0.2141,0,-0.037873
1.0904,0.8323,0.13249,-0.0014565
1.0789,0.82136,0.13264,-0.0029168
1.0652,0.80991,0.13278,-0.0044182
1.0519,0.79776,0.13294,-0.0059892
1.038,0.78474,0.1331,-0.0076413
1.0243,0.77071,0.13327,-0.009371
1.0108,0.75559,0.13344,-0.01117
0.9981,0.7393,0.13362,-0.013027
0.98614,0.72181,0.13381,-0.014933
0.97514,0.70312,0.13399,-0.016877
0.96482,0.68323,0.13418,-0.018854
0.95494,0.66219,0.13437,-0.02086
0.94502,0.64006,0.13456,-0.022886
0.93477,0.61691,0.13475,-0.024922
0.92402,0.59285,0.13494,-0.026946
0.91297,0.56798,0.13512,-0.028926
0.9023,0.54243,0.13529,-0.030815
0.89317,0.51632,0.13545,-0.03256
0.88692,0.4898,0.13559,-0.034104
0.88467,0.46301,0.13569,-0.035395
0.88684,0.43611,0.13578,-0.03639
0.89312,0.40926,0.13583,-0.037064
0.90262,0.38262,0.13584,-0.037413
0.9142,0.35637,0.13583,-0.03745
0.92672,0.33066,0.1358,-0.037203
0.93923,0.30564,0.13574,-0.036705
0.9511,0.28147,0.13566,-0.035992
1.0981,0.86923,0.26246,-0.0013837
1.0864,0.85889,0.26274,-0.0027709
1.0731,0.84806,0.26304,-0.0041969
1.06,0.83656,0.26334,-0.0056887
1.0465,0.82424,0.26366,-0.0072575
1.0331,0.81097,0.264,-0.0088997
1.0199,0.79667,0.26434,-0.010607
1.0073,0.78126,0.2647,-0.01237
0.99547,0.76472,0.26506,-0.014179
0.98445,0.74703,0.26543,-0.016024
0.97395,0.72821,0.26581,-0.017899
0.96372,0.70831,0.26618,-0.019801
0.95326,0.68737,0.26656,-0.021723
0.94227,0.66547,0.26694,-0.023654
0.93047,0.64271,0.26731,-0.025573
0.91797,0.61918,0.26767,-0.02745
0.9053,0.595,0.26801,-0.02924
0.89354,0.57029,0.26832,-0.030895
0.88409,0.54518,0.26858,-0.032358
0.87839,0.51981,0.2688,-0.033581
0.87728,0.49433,0.26896,-0.034523
0.88079,0.46888,0.26906,-0.035163
0.88816,0.44362,0.2691,-0.035494
0.89825,0.41871,0.26908,-0.035529
0.90982,0.3943,0.26901,-0.035294
0.92181,0.37054,0.26889,-0.034823
0.93347,0.34757,0.26873,-0.034148
1.1006,0.90487,0.38768,-0.0013137
1.089,0.89509,0.3881,-0.0026304
1.0759,0.88486,0.38853,-0.0039839
1.063,0.87399,0.38898,-0.0053997
1.0498,0.86235,0.38945,-0.0068883
1.0368,0.84981,0.38995,-0.0084463
1.024,0.83629,0.39046,-0.010066
1.0119,0.82173,0.39098,-0.011738
1.0005,0.80609,0.39152,-0.013453
0.98987,0.78938,0.39207,-0.015202
0.97976,0.77159,0.39262,-0.01698
0.96985,0.75278,0.39318,-0.018783
0.95965,0.73299,0.39373,-0.020605
0.94884,0.71229,0.39429,-0.022434
0.93714,0.69078,0.39484,-0.024252
0.92464,0.66854,0.39537,-0.02603
0.91168,0.64568,0.39587,-0.027725
0.89905,0.62232,0.39633,-0.029292
0.88802,0.59857,0.39673,-0.030678
0.88016,0.57457,0.39705,-0.031835
0.87665,0.55045,0.39729,-0.032728
