Pressure,Points:0,,,,,,,,,,,,,,,
1.3884,0.35154,,,,,,,,,,,,,,,
1.3806,0.35148,,,,,,,,,,,,,,,
1.3626,0.35154,,,,,,,,,,,,,,,
1.2834,0.35181,,,,,,,,,,,,,,,
1.2522,0.35205,,,,,,,,,,,,,,,
1.118,0.35309,,,,,,,,,,,,,,,
1.0736,0.35364,,,,,,,,,,,,,,,
0.89531,0.35586,,,,,,,,,,,,,,,
0.71696,0.35952,,,,,,,,,,,,,,,
0.66146,0.36068,,,,,,,,,,,,,,,
0.5579,0.36599,,,,,,,,,,,,,,,
0.51854,0.36814,,,,,,,,,,,,,,,
0.50135,0.37489,,,,,,,,,,,,,,,
0.49412,0.37854,,,,,,,,,,,,,,,
0.5233,0.38632,,,,,,,,,,,,,,,
0.54514,0.39228,,,,,,,,,,,,,,,
0.57469,0.40057,,,,,,,,,,,,,,,
0.60695,0.41023,,,,,,,,,,,,,,,
0.62226,0.41804,,,,,,,,,,,,,,,
0.65176,0.43366,,,,,,,,,,,,,,,
0.65597,0.43913,,,,,,,,,,,,,,,
0.67446,0.46353,,,,,,,,,,,,,,,
0.67488,0.46409,,,,,,,,,,,,,,,
0.67497,0.46422,,,,,,,,,,,,,,,
0.67633,0.49472,,,,,,,,,,,,,,,
0.67682,0.50401,,,,,,,,,,,,,,,
0.67149,0.53003,,,,,,,,,,,,,,,
0.67167,0.55582,,,,,,,,,,,,,,,
0.67356,0.56966,,,,,,,,,,,,,,,
0.69089,0.59705,,,,,,,,,,,,,,,
0.70084,0.6142,,,,,,,,,,,,,,,
0.70963,0.62323,,,,,,,,,,,,,,,
0.78158,0.66567,,,,,,,,,,,,,,,
0.80153,0.6776,,,,,,,,,,,,,,,
0.83726,0.69721,,,,,,,,,,,,,,,
0.8676,0.71592,,,,,,,,,,,,,,,
0.89968,0.74064,,,,,,,,,,,,,,,
0.93107,0.76741,,,,,,,,,,,,,,,
0.95136,0.78601,,,,,,,,,,,,,,,
0.96522,0.8026,,,,,,,,,,,,,,,
0.98599,0.83236,,,,,,,,,,,,,,,
1.0009,0.85383,,,,,,,,,,,,,,,
1.0117,0.86799,,,,,,,,,,,,,,,
1.0307,0.88909,,,,,,,,,,,,,,,
1.0364,0.89537,,,,,,,,,,,,,,,
1.056,0.9141,,,,,,,,,,,,,,,
1.0584,0.91641,,,,,,,,,,,,,,,
1.0785,0.93219,,,,,,,,,,,,,,,
1.0789,0.93257,,,,,,,,,,,,,,,
1.0853,0.93716,,,,,,,,,,,,,,,
1.0962,0.945,,,,,,,,,,,,,,,
