"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,       -9.67238369,      -16.04734865,       -10.9443717,      -4.268030877,      -10.91798621
          0,           0,           1,      -5.205303107,      -5.083384114,      -5.636634277,      -4.854742507,       -4.56887441,      -11.62791042
          0,           0,           2,      -5.202161553,      -4.996110057,      -5.205127187,      -5.058722593,      -4.567260848,      -11.62314606
          0,           0,           3,      -5.137467901,      -4.990865068,      -4.992494943,      -4.885885149,       -4.52054217,      -11.50004014
          0,           0,           4,       -5.03326557,      -4.964808422,      -4.894737032,      -4.790035553,      -4.424239511,      -11.44983499
          0,           0,           5,      -4.976886388,      -4.952109122,      -4.861918615,       -4.77627932,       -4.37095197,       -11.4372061
          0,           0,           6,      -4.951060474,      -4.957850246,      -4.872074179,      -4.805233675,      -4.345917414,      -11.41496708
          0,           0,           7,      -4.925363567,       -4.97865186,      -4.900047818,       -4.84081185,      -4.322407964,      -11.38640034
          0,           0,           8,      -4.899263818,      -5.019842645,      -4.928415931,      -4.870714465,      -4.300675035,      -11.37493605
          0,           0,           9,      -4.886291894,      -5.057390252,      -4.961850715,      -4.907330416,      -4.288857599,      -11.38436908
          0,           0,          10,      -4.885976008,      -5.051778767,      -5.002617199,      -4.952519566,      -4.283477351,      -11.40762187
          0,           0,          11,      -4.897040872,      -5.022244701,      -5.049996995,      -4.996135613,      -4.287326242,      -11.43732896
          0,           0,          12,       -4.92086576,      -5.015837331,      -5.108733158,      -5.041250346,      -4.308245818,      -11.46867174
          0,           0,          13,      -4.954574032,      -5.045476681,      -5.177256027,      -5.098529499,      -4.344932419,      -11.50094227
          0,           0,          14,      -4.992705418,      -5.097020003,      -5.243000916,      -5.165772479,      -4.387857024,      -11.53495618
          0,           0,          15,      -5.032120312,      -5.148938257,       -5.29636687,      -5.227634164,      -4.428685011,      -11.57215095
          0,           0,          16,      -5.072404951,       -5.19163977,      -5.342097929,      -5.275003364,      -4.466268511,      -11.61250645
          0,           0,          17,      -5.114142965,      -5.232827252,      -5.390896612,      -5.316217785,      -4.504501256,      -11.65382409
          0,           0,          18,      -5.158196917,      -5.283078493,       -5.44804705,      -5.364036124,         -4.547086,      -11.69041287
          0,           0,          19,      -5.205202194,      -5.344473267,      -5.511219601,      -5.423217559,      -4.594805169,      -11.71461536
          0,           0,          20,      -5.254973905,      -5.410449078,       -5.57412581,      -5.490064442,      -4.645884271,      -11.71935131
