Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,1.00032,0,79.8032,-0,1.6734e-07,0,0,0,0,0,0,1,5.3522e-08,0,1,31.9213,0.350465,2.34188e-17,1.43232e-07,0,1.43232e-07,1.0052,0,0,0,0,0.00282772
1,0.999085,0,79.7061,-0,1.67341e-07,0,0,0,0,0,0,0.997966,-0.000288179,0,0.997966,31.8824,0.272807,0.0123553,0.00174829,0,0.0124784,1.00522,0,0,0,0,0.833509
2,0.999632,0,79.7484,-0,1.67339e-07,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8994,0.306672,0.00741715,0.00104665,0,0.00749063,1.0052,0,0,0,0,0.643954
3,0.998936,0,79.6902,-0,1.67335e-07,0,0,0,0,0,0,0.993438,-0.000927049,0,0.993439,31.8761,0.260087,0.00570063,0.000802067,0,0.00575678,1.00517,0,0,0,0,0.562705
4,0.998738,0,79.6705,-0,1.67329e-07,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8682,0.244368,0.00514717,0.000721918,0,0.00519755,1.00512,0,0,0,0,0.533196
5,0.998513,0,79.6485,-0,1.67322e-07,0,0,0,0,0,0,0.988228,-0.00165789,0,0.988229,31.8594,0.226734,0.00497509,0.000695434,0,0.00502346,1.00507,0,0,0,0,0.522834
6,0.998333,0,79.63,-0,1.67315e-07,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.852,0.211967,0.00493607,0.000687497,0,0.00498372,1.00501,0,0,0,0,0.519517
7,0.998161,0,79.6126,-0,1.67309e-07,0,0,0,0,0,0,0.982239,-0.00249197,0,0.982242,31.845,0.197992,0.00494455,0.00068603,0,0.00499191,1.00497,0,0,0,0,0.518788
8,0.998006,0,79.5965,-0,1.67303e-07,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8386,0.185142,0.00497148,0.000686933,0,0.00501871,1.00492,0,0,0,0,0.519105
9,0.997858,0,79.5812,-0,1.67297e-07,0,0,0,0,0,0,0.975369,-0.00344128,0,0.975375,31.8325,0.172895,0.00500469,0.000688491,0,0.00505182,1.00488,0,0,0,0,0.519815
10,0.997718,0,79.5666,-0,1.67292e-07,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8266,0.161227,0.00503894,0.000689962,0,0.00508596,1.00483,0,0,0,0,0.520639
11,0.997584,0,79.5525,-0,1.67286e-07,0,0,0,0,0,0,0.967502,-0.00451843,0,0.967513,31.821,0.149966,0.00507194,0.000691021,0,0.0051188,1.00479,0,0,0,0,0.521453
12,0.997455,0,79.5389,-0,1.67281e-07,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8156,0.139064,0.00510297,0.00069156,0,0.00514962,1.00475,0,0,0,0,0.522217
13,0.99733,0,79.5256,-0,1.67275e-07,0,0,0,0,0,0,0.958515,-0.00573636,0,0.958532,31.8103,0.128449,0.00513195,0.00069156,0,0.00517834,1.00471,0,0,0,0,0.522923
14,0.997208,0,79.5127,-0,1.6727e-07,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8051,0.118081,0.00515901,0.000691032,0,0.00520508,1.00466,0,0,0,0,0.523576
