Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.997,0,0,0,79.477,0,31.791,1.0044,0,0.089595,0,0,0,1.67E-07,-3.49E-13,-0.0021376,0,0,0.34508,0,1,5.35E-08,0
0.99666,0,0,0,79.464,0,31.786,1.0046,0,0.079152,0,0,0,1.67E-07,0.017541,0.0024821,0,0,0.99242,0,0.99797,-0.00028818,0
0.99772,0,0,0,79.555,0,31.822,1.0047,0,0.15155,0,0,0,1.67E-07,0.010146,0.0014318,0,0,0.75275,0,0.99578,-0.00059679,0
0.99719,0,0,0,79.516,0,31.806,1.0047,0,0.12034,0,0,0,1.67E-07,0.0075123,0.001057,0,0,0.64562,0,0.99344,-0.00092705,0
0.99717,0,0,0,79.516,0,31.806,1.0047,0,0.12042,0,0,0,1.67E-07,0.0065867,0.00092382,0,0,0.60287,0,0.99092,-0.0012803,0
0.99711,0,0,0,79.51,0,31.804,1.0047,0,0.11632,0,0,0,1.67E-07,0.0062343,0.00087146,0,0,0.58501,0,0.98823,-0.0016579,0
0.99708,0,0,0,79.508,0,31.803,1.0047,0,0.11461,0,0,0,1.67E-07,0.0060865,0.00084773,0,0,0.57665,0,0.98534,-0.0020613,0
0.99706,0,0,0,79.506,0,31.803,1.0047,0,0.11299,0,0,0,1.67E-07,0.0060156,0.00083463,0,0,0.57201,0,0.98224,-0.002492,0
0.99704,0,0,0,79.505,0,31.802,1.0047,0,0.11226,0,0,0,1.67E-07,0.0059779,0.000826,0,0,0.56903,0,0.97892,-0.0029514,0
0.99703,0,0,0,79.505,0,31.802,1.0047,0,0.11182,0,0,0,1.67E-07,0.005955,0.00081922,0,0,0.56684,0,0.97537,-0.0034413,0
0.99702,0,0,0,79.505,0,31.802,1.0048,0,0.11176,0,0,0,1.67E-07,0.0059386,0.00081315,0,0,0.56505,0,0.97157,-0.0039631,0
0.99702,0,0,0,79.505,0,31.802,1.0048,0,0.11193,0,0,0,1.67E-07,0.0059252,0.00080727,0,0,0.56347,0,0.9675,-0.0045184,0
0.99702,0,0,0,79.506,0,31.802,1.0048,0,0.11234,0,0,0,1.67E-07,0.0059133,0.00080137,0,0,0.56202,0,0.96316,-0.005109,0
0.99702,0,0,0,79.506,0,31.803,1.0048,0,0.11294,0,0,0,1.67E-07,0.0059023,0.00079538,0,0,0.56069,0,0.95852,-0.0057364,0
0.99703,0,0,0,79.507,0,31.803,1.0048,0,0.11372,0,0,0,1.67E-07,0.0058923,0.00078925,0,0,0.55945,0,0.95356,-0.0064022,0
0.99704,0,0,0,79.508,0,31.803,1.0048,0,0.11468,0,0,0,1.67E-07,0.005883,0.00078298,0,0,0.5583,0,0.94827,-0.007108,0
0.99705,0,0,0,79.51,0,31.804,1.0048,0,0.11581,0,0,0,1.67E-07,0.0058745,0.00077656,0,0,0.55725,0,0.94264,-0.0078555,0
0.99706,0,0,0,79.511,0,31.805,1.0048,0,0.1171,0,0,0,1.67E-07,0.0058668,0.00076997,0,0,0.55627,0,0.93664,-0.008646,0
0.99707,0,0,0,79.513,0,31.805,1.0048,0,0.11856,0,0,0,1.67E-07,0.0058599,0.0007632,0,0,0.55537,0,0.93025,-0.009481,0
0.99709,0,0,0,79.515,0,31.806,1.0048,0,0.12018,0,0,0,1.67E-07,0.0058536,0.00075624,0,0,0.55454,0,0.92347,-0.010362,0
0.99711,0,0,0,79.518,0,31.807,1.0048,0,0.12199,0,0,0,1.67E-07,0.005848,0.00074907,0,0,0.55378,0,0.91626,-0.01129,0
0.99713,0,0,0,79.52,0,31.808,1.0048,0,0.12397,0,0,0,1.67E-07,0.0058429,0.00074167,0,0,0.55308,0,0.9086,-0.012265,0
0.99715,0,0,0,79.523,0,31.809,1.0049,0,0.12614,0,0,0,1.67E-07,0.0058383,0.00073403,0,0,0.55243,0,0.9005,-0.01329,0
0.99717,0,0,0,79.526,0,31.81,1.0049,0,0.1285,0,0,0,1.67E-07,0.0058341,0.00072613,0,0,0.55182,0,0.89191,-0.014364,0
0.9972,0,0,0,79.529,0,31.812,1.0049,0,0.13106,0,0,0,1.67E-07,0.0058302,0.00071796,0,0,0.55126,0,0.88284,-0.015488,0
0.99723,0,0,0,79.532,0,31.813,1.0049,0,0.13383,0,0,0,1.67E-07,0.0058266,0.0007095,0,0,0.55074,0,0.87325,-0.016662,0
0.99726,0,0,0,79.536,0,31.814,1.0049,0,0.13681,0,0,0,1.67E-07,0.0058231,0.00070073,0,0,0.55024,0,0.86315,-0.017886,0
0.9973,0,0,0,79.54,0,31.816,1.0049,0,0.14003,0,0,0,1.67E-07,0.0058197,0.00069165,0,0,0.54978,0,0.8525,-0.019159,0
0.99734,0,0,0,79.544,0,31.818,1.0049,0,0.14347,0,0,0,1.67E-07,0.0058163,0.00068223,0,0,0.54933,0,0.84132,-0.02048,0
0.99738,0,0,0,79.549,0,31.82,1.005,0,0.14716,0,0,0,1.67E-07,0.005813,0.00067246,0,0,0.5489,0,0.82957,-0.021849,0
0.99742,0,0,0,79.554,0,31.822,1.005,0,0.15111,0,0,0,1.67E-07,0.0058095,0.00066233,0,0,0.54848,0,0.81727,-0.023262,0
0.99747,0,0,0,79.559,0,31.824,1.005,0,0.15531,0,0,0,1.67E-07,0.0058058,0.00065181,0,0,0.54807,0,0.80439,-0.024719,0
0.99752,0,0,0,79.565,0,31.826,1.005,0,0.15978,0,0,0,1.67E-07,0.0058019,0.00064089,0,0,0.54767,0,0.79095,-0.026217,0
0.99757,0,0,0,79.571,0,31.828,1.005,0,0.16453,0,0,0,1.67E-07,0.0057977,0.00062953,0,0,0.54726,0,0.77694,-0.027751,0
0.99763,0,0,0,79.577,0,31.831,1.0051,0,0.16956,0,0,0,1.67E-07,0.005793,0.0006177,0,0,0.54684,0,0.76238,-0.029319,0
0.99769,0,0,0,79.584,0,31.833,1.0051,0,0.17489,0,0,0,1.67E-07,0.0057878,0.00060537,0,0,0.54642,0,0.74726,-0.030916,0
0.99775,0,0,0,79.591,0,31.836,1.0051,0,0.18053,0,0,0,1.67E-07,0.005782,0.0005925,0,0,0.54597,0,0.7316,-0.032538,0
0.99782,0,0,0,79.598,0,31.839,1.0051,0,0.18648,0,0,0,1.67E-07,0.0057755,0.00057904,0,0,0.54551,0,0.71543,-0.034179,0
0.99789,0,0,0,79.606,0,31.842,1.0052,0,0.19277,0,0,0,1.67E-07,0.0057682,0.00056495,0,0,0.54501,0,0.69875,-0.035832,0
0.99797,0,0,0,79.614,0,31.846,1.0052,0,0.19939,0,0,0,1.67E-07,0.0057601,0.00055017,0,0,0.54449,0,0.6816,-0.037491,0
0.99805,0,0,0,79.623,0,31.849,1.0052,0,0.20638,0,0,0,1.67E-07,0.005751,0.00053464,0,0,0.54393,0,0.66401,-0.03915,0
0.99813,0,0,0,79.632,0,31.853,1.0052,0,0.21375,0,0,0,1.67E-07,0.0057408,0.00051829,0,0,0.54332,0,0.646,-0.040801,0
0.99822,0,0,0,79.642,0,31.857,1.0053,0,0.22151,0,0,0,1.67E-07,0.0057293,0.00050105,0,0,0.54267,0,0.62763,-0.042435,0
0.99832,0,0,0,79.652,0,31.861,1.0053,0,0.22969,0,0,0,1.67E-07,0.0057164,0.00048284,0,0,0.54195,0,0.60892,-0.044044,0
0.99841,0,0,0,79.663,0,31.865,1.0053,0,0.23832,0,0,0,1.67E-07,0.0057018,0.00046359,0,0,0.54116,0,0.58993,-0.045619,0
0.99852,0,0,0,79.674,0,31.87,1.0054,0,0.24742,0,0,0,1.67E-07,0.0056856,0.00044322,0,0,0.5403,0,0.57071,-0.047151,0
0.99863,0,0,0,79.686,0,31.875,1.0054,0,0.25703,0,0,0,1.67E-07,0.0056673,0.00042167,0,0,0.53935,0,0.55129,-0.048631,0
0.99874,0,0,0,79.699,0,31.88,1.0055,0,0.26718,0,0,0,1.67E-07,0.0056469,0.00039885,0,0,0.5383,0,0.53174,-0.05005,0
0.99886,0,0,0,79.712,0,31.885,1.0055,0,0.2779,0,0,0,1.67E-07,0.005624,0.00037473,0,0,0.53714,0,0.51212,-0.051398,0
0.99899,0,0,0,79.727,0,31.891,1.0056,0,0.28924,0,0,0,1.67E-07,0.0055985,0.00034923,0,0,0.53586,0,0.49246,-0.052667,0
0.99913,0,0,0,79.742,0,31.897,1.0056,0,0.30123,0,0,0,1.67E-07,0.00557,0.00032234,0,0,0.53445,0,0.47284,-0.053848,0
0.99927,0,0,0,79.757,0,31.903,1.0057,0,0.31391,0,0,0,1.67E-07,0.0055383,0.00029402,0,0,0.53289,0,0.45331,-0.054933,0
0.99942,0,0,0,79.774,0,31.91,1.0057,0,0.32732,0,0,0,1.67E-07,0.0055032,0.00026428,0,0,0.53116,0,0.43391,-0.055915,0
0.99958,0,0,0,79.792,0,31.917,1.0058,0,0.34151,0,0,0,1.67E-07,0.0054642,0.00023313,0,0,0.52927,0,0.41471,-0.056786,0
0.99975,0,0,0,79.811,0,31.924,1.0059,0,0.35649,0,0,0,1.67E-07,0.0054211,0.00020062,0,0,0.52718,0,0.39575,-0.057543,0
0.99993,0,0,0,79.83,0,31.932,1.0059,0,0.37232,0,0,0,1.67E-07,0.0053736,0.00016681,0,0,0.52487,0,0.37708,-0.058179,0
1.0001,0,0,0,79.851,0,31.941,1.006,0,0.38901,0,0,0,1.67E-07,0.0053215,0.00013179,0,0,0.52235,0,0.35875,-0.058691,0
1.0003,0,0,0,79.873,0,31.949,1.0061,0,0.40659,0,0,0,1.67E-07,0.0052642,9.57E-05,0,0,0.51959,0,0.34079,-0.059078,0
1.0005,0,0,0,79.896,0,31.959,1.0062,0,0.42508,0,0,0,1.67E-07,0.0052018,5.86E-05,0,0,0.51657,0,0.32325,-0.059337,0
1.0007,0,0,0,79.921,0,31.968,1.0062,0,0.44448,0,0,0,1.67E-07,0.0051338,2.07E-05,0,0,0.51327,0,0.30616,-0.059468,0
1.001,0,0,0,79.946,0,31.978,1.0063,0,0.46479,0,0,0,1.67E-07,0.0050601,-1.77E-05,0,0,0.50969,0,0.28955,-0.059473,0
1.0012,0,0,0,79.973,0,31.989,1.0064,0,0.48601,0,0,0,1.68E-07,0.0049803,-5.66E-05,0,0,0.5058,0,0.27345,-0.059353,0
1.0015,0,0,0,80,0,32,1.0065,0,0.50812,0,0,0,1.68E-07,0.0048945,-9.57E-05,0,0,0.50159,0,0.25787,-0.059112,0
1.0017,0,0,0,80.029,0,32.012,1.0066,0,0.53109,0,0,0,1.68E-07,0.0048024,-0.00013471,0,0,0.49705,0,0.24284,-0.058755,0
1.002,0,0,0,80.059,0,32.023,1.0067,0,0.55488,0,0,0,1.68E-07,0.004704,-0.00017343,0,0,0.49217,0,0.22837,-0.058285,0
1.0023,0,0,0,80.089,0,32.036,1.0068,0,0.57944,0,0,0,1.68E-07,0.0045991,-0.00021157,0,0,0.48692,0,0.21446,-0.057708,0
1.0026,0,0,0,80.121,0,32.048,1.0069,0,0.6047,0,0,0,1.68E-07,0.0044883,-0.00024893,0,0,0.48132,0,0.20112,-0.057032,0
