"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.722399951,      -13.48199942,      -13.49204834,      -1.674692519,      -9.127682937
          0,           0,           1,      -4.132413996,      -3.500335684,      -3.193494376,      -2.084383272,      -9.416265043
          0,           0,           2,       -4.28949016,      -3.592657871,      -3.305418546,      -2.237120871,        -9.7501687
          0,           0,           3,      -4.278280346,      -3.675114507,      -3.514581087,      -2.227164198,      -10.00044717
          0,           0,           4,      -4.329995434,      -3.743643098,      -3.608073885,      -2.279298397,      -10.16857391
          0,           0,           5,      -4.393711251,      -3.798777589,      -3.620988373,      -2.343240278,      -10.25957055
          0,           0,           6,      -4.443213814,      -3.845258365,      -3.642366806,      -2.393529211,      -10.32767725
          0,           0,           7,      -4.479510083,      -3.886634526,      -3.668125976,      -2.430811141,      -10.39364603
          0,           0,           8,      -4.504092707,      -3.924264741,      -3.687752387,      -2.456153633,       -10.4450414
          0,           0,           9,      -4.518206109,      -3.957328968,      -3.697832062,       -2.47066452,      -10.48219219
          0,           0,          10,      -4.523367803,      -3.983560918,      -3.698519776,      -2.475943082,      -10.51146409
          0,           0,          11,      -4.521111779,      -3.999856625,      -3.691272552,      -2.473672418,      -10.53459759
          0,           0,          12,      -4.513228869,      -4.003494444,      -3.678157904,      -2.465758801,      -10.55278002
          0,           0,          13,      -4.501727463,      -3.993695217,      -3.661532693,       -2.45426815,      -10.56873037
          0,           0,          14,      -4.488540515,      -3.972232644,      -3.643644319,      -2.441147427,       -10.5850869
          0,           0,          15,       -4.47523393,      -3.942825557,      -3.626274419,      -2.427953628,      -10.59580654
          0,           0,          16,      -4.462886406,      -3.909515358,      -3.610571022,       -2.41574715,      -10.60352268
          0,           0,          17,      -4.452104639,      -3.875475119,      -3.597065615,      -2.405114421,      -10.60965652
          0,           0,          18,      -4.443099735,      -3.842677437,      -3.585802235,      -2.396248537,       -10.6148135
          0,           0,          19,      -4.435778106,      -3.812085476,      -3.576512795,      -2.389043117,      -10.61929288
          0,           0,          20,      -4.429828136,      -3.784000792,      -3.568789095,      -2.383180964,       -10.6232138
          0,           0,          21,      -4.424807068,      -3.758375981,      -3.562219012,      -2.378221208,      -10.62699878
          0,           0,          22,      -4.420234307,      -3.735027903,      -3.556467207,      -2.373690556,      -10.63097961
          0,           0,          23,      -4.415685384,      -3.713748254,      -3.551297979,      -2.369173641,      -10.63368154
          0,           0,          24,      -4.410874182,      -3.694341322,      -3.546561445,      -2.364392335,      -10.63479499
          0,           0,          25,       -4.40568956,      -3.676621011,      -3.542161887,      -2.359239326,      -10.63474605
          0,           0,          26,      -4.400180481,       -3.66040042,        -3.5380292,      -2.353761643,       -10.6337915
          0,           0,          27,      -4.394498701,      -3.645489325,      -3.534105082,      -2.348103784,      -10.63212899
          0,           0,          28,      -4.388828769,      -3.631704212,      -3.530347304,      -2.342441198,      -10.62992946
          0,           0,          29,      -4.383319211,      -3.618884456,      -3.526734653,      -2.336913223,      -10.62732199
          0,           0,          30,      -4.378039761,      -3.606904715,      -3.523272363,      -2.331582177,       -10.6243714
          0,           0,          31,      -4.372969853,      -3.595681445,      -3.519992423,      -2.326423437,      -10.62116221
          0,           0,          32,      -4.368013879,      -3.585169766,      -3.516947091,      -2.321341893,      -10.61780034
          0,           0,          33,       -4.36303105,      -3.575352637,      -3.514193408,      -2.316201294,      -10.61393717
          0,           0,          34,      -4.357873774,      -3.566225798,      -3.511777718,      -2.310861852,      -10.60931384
          0,           0,          35,      -4.352421982,      -3.557784152,      -3.509724305,      -2.305213909,      -10.60403703
          0,           0,          36,        -4.3466035,      -3.550014061,      -3.508027073,      -2.299196521,      -10.59821114
          0,           0,          37,      -4.340400604,      -3.542891573,       -3.50664793,      -2.292802338,      -10.59193795
          0,           0,          38,      -4.333842417,       -3.53638349,       -3.50552185,      -2.286068756,      -10.58532203
          0,           0,          39,       -4.32698797,      -3.530451428,      -3.504566499,      -2.279060106,      -10.57846114
          0,           0,          40,      -4.319908843,      -3.525054984,      -3.503693698,      -2.271850205,      -10.57143163
          0,           0,          41,      -4.312675725,      -3.520154735,       -3.50281894,      -2.264509401,      -10.56429847
          0,           0,          42,      -4.305351195,      -3.515709438,      -3.501869034,      -2.257098041,      -10.55708835
          0,           0,          43,      -4.297988116,      -3.511671901,      -3.500786683,      -2.249665771,      -10.54982378
          0,           0,          44,      -4.290631172,      -3.507984498,      -3.499530663,      -2.242253727,      -10.54249808
          0,           0,          45,      -4.283320079,      -3.504576136,      -3.498073504,      -2.234898388,      -10.53504197
          0,           0,          46,      -4.276091351,      -3.501360006,      -3.496398488,      -2.227633498,      -10.52741297
          0,           0,          47,      -4.268978562,      -3.498236098,       -3.49449729,      -2.220490442,      -10.51959802
          0,           0,          48,      -4.262010729,      -3.495097284,      -3.492368542,      -2.213496464,      -10.51159945
          0,           0,          49,      -4.255210579,      -3.491837793,      -3.490017232,      -2.206672857,      -10.50341556
          0,           0,          50,      -4.248593071,      -3.488363014,      -3.487454531,       -2.20003334,      -10.49505122
          0,           0,          51,      -4.242164718,      -3.484598894,      -3.484697635,      -2.193583331,      -10.48650598
          0,           0,          52,      -4.235923895,      -3.480498971,      -3.481768846,      -2.187320277,      -10.47779095
          0,           0,          53,      -4.229861792,      -3.476047267,      -3.478693638,      -2.181234601,      -10.46890496
          0,           0,          54,      -4.223963948,      -3.471257127,      -3.475497819,      -2.175311322,      -10.45985151
          0,           0,          55,      -4.218211658,      -3.466166179,      -3.472204241,      -2.169531442,      -10.45064263
          0,           0,          56,      -4.212583539,      -3.460828461,      -3.468830003,      -2.163873535,      -10.44129423
          0,           0,          57,      -4.207056973,      -3.455305551,      -3.465384316,      -2.158315171,      -10.43183882
          0,           0,          58,      -4.201609451,      -3.449658247,      -3.461867751,      -2.152834198,      -10.42228501
          0,           0,          59,      -4.196220099,      -3.443939836,      -3.458272822,       -2.14741025,      -10.41265382
          0,           0,          60,      -4.190871017,      -3.438191693,      -3.454585578,      -2.142026021,      -10.40298344
          0,           0,          61,      -4.185548566,      -3.432441363,      -3.450787674,      -2.136668537,      -10.39333711
          0,           0,          62,      -4.180244311,      -3.426702729,      -3.446858695,      -2.131330064,      -10.38375062
          0,           0,          63,      -4.174955426,      -3.420977775,      -3.442778209,       -2.12600848,      -10.37428155
          0,           0,          64,      -4.169684652,      -3.415259498,      -3.438527596,      -2.120707244,      -10.36495807
          0,           0,          65,      -4.164439585,      -3.409535128,      -3.434091117,      -2.115434643,       -10.3558451
          0,           0,          66,      -4.159231654,      -3.403789338,      -3.429456624,      -2.110202785,      -10.34693365
          0,           0,          67,      -4.154074721,      -3.398007013,      -3.424615859,      -2.105026172,      -10.33815113
          0,           0,          68,      -4.148983705,      -3.392175418,       -3.41956448,      -2.099920327,      -10.32950204
