"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,           0,       -3.52753396,      -3.594713238,      -4.106867775,      -2.833416459,      0.1271160548,      0.3815969323,                 0,                 0,     0.05356082862
          0,           0,           1,      -3.792863274,       -3.67757907,       -3.66658224,      -3.091755579,     0.07640759194,      0.3781092757,                 0,                 0,     0.03069582157
          0,           0,           2,      -3.775910742,      -3.667910419,      -3.742923346,      -3.082583554,     0.04207297153,      0.4355423303,                 0,                 0,     0.02534741106
          0,           0,           3,      -3.834271413,       -3.69621262,      -3.807842816,      -3.136889137,      0.0346312249,      0.4943404356,                 0,                 0,     0.02501147412
          0,           0,           4,      -3.868997412,      -3.762789858,      -3.887928629,      -3.183397235,     0.03310573758,      0.5451326086,                 0,                 0,     0.02408142475
          0,           0,           5,      -3.905013841,      -3.787039856,      -3.914240085,      -3.213461801,     0.03361717048,      0.5796050144,                 0,                 0,     0.02219551352
          0,           0,           6,      -3.971211504,      -3.834845174,       -3.98536103,       -3.27890715,     0.03386537488,      0.6054845973,                 0,                 0,     0.02110156872
          0,           0,           7,      -4.037800484,      -3.929175973,      -4.125407444,      -3.350660521,     0.03433572741,      0.6207631833,                 0,                 0,     0.02110462251
          0,           0,           8,       -4.07411958,      -3.992238417,      -4.167796254,      -3.389944045,     0.03482889425,      0.6353137604,                 0,                 0,     0.02210643869
          0,           0,           9,      -4.124393529,      -4.045243225,      -4.189771436,      -3.427131711,     0.03518726055,      0.6437981144,                 0,                 0,     0.02308117499
          0,           0,          10,      -4.184736577,      -4.125834564,      -4.278411465,      -3.485104615,     0.03525767603,      0.6491107273,                 0,                 0,     0.02319437997
          0,           0,          11,      -4.255513676,       -4.22304085,      -4.404320318,      -3.551225204,     0.03514681828,      0.6495535935,                 0,                 0,     0.02254431915
          0,           0,          12,      -4.306052465,      -4.296136933,      -4.475651634,      -3.613772274,     0.03489959194,      0.6488282896,                 0,                 0,     0.02162658885
          0,           0,          13,      -4.349039301,      -4.344070391,      -4.526162981,      -3.648907127,     0.03470298474,      0.6483986981,                 0,                 0,     0.02096451285
          0,           0,          14,      -4.425915749,      -4.409884636,      -4.595613664,      -3.710780114,     0.03459051334,      0.6487031651,                 0,                 0,     0.02074589853
