"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        499,           9,      -8.303321263,      -4.333619497,      -5.005762198,      -2.384191219,      -3.749394297,      0.9329898399,      0.3026984125,      0.6188715891,                 0,                 0,                 0,      0.0166681992,        0.10853139,      0.6803302949,                 0,       2.044515476,      0.8454365051,      -3.003497126,      -1.768872595,      -2.583347786,      -2.574694698,       -2.68993039,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
        500,           9,      -8.203660675,      -4.266874546,      -4.909214557,      -2.279448722,      -3.767351756,      0.9329898399,      0.3037041593,      0.6292725611,                 0,                 0,                 0,     0.02112390595,      0.1064522405,      0.6905708458,                 0,        2.07199191,      0.8454365051,      -2.903016652,       -1.70076596,      -2.486423952,      -2.469493233,      -2.706811936,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        501,           9,        -8.1609147,      -4.242616283,      -4.891691627,      -2.207851895,      -3.786851827,      0.9329898399,      0.3050684992,      0.6423777385,                 0,                 0,                 0,     0.02629047583,      0.1039253822,      0.7035022836,                 0,        2.10568361,      0.8534320066,      -2.859323217,      -1.675449122,      -2.467753345,      -2.397458534,      -2.724460862,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        502,           9,      -8.190476054,      -4.281330529,      -4.913327097,      -2.216459927,      -3.729075217,      0.9329898399,       0.307793021,      0.6603404017,                 0,                 0,                 0,     0.03406470236,      0.1012790809,       0.721476637,                 0,       2.145404076,      0.8534320066,      -2.888624558,      -1.713714136,      -2.487529032,      -2.406028585,      -2.666207961,      0.8293243022,      0.2711719993,      0.5710024342,                 0,                 0,                 0,     0.02336931184,     0.09237811748,      0.6253353632,                 0,       1.871718764,      0.7586062281,                 1,                 1
        503,           9,      -8.260237663,      -4.323527274,      -5.151087587,       -2.26404335,      -3.684381748,      0.9329898399,      0.3108589707,      0.6804309287,                 0,                 0,                 0,     0.04196828774,     0.09833716155,      0.7415857004,                 0,       2.188873389,      0.8702730945,      -2.958618097,       -1.75555318,      -2.722777616,      -2.453732653,      -2.621747484,      0.6997423799,      0.2298230701,      0.4885193026,                 0,                 0,                 0,     0.02263319182,     0.07695167365,      0.5343670952,                 0,       1.594157882,      0.6400740049,                 1,                 1
        504,           9,      -8.264681947,       -4.35661038,      -5.121663942,      -2.327245202,      -3.713399413,      0.9329898399,      0.3151381269,      0.7039289672,                 0,                 0,                 0,     0.05138879564,      0.0955591774,      0.7653080906,                 0,       2.233715654,      0.8144160093,      -2.963106474,      -1.787929021,      -2.690647779,       -2.51681367,      -2.649851805,      0.7463918719,      0.2462799405,      0.5285560365,                 0,                 0,                 0,     0.02726900973,     0.08098384897,      0.5774659376,                 0,       1.716823107,      0.6849910836,                 1,                 1
        505,           9,      -8.204072413,      -4.443939807,      -5.054918364,      -2.399211485,        -3.6958651,      0.9329898399,      0.3203007406,      0.7305975579,                 0,                 0,                 0,      0.0621340773,     0.09269906808,      0.7923207929,                 0,       2.280973677,      0.7768078298,      -2.901850346,      -1.874035119,      -2.621667032,      -2.588284409,      -2.631442285,      0.7774915333,      0.2578541379,      0.5589483773,                 0,                 0,                 0,     0.03176774914,     0.08316644846,      0.6099142454,                 0,       1.806220659,      0.7152471938,                 1,                 1
        506,           9,      -8.255255574,      -4.445688745,       -4.92567595,      -2.416006094,      -3.814400677,      0.9329898399,      0.3259583477,      0.7586890878,                 0,                 0,                 0,     0.07335631669,     0.08989629623,      0.8208389808,                 0,       2.327564528,       0.768782064,      -2.951788808,      -1.874429447,      -2.490888139,      -2.604455682,      -2.748809052,      0.7997055771,      0.2667974548,      0.5842451066,                 0,                 0,                 0,      0.0364047295,     0.08432293713,      0.6367204007,                 0,       1.876683549,       0.727743845,                 1,                 1
        507,           9,      -8.254181004,      -4.431389728,       -4.92035107,      -2.392219296,      -3.772593825,      0.9329898399,      0.3318280331,      0.7881733455,                 0,                 0,                 0,     0.08499244096,     0.08688914162,      0.8507510465,                 0,       2.375246413,      0.7846395466,      -2.949507226,      -1.859086535,      -2.484440755,      -2.580291638,      -2.704634243,      0.8163661099,      0.2741942803,      0.6066740934,                 0,                 0,                 0,     0.04127194956,     0.08483895545,        0.66033197,                 0,       1.935480496,      0.7295319818,                 1,                 1
        508,           9,      -8.296766495,       -4.51862716,      -5.030017396,      -2.469185746,      -3.814295023,      0.9329898399,       0.337923597,      0.8183748924,                 0,                 0,                 0,     0.09663289789,     0.08388828061,      0.8814150998,                 0,       2.421774921,      0.7625136174,      -2.991669947,       -1.94575384,      -2.592697038,      -2.657372155,      -2.745484485,      0.8293243022,      0.2806129742,      0.6273707846,                 0,                 0,                 0,     0.04636291042,     0.08492605602,      0.6820009587,                 0,       1.986542458,      0.7274331851,                 1,                 1
