"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.751528622,      -15.24855679,      -15.65274335,      -3.144362621,      -10.70550166
          0,           0,           1,       -4.33706789,       -4.00754948,       -3.85095039,      -3.709778014,      -10.73815802
          0,           0,           2,      -4.299397175,      -4.025171746,      -4.298452853,      -3.670312232,      -10.77742699
          0,           0,           3,      -4.333685172,      -4.092368146,      -4.391530804,      -3.721713449,      -10.67246307
          0,           0,           4,       -4.28859437,      -4.071329562,      -4.324533226,      -3.685585009,      -10.58473057
          0,           0,           5,      -4.225497064,      -4.019268889,      -4.278125906,      -3.618822718,      -10.52376001
          0,           0,           6,      -4.182542803,      -3.981290981,      -4.247136746,       -3.57209031,      -10.49278885
          0,           0,           7,      -4.156341694,       -3.96770731,      -4.238691962,       -3.54530794,      -10.48180476
          0,           0,           8,       -4.14017129,      -3.968173897,      -4.250463477,      -3.530104322,      -10.47894316
          0,           0,           9,       -4.12789497,      -3.966000031,      -4.268401409,      -3.516806331,      -10.47544686
          0,           0,          10,      -4.118105615,      -3.952564152,      -4.282960536,      -3.503262489,      -10.46786302
          0,           0,          11,      -4.111027162,      -3.929717658,      -4.293423332,      -3.491008603,      -10.45673733
          0,           0,          12,      -4.104967365,      -3.902691198,      -4.301916667,      -3.479589341,      -10.44743395
          0,           0,          13,      -4.097830652,       -3.87606782,      -4.308231154,      -3.467521002,      -10.44011403
          0,           0,          14,      -4.089308987,      -3.853485275,      -4.310888721,      -3.454816933,      -10.43518011
          0,           0,          15,      -4.080601056,       -3.83788305,      -4.310680211,      -3.443080816,      -10.43405517
          0,           0,          16,      -4.071384042,      -3.830625862,      -4.310257507,      -3.432286137,      -10.43467571
          0,           0,          17,      -4.066674618,      -3.832458472,      -4.309548548,      -3.426979262,      -10.43237032
          0,           0,          18,      -4.066145785,      -3.844485856,      -4.309383703,      -3.427098547,      -10.42372793
          0,           0,          19,      -4.070416412,      -3.866716159,      -4.309765536,      -3.433437904,      -10.40246409
          0,           0,          20,       -4.07812029,      -3.896600441,      -4.309371717,      -3.444450904,      -10.36204875
          0,           0,          21,      -4.087722703,      -3.930681487,      -4.307609653,      -3.457838299,      -10.29565254
          0,           0,          22,       -4.10013798,       -3.96521841,      -4.305703908,      -3.473291755,      -10.20312046
          0,           0,          23,      -4.117183396,      -3.996704213,      -4.305071548,      -3.492145743,      -10.08311093
          0,           0,          24,      -4.137282996,      -4.021606459,      -4.307173216,      -3.512596421,      -9.943317476
          0,           0,          25,      -4.158325905,      -4.037228353,      -4.312511385,      -3.532283416,      -9.788253203
          0,           0,          26,      -4.178338239,      -4.043958438,      -4.320607517,       -3.54932766,      -9.624671675
          0,           0,          27,      -4.195172952,      -4.045523754,      -4.331071872,      -3.562299493,      -9.459367541
          0,           0,          28,      -4.207478903,       -4.04682417,      -4.343992977,      -3.571051333,         -9.307678
          0,           0,          29,      -4.215146168,      -4.051982186,      -4.359479191,      -3.576647194,      -9.177516502
          0,           0,          30,       -4.21950913,      -4.063628553,       -4.37709622,      -3.581019663,      -9.074611031
          0,           0,          31,      -4.223104702,      -4.083057291,      -4.395915543,       -3.58652707,      -8.999464786
          0,           0,          32,      -4.227404053,      -4.110259777,      -4.414146324,      -3.594243519,      -8.945470217
          0,           0,          33,      -4.233411317,      -4.143772773,       -4.43026849,      -3.604314415,      -8.910822808
          0,           0,          34,      -4.242253255,      -4.180908666,      -4.443757453,      -3.616878777,      -8.895985746
          0,           0,          35,        -4.2537167,      -4.217482274,      -4.454547219,      -3.630889055,       -8.90047886
          0,           0,          36,      -4.268232683,       -4.24869314,      -4.463333162,      -3.646195827,      -8.919537727
          0,           0,          37,      -4.286243698,      -4.271459791,      -4.472064955,      -3.663083584,      -8.958648365
          0,           0,          38,      -4.305978071,      -4.285658595,      -4.481611556,      -3.680209664,      -9.007878744
          0,           0,          39,      -4.329536217,      -4.294217667,      -4.495067109,      -3.700109768,      -9.064326272
          0,           0,          40,      -4.356805675,      -4.302159617,      -4.514008959,      -3.723516126,      -9.121058509
          0,           0,          41,      -4.387456915,      -4.313610311,      -4.538787962,      -3.750987103,       -9.16299257
          0,           0,          42,      -4.420375103,      -4.331209216,      -4.569232111,      -3.782240869,       -9.18133383
          0,           0,          43,      -4.454537831,      -4.355625209,      -4.604184939,      -3.816727268,      -9.175606961
          0,           0,          44,      -4.488602387,      -4.386480625,      -4.641120522,      -3.853256479,      -9.144070162
          0,           0,          45,      -4.520303818,      -4.422095819,      -4.676256212,      -3.889248096,      -9.128105083
          0,           0,          46,      -4.545852956,      -4.458653975,      -4.705501396,      -3.919745092,      -9.099002638
          0,           0,          47,      -4.565425722,      -4.491379352,      -4.728218356,      -3.942993528,      -9.059821333
          0,           0,          48,      -4.579990955,      -4.516423549,      -4.744833407,      -3.958687441,      -9.023468425
          0,           0,          49,      -4.593704198,      -4.533580089,       -4.75872706,      -3.970844713,      -9.002197268
          0,           0,          50,      -4.608874076,      -4.545261258,      -4.772167757,      -3.982625187,      -8.977025291
          0,           0,          51,      -4.628444682,      -4.555332063,      -4.788530151,      -3.997925909,      -8.940963515
          0,           0,          52,      -4.654117451,      -4.567011276,      -4.809669672,      -4.019238215,        -8.9558739
          0,           0,          53,      -4.687016033,      -4.582367592,      -4.836611596,       -4.04827469,      -8.939242442
          0,           0,          54,      -4.723703717,       -4.60142266,      -4.868154723,      -4.082490796,      -8.945562374
          0,           0,          55,      -4.756007933,      -4.622602127,      -4.901254839,      -4.114988866,      -8.956453896
          0,           0,          56,       -4.77233732,      -4.643014561,      -4.932656462,      -4.134973622,      -8.962783996
          0,           0,          57,      -4.761156784,      -4.658958245,       -4.95716581,       -4.12991174,      -8.969185475
          0,           0,          58,      -4.724900724,       -4.66838845,      -4.971601192,      -4.099194434,      -8.972255295
          0,           0,          59,      -4.677815977,      -4.672156554,      -4.977605027,      -4.055338062,      -8.985982103
          0,           0,          60,      -4.628985979,      -4.671710034,      -4.972175815,      -4.007843092,      -9.005959941
          0,           0,          61,      -4.586269576,      -4.669641204,      -4.960939292,      -3.965470859,      -9.027510222
          0,           0,          62,      -4.556478038,      -4.669415986,      -4.950823859,      -3.935420853,      -9.053585681
          0,           0,          63,      -4.536282033,      -4.674958321,      -4.939039607,       -3.91508406,      -9.079011259
          0,           0,          64,      -4.520732872,      -4.684508472,      -4.926907711,      -3.899615489,      -9.112682983
          0,           0,          65,       -4.51073657,      -4.693594109,      -4.918904657,      -3.889405171,      -9.150662826
          0,           0,          66,      -4.508933801,       -4.70432328,      -4.920640977,      -3.887035724,      -9.195646411
          0,           0,          67,      -4.512755586,      -4.715187679,      -4.928951349,        -3.8901849,      -9.247601505
          0,           0,          68,      -4.523093287,      -4.723271744,      -4.947881642,      -3.899824822,      -9.304139745
          0,           0,          69,       -4.53821698,      -4.730435793,      -4.972104347,        -3.9144688,      -9.353319558
          0,           0,          70,      -4.561497228,       -4.74153409,      -5.003456941,      -3.937439427,      -9.381001825
          0,           0,          71,      -4.593939602,      -4.763510587,      -5.028858195,      -3.969738115,      -9.384624793
          0,           0,          72,      -4.634795654,      -4.797393269,      -5.048388321,      -4.010664245,      -9.354757745
          0,           0,          73,       -4.67651352,      -4.841770887,      -5.064528155,      -4.052738835,      -9.292418522
          0,           0,          74,      -4.712528373,      -4.884382249,      -5.075189197,      -4.089086568,      -9.313820624
          0,           0,          75,        -4.7483534,      -4.918598395,      -5.091919783,      -4.124688446,      -9.279289045
          0,           0,          76,      -4.779133769,       -4.93885615,       -5.11224933,      -4.154994537,      -9.234812015
          0,           0,          77,      -4.810383365,      -4.950080554,      -5.143036968,      -4.185467486,       -9.15715518
          0,           0,          78,      -4.840524582,      -4.958300642,      -5.174838047,      -4.215080634,      -9.133204621
          0,           0,          79,      -4.868603383,      -4.970111798,      -5.199264161,      -4.243156306,      -9.092216553
          0,           0,          80,      -4.895013602,       -4.98579158,       -5.21190872,      -4.269873102,      -9.052784102
          0,           0,          81,      -4.918025601,      -5.002705537,      -5.221106631,      -4.293437672,      -9.016993948
          0,           0,          82,      -4.928012931,      -5.014202718,      -5.219107111,      -4.304349516,        -8.9862458
          0,           0,          83,      -4.933198996,      -5.021327912,      -5.221190398,      -4.310333478,      -8.951712461
          0,           0,          84,      -4.925022994,      -5.020219308,      -5.219545805,      -4.302858136,      -8.940600291
          0,           0,          85,      -4.908513837,      -5.011538663,       -5.21860383,      -4.286629664,      -8.934457803
          0,           0,          86,      -4.890637111,      -5.002223143,      -5.218831783,      -4.268865964,      -8.936981468
          0,           0,          87,      -4.868644637,      -4.992879167,      -5.214209338,      -4.246928522,      -8.938399531
          0,           0,          88,      -4.847372313,      -4.984116577,      -5.206209481,      -4.225649321,      -8.944626777
          0,           0,          89,      -4.831025926,      -4.978557176,      -5.200716962,      -4.209292041,      -8.956489733
          0,           0,          90,      -4.815399785,      -4.974901378,       -5.19013063,      -4.193840283,      -8.973824563
          0,           0,          91,      -4.804973852,      -4.975903013,      -5.181305592,      -4.183548507,       -8.99228587
          0,           0,          92,      -4.798558647,      -4.981527408,       -5.17430383,      -4.177341422,      -9.012995056
          0,           0,          93,      -4.792689482,      -4.988531854,      -5.166628849,      -4.171639421,      -9.035634964
          0,           0,          94,       -4.78879459,      -4.997486648,      -5.168147338,      -4.167852877,      -9.058255709
          0,           0,          95,      -4.782495081,      -5.005260863,        -5.1648329,       -4.16150973,      -9.077448555
          0,           0,          96,      -4.776912989,      -5.008806853,      -5.161733213,      -4.155633932,      -9.083126976
          0,           0,          97,      -4.774820953,      -5.007665783,      -5.161360319,      -4.152971222,      -9.123158382
          0,           0,          98,       -4.77582848,      -5.004437766,       -5.16194902,      -4.153398734,      -9.148140514
          0,           0,          99,      -4.779849531,      -5.003000644,      -5.162241273,      -4.157050182,      -9.163086989
          0,           0,         100,       -4.78748834,      -5.003480895,      -5.169177007,       -4.16444769,      -9.171025942
          0,           0,         101,      -4.792920412,      -5.001749545,      -5.176089513,      -4.169743377,      -9.171848699
          0,           0,         102,       -4.79857629,      -4.999393979,      -5.187138947,      -4.175213326,       -9.14292745
          0,           0,         103,      -4.803823775,      -4.998046694,      -5.196009496,      -4.180321525,      -9.169817704
          0,           0,         104,      -4.807172762,       -4.99793557,      -5.202055391,      -4.183625699,      -9.173917733
          0,           0,         105,      -4.812242589,      -5.000098119,      -5.208719958,      -4.188508298,      -9.168805056
          0,           0,         106,      -4.818673831,      -5.006260435,      -5.213438205,      -4.194852739,      -9.158850785
          0,           0,         107,      -4.826090971,      -5.015721562,      -5.216350658,      -4.202276583,      -9.143800107
          0,           0,         108,      -4.835922439,      -5.029057335,      -5.220914428,      -4.212264261,      -9.103702029
          0,           0,         109,      -4.844501225,      -5.040083883,       -5.22581906,      -4.221081955,      -9.101603313
          0,           0,         110,      -4.848578252,      -5.045114434,      -5.228178556,      -4.225396601,       -9.07584137
          0,           0,         111,      -4.850953176,      -5.048527738,      -5.232844752,      -4.227865518,      -9.065827933
          0,           0,         112,      -4.856497191,       -5.05537648,      -5.242792908,      -4.233264956,        -9.0611748
          0,           0,         113,      -4.861895892,      -5.066169351,      -5.248396401,      -4.238577454,      -9.056967495
          0,           0,         114,      -4.870541881,      -5.078120688,      -5.253200627,      -4.246950555,       -9.05563762
          0,           0,         115,        -4.8784163,      -5.089080285,      -5.253750339,      -4.254672507,       -9.05799746
          0,           0,         116,      -4.888164495,      -5.098477286,      -5.255249301,      -4.264175447,      -9.063162026
          0,           0,         117,       -4.89657377,      -5.105155064,      -5.255433716,      -4.272554503,      -9.070490494
          0,           0,         118,      -4.908492584,      -5.109718955,      -5.266538313,      -4.284333984,      -9.078809116
          0,           0,         119,      -4.916869965,      -5.109057998,      -5.278314352,      -4.292649315,      -9.087436105
          0,           0,         120,      -4.920590935,      -5.101328072,      -5.287815356,        -4.2962571,      -9.095490528
          0,           0,         121,      -4.924581832,      -5.093849379,      -5.298640967,      -4.299970396,      -9.101639309
          0,           0,         122,      -4.930642093,      -5.090288313,      -5.312187247,      -4.305735336,      -9.104149878
          0,           0,         123,      -4.935866921,      -5.093669777,      -5.323305233,      -4.310949139,      -9.108096519
          0,           0,         124,      -4.944317154,      -5.101282663,      -5.332054968,      -4.319368647,      -9.125035765
          0,           0,         125,      -4.951464143,      -5.112657263,      -5.332912951,      -4.326755717,      -9.137740038
          0,           0,         126,      -4.957256063,       -5.12550347,      -5.330234879,      -4.332771562,      -9.144456555
          0,           0,         127,      -4.962141899,      -5.136505604,      -5.323188407,      -4.337743344,      -9.148220128
          0,           0,         128,      -4.965784431,      -5.146094244,      -5.318589163,      -4.341457078,      -9.148595723
          0,           0,         129,      -4.970901753,      -5.153016618,      -5.321696764,      -4.346478075,      -9.145569788
          0,           0,         130,      -4.973113225,      -5.153419804,      -5.325623898,      -4.348575987,       -9.14097969
          0,           0,         131,      -4.972618578,      -5.147298229,      -5.331538081,      -4.347896986,      -9.135344216
          0,           0,         132,      -4.972758648,      -5.140764232,       -5.34227354,      -4.347827131,       -9.13474798
          0,           0,         133,       -4.97412334,      -5.135752754,       -5.35569346,      -4.349019875,      -9.126449489
          0,           0,         134,      -4.975794623,       -5.13444521,      -5.367183976,      -4.350708748,      -9.098160002
          0,           0,         135,      -4.977429286,      -5.138274685,       -5.37594254,      -4.352508189,      -9.145130215
          0,           0,         136,      -4.979872847,      -5.146923284,      -5.380724902,      -4.355117359,      -9.156414908
          0,           0,         137,      -4.983158194,      -5.159526147,      -5.382807161,      -4.358600669,      -9.166911045
          0,           0,         138,      -4.988150794,      -5.174553089,      -5.382971452,      -4.363751065,      -9.176844543
          0,           0,         139,       -4.99215014,      -5.191660199,      -5.378010491,      -4.368101018,      -9.169979685
          0,           0,         140,       -4.99789312,      -5.210763852,      -5.376759067,      -4.374016592,      -9.166062922
          0,           0,         141,      -5.001915658,      -5.227081435,      -5.373259007,      -4.378135231,       -9.18722816
          0,           0,         142,      -5.003435827,      -5.233812978,      -5.368391315,      -4.379513968,      -9.194639112
          0,           0,         143,      -5.003306956,      -5.231023488,      -5.364422933,      -4.379001799,      -9.198950469
          0,           0,         144,      -5.004000562,      -5.223503515,      -5.363471455,      -4.379138925,      -9.202381872
          0,           0,         145,       -5.00827335,      -5.217649619,      -5.369437623,      -4.382781202,      -9.205529463
          0,           0,         146,      -5.012259628,      -5.212925716,       -5.37465979,      -4.386363934,      -9.208878234
          0,           0,         147,      -5.017635499,      -5.210792361,      -5.381590973,      -4.391435859,      -9.211998977
          0,           0,         148,      -5.023558909,      -5.210504964,      -5.389229603,      -4.397170723,      -9.214596716
          0,           0,         149,      -5.030826128,      -5.211346683,      -5.399830666,      -4.404413041,      -9.217027558
          0,           0,         150,      -5.036861976,      -5.213661397,       -5.40824908,      -4.410654627,      -9.220472641
          0,           0,         151,      -5.042649294,      -5.216763415,      -5.413625406,       -4.41657255,      -9.225394392
          0,           0,         152,      -5.048140415,      -5.221321611,      -5.415526883,      -4.422218671,      -9.231568263
          0,           0,         153,      -5.055017879,      -5.227076406,      -5.420383795,       -4.42914578,      -9.238226716
          0,           0,         154,       -5.06302909,       -5.23411417,      -5.429552925,      -4.437203268,      -9.244284246
          0,           0,         155,      -5.067232739,      -5.240135763,      -5.434953136,      -4.441663258,        -9.2485732
          0,           0,         156,      -5.068253046,      -5.242114634,      -5.436823981,      -4.442825283,      -9.248803758
          0,           0,         157,       -5.06887885,      -5.242553347,      -5.439310019,      -4.443340687,      -9.241613898
          0,           0,         158,       -5.07174401,      -5.243796611,      -5.444598045,      -4.445821249,      -9.229326944
          0,           0,         159,      -5.077777539,      -5.247673862,      -5.455117691,      -4.451501926,      -9.246155374
          0,           0,         160,      -5.082412097,      -5.253524566,      -5.461339199,      -4.456204142,      -9.263727481
          0,           0,         161,      -5.085693051,      -5.260883791,      -5.466278843,      -4.459744672,        -9.2651957
          0,           0,         162,      -5.088275551,       -5.26879029,      -5.468471836,      -4.462494928,      -9.262897391
          0,           0,         163,      -5.093772811,      -5.277011176,      -5.471709327,      -4.467890735,      -9.259144277
          0,           0,         164,      -5.099444267,      -5.287142206,      -5.475327394,      -4.473598474,       -9.25590207
          0,           0,         165,      -5.105565074,      -5.298187969,      -5.480965861,      -4.479837738,      -9.254768539
          0,           0,         166,      -5.112162332,      -5.310224624,      -5.485775881,      -4.486658619,      -9.257122524
          0,           0,         167,       -5.11678488,      -5.322958275,      -5.489177891,      -4.491666668,      -9.263259094
          0,           0,         168,      -5.121356291,      -5.335339092,      -5.494482393,      -4.496494519,      -9.272114929
          0,           0,         169,      -5.125363637,      -5.346284032,      -5.500171732,      -4.500624495,      -9.281607291
          0,           0,         170,      -5.127769731,      -5.354407927,      -5.501557741,      -4.503094225,      -9.289501205
          0,           0,         171,      -5.129067863,      -5.356809748,      -5.500664626,      -4.504276853,      -9.293723042
          0,           0,         172,      -5.130430932,      -5.355456862,      -5.500844029,      -4.505362003,      -9.293049172
          0,           0,         173,      -5.133022473,       -5.35429288,      -5.503294705,      -4.507577305,      -9.287884761
          0,           0,         174,      -5.138216972,        -5.3554421,      -5.509333631,      -4.512375894,      -9.279387268
          0,           0,         175,      -5.143671652,      -5.358193341,      -5.515335391,      -4.517612949,      -9.269244818
          0,           0,         176,      -5.149451963,      -5.360657392,       -5.52176807,      -4.523217451,      -9.259278304
          0,           0,         177,      -5.156006015,      -5.363637072,      -5.530423371,      -4.529690768,      -9.251399436
          0,           0,         178,      -5.162670321,      -5.367880019,      -5.540231388,      -4.536382123,      -9.247296601
          0,           0,         179,      -5.169243264,      -5.372600129,      -5.549289134,      -4.543046724,       -9.24821803
          0,           0,         180,      -5.175038682,       -5.37703291,      -5.555540021,      -4.548949703,      -9.243602345
          0,           0,         181,      -5.180702891,       -5.38095509,      -5.560137336,      -4.554583966,      -9.274682004
          0,           0,         182,      -5.188468173,      -5.386749072,       -5.56577447,      -4.562160576,      -9.295705178
          0,           0,         183,      -5.197100701,      -5.393778969,      -5.571982426,      -4.570661708,      -9.319048444
          0,           0,         184,      -5.203908552,      -5.401436396,         -5.575229,      -4.577543389,      -9.342828043
          0,           0,         185,      -5.210304874,      -5.409042925,      -5.578301689,      -4.583979577,      -9.363552066
          0,           0,         186,      -5.216206007,      -5.414243431,       -5.58252653,      -4.589851337,      -9.350978639
          0,           0,         187,      -5.221357547,      -5.418530107,      -5.585939087,      -4.594926794,      -9.361205466
          0,           0,         188,      -5.225709969,      -5.420176409,      -5.588083474,      -4.599161741,       -9.34603588
          0,           0,         189,      -5.228192585,       -5.42033645,      -5.589479144,      -4.601656988,      -9.321559218
          0,           0,         190,      -5.229066185,      -5.418301766,      -5.590780608,      -4.602485765,       -9.29885472
