"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -7.580321963,      -8.467856884,      -8.752331276,                 0,        21.4948539,     0.02201278417,      0.1199999228
          1,              0.01,      -7.777166776,      -8.658300246,      -8.990766448,                 0,      -1.850997027,   -0.006733926616,      0.1199810342
          2,              0.02,      -7.767861596,      -8.660601881,       -9.08271189,                 0,      0.8861556597,     0.02830385173,      0.1198839518
          3,              0.03,      -7.821446302,      -8.661990185,      -9.099614009,                 0,       1.072008177,    -0.01352338669,      0.1197537369
          4,              0.04,      -8.523567273,      -9.377522213,      -9.770853492,                 0,       1.238201278,   -0.003933059235,      0.1196805898
          5,              0.05,      -8.065429435,      -8.917098555,      -9.364457095,                 0,       1.416848137,   -0.002622214427,      0.1196721696
          6,              0.06,      -8.248113525,      -9.101949008,       -9.53724424,                 0,       1.532342894,  -0.0001056244127,      0.1196817466
          7,              0.07,      -8.585351962,      -9.372224767,      -9.660022519,                 0,       1.521590549,   0.0008095587236,      0.1196824091
          8,              0.08,      -8.598562081,      -9.392222323,      -9.746546602,                 0,       1.457489873,  -0.0003968868619,      0.1196802403
          9,              0.09,      -8.746549118,      -9.526184944,      -9.887539068,                 0,       1.422834565,   -0.002354073956,      0.1196899245
         10,               0.1,       -9.02604727,      -9.801375361,      -10.11924753,                 0,       1.438032639,   -0.002781748797,      0.1197147369
