,Points_1,Pressure_Coefficient,,,,,,x/c,Cp
2,0.122784,0.449017,,,0.123784,0.165067,,0.993941854,0.449017
2,0.121572,0.240212,,,-0.041283,,,0.986599381,0.240212
2,0.120108,0.0791162,,,,,,0.977730255,0.0791162
2,0.118344,0.207653,,,,,,0.967043685,0.207653
2,0.11623,0.0725145,,,,,,0.954236764,0.0725145
2,0.113707,0.0658546,,,,,,0.938952062,0.0658546
2,0.110713,0.0668344,,,,,,0.920813973,0.0668344
2,0.107186,0.0331709,,,,,,0.899446891,0.0331709
2,0.103065,0.028839,,,,,,0.874481271,0.028839
2,0.0982966,0.0136315,,,,,,0.845593607,0.0136315
2,0.0928386,0.000164129,,,,,,0.812528246,0.000164129
2,0.0866709,-0.00846934,,,,,,0.775163418,-0.00846934
2,0.0798004,-0.0181618,,,,,,0.733540926,-0.0181618
2,0.0722684,-0.0288867,,,,,,0.687910969,-0.0288867
2,0.0641548,-0.0382628,,,,,,0.638757595,-0.0382628
2,0.0555782,-0.0492126,,,,,,0.5867993,-0.0492126
2,0.0466918,-0.0583261,,,,,,0.53296419,-0.0583261
2,0.0376738,-0.0684447,,,,,,0.478331829,-0.0684447
2,0.028714,-0.0766069,,,,,,0.424052052,-0.0766069
2,0.0199985,-0.085987,,,,,,0.371252279,-0.085987
2,0.0116947,-0.0914054,,,,,,0.320946646,-0.0914054
2,0.00393963,-0.100087,,,,,,0.273965299,-0.100087
2,-0.0031673,-0.09906,,,,,,0.230910479,-0.09906
2,-0.00956629,-0.106592,,,,,,0.192144463,-0.106592
2,-0.0152348,-0.100526,,,,,,0.157803801,-0.100526
2,-0.0201819,-0.103767,,,,,,0.127833546,-0.103767
2,-0.0244406,-0.0899987,,,,,,0.10203372,-0.0899987
2,-0.0280606,-0.0876347,,,,,,0.080103231,-0.0876347
2,-0.0311008,-0.0691802,,,,,,0.061685255,-0.0691802
2,-0.0336234,-0.0294415,,,,,,0.046402976,-0.0294415
2,-0.0356896,-0.00235341,,,,,,0.033885634,-0.00235341
2,-0.0373563,0.0446395,,,,,,0.023788522,0.0446395
2,-0.0386735,0.0974146,,,,,,0.015808732,0.0974146
2,-0.0396835,0.214005,,,,,,0.009690005,0.214005
2,-0.0404199,0.151217,,,,,,0.005228786,0.151217
2,-0.0408845,0.18125,,,,,,0.002414171,0.18125
2,-0.0411447,0.206769,,,,,,0.000837842,0.206769
2,-0.0412612,0.243371,,,,,,0.000132068,0.243371
2,-0.041283,0.258691,,,,,,0,0.258691
,,,,,,,,,
1,-0.0411845,-0.0506389,,,,,,0.000596727,-0.0506389
1,-0.0409106,0.424236,,,,,,0.002256054,0.424236
1,-0.0404312,0.225506,,,,,,0.005160329,0.225506
1,-0.039751,0.0597046,,,,,,0.00928108,0.0597046
1,-0.0388198,0.178339,,,,,,0.014922425,0.178339
1,-0.0376124,0.0527494,,,,,,0.022237031,0.0527494
1,-0.0360961,0.0380546,,,,,,0.031422998,0.0380546
1,-0.0342298,0.0447358,,,,,,0.042729316,0.0447358
1,-0.0319647,0.00858461,,,,,,0.056451623,0.00858461
1,-0.0292461,0.00615525,,,,,,0.072921299,0.00615525
1,-0.026016,-0.00698936,,,,,,0.092489716,-0.00698936
1,-0.0222164,-0.0231144,,,,,,0.115508248,-0.0231144
1,-0.0177937,-0.0312775,,,,,,0.142301611,-0.0312775
1,-0.0127049,-0.0452852,,,,,,0.173130305,-0.0452852
1,-0.00692334,-0.0596974,,,,,,0.20815584,-0.0596974
1,-0.000446744,-0.072986,,,,,,0.247392004,-0.072986
1,0.00669683,-0.0875234,,,,,,0.290668819,-0.0875234
1,0.014444,-0.104675,,,,,,0.337602307,-0.104675
1,0.0226942,-0.119186,,,,,,0.387583224,-0.119186
1,0.0313126,-0.136216,,,,,,0.43979475,-0.136216
1,0.0401364,-0.153373,,,,,,0.493250619,-0.153373
1,0.0489868,-0.169246,,,,,,0.546867636,-0.169246
1,0.0576824,-0.187209,,,,,,0.599546851,-0.187209
1,0.066054,-0.201255,,,,,,0.650263226,-0.201255
1,0.0739568,-0.215586,,,,,,0.698139543,-0.215586
1,0.0812793,-0.231941,,,,,,0.742500318,-0.231941
1,0.0879479,-0.24082,,,,,,0.782899671,-0.24082
1,0.0939256,-0.243919,,,,,,0.819113451,-0.243919
1,0.0992083,-0.252986,,,,,,0.851116819,-0.252986
1,0.103819,-0.262476,,,,,,0.879049113,-0.262476
1,0.107798,-0.258827,,,,,,0.903154477,-0.258827
1,0.111201,-0.247657,,,,,,0.923770348,-0.247657
1,0.114087,-0.2213,,,,,,0.941254157,-0.2213
1,0.116517,-0.130643,,,,,,0.955975452,-0.130643
1,0.118553,-0.0666592,,,,,,0.968309838,-0.0666592
1,0.120249,-0.00997888,,,,,,0.978584454,-0.00997888
1,0.121658,0.0729538,,,,,,0.987120381,0.0729538
1,0.122822,0.316313,,,,,,0.994172063,0.316313
1,0.123784,0.300867,,,,,,1,0.300867
