,Points_1,Pressure_Coefficient,,,,,x/c,Cp
2,-0.041283,0.652063,,,0.123784,0.165067,0,0.652063
2,-0.0412612,0.333849,,,-0.041283,,0.000132068,0.333849
2,-0.0411447,0.163459,,,,,0.000837842,0.163459
2,-0.0408845,0.258431,,,,,0.002414171,0.258431
2,-0.0404199,0.0975771,,,,,0.005228786,0.0975771
2,-0.0396835,0.0908715,,,,,0.009690005,0.0908715
2,-0.0386735,0.0835915,,,,,0.015808732,0.0835915
2,-0.0373563,0.0515454,,,,,0.023788522,0.0515454
2,-0.0356896,0.0388387,,,,,0.033885634,0.0388387
2,-0.0336234,0.0180387,,,,,0.046402976,0.0180387
2,-0.0311008,0.000863359,,,,,0.061685255,0.000863359
2,-0.0280606,-0.0164845,,,,,0.080103231,-0.0164845
2,-0.0244406,-0.0336943,,,,,0.10203372,-0.0336943
2,-0.0201819,-0.0525012,,,,,0.127833546,-0.0525012
2,-0.0152348,-0.0696556,,,,,0.157803801,-0.0696556
2,-0.00956629,-0.0871882,,,,,0.192144463,-0.0871882
2,-0.0031673,-0.10817,,,,,0.230910479,-0.10817
2,0.00393963,-0.122414,,,,,0.273965299,-0.122414
2,0.0116947,-0.142372,,,,,0.320946646,-0.142372
2,0.0199985,-0.158207,,,,,0.371252279,-0.158207
2,0.028714,-0.171203,,,,,0.424052052,-0.171203
2,0.0376738,-0.18049,,,,,0.478331829,-0.18049
2,0.0466918,-0.189335,,,,,0.53296419,-0.189335
2,0.0555782,-0.191478,,,,,0.5867993,-0.191478
2,0.0641548,-0.191427,,,,,0.638757595,-0.191427
2,0.0722684,-0.167802,,,,,0.687910969,-0.167802
2,0.0798004,-0.165399,,,,,0.733540926,-0.165399
2,0.0866709,-0.14197,,,,,0.775163418,-0.14197
2,0.0928386,-0.074214,,,,,0.812528246,-0.074214
2,0.0982966,-0.087628,,,,,0.845593607,-0.087628
2,0.103065,0.0259361,,,,,0.874481271,0.0259361
2,0.107186,0.0666894,,,,,0.899446891,0.0666894
2,0.110713,0.227325,,,,,0.920813973,0.227325
2,0.113707,0.129974,,,,,0.938952062,0.129974
2,0.11623,0.472455,,,,,0.954236764,0.472455
2,0.118344,0.345556,,,,,0.967043685,0.345556
2,0.120108,0.439933,,,,,0.977730255,0.439933
2,0.121572,0.453219,,,,,0.986599381,0.453219
2,0.122784,0.539571,,,,,0.993941854,0.539571
,,,,,,,,
1,-0.0411845,-0.0325267,,,,,0.000596727,-0.0325267
1,-0.0409106,0.647211,,,,,0.002256054,0.647211
1,-0.0404312,0.341004,,,,,0.005160329,0.341004
1,-0.039751,0.164762,,,,,0.00928108,0.164762
1,-0.0388198,0.257464,,,,,0.014922425,0.257464
1,-0.0376124,0.119544,,,,,0.022237031,0.119544
1,-0.0360961,0.0854418,,,,,0.031422998,0.0854418
1,-0.0342298,0.0900974,,,,,0.042729316,0.0900974
1,-0.0319647,0.0339801,,,,,0.056451623,0.0339801
1,-0.0292461,0.037274,,,,,0.072921299,0.037274
1,-0.026016,0.000905508,,,,,0.092489716,0.000905508
1,-0.0222164,-0.017633,,,,,0.115508248,-0.017633
1,-0.0177937,-0.0409208,,,,,0.142301611,-0.0409208
1,-0.0127049,-0.0626936,,,,,0.173130305,-0.0626936
1,-0.00692334,-0.0838247,,,,,0.20815584,-0.0838247
1,-0.000446744,-0.112901,,,,,0.247392004,-0.112901
1,0.00669683,-0.14007,,,,,0.290668819,-0.14007
1,0.014444,-0.165988,,,,,0.337602307,-0.165988
1,0.0226942,-0.194556,,,,,0.387583224,-0.194556
1,0.0313126,-0.231772,,,,,0.43979475,-0.231772
1,0.0401364,-0.26148,,,,,0.493250619,-0.26148
1,0.0489868,-0.299059,,,,,0.546867636,-0.299059
1,0.0576824,-0.334177,,,,,0.599546851,-0.334177
1,0.066054,-0.364057,,,,,0.650263226,-0.364057
1,0.0739568,-0.401849,,,,,0.698139543,-0.401849
1,0.0812793,-0.431112,,,,,0.742500318,-0.431112
1,0.0879479,-0.444496,,,,,0.782899671,-0.444496
1,0.0939256,-0.4735,,,,,0.819113451,-0.4735
1,0.0992083,-0.485381,,,,,0.851116819,-0.485381
1,0.103819,-0.475692,,,,,0.879049113,-0.475692
1,0.107798,-0.463658,,,,,0.903154477,-0.463658
1,0.111201,-0.424585,,,,,0.923770348,-0.424585
1,0.114087,-0.342207,,,,,0.941254157,-0.342207
1,0.116517,-0.181148,,,,,0.955975452,-0.181148
1,0.118553,-0.0196213,,,,,0.968309838,-0.0196213
1,0.120249,-0.0424038,,,,,0.978584454,-0.0424038
1,0.121658,0.296863,,,,,0.987120381,0.296863
1,0.122822,0.424292,,,,,0.994172063,0.424292
1,0.123784,0.480065,,,,,1,0.480065
