Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.20688,254729,0,-251.327,24.5897,252.527,0.19494,68.1295,-39.9908,15.2407,80.456,0.000879629,0.0939256,0.96,0.964584,100819,-0.00927706,291.011,56.4511,-33.136,12.6281,66.6647
1,1.19593,251236,0,-251.327,23.0247,252.38,0.188851,67.6158,-33.7663,15.1416,77.08,-0.000650192,0.0879479,0.96,0.96402,99500.6,-0.0334426,289.836,56.5386,-28.2347,12.661,64.4524
2,1.21401,257794,0,-251.327,25.9727,252.666,0.201591,68.0672,-46.808,14.766,83.9177,0.00225775,0.0992083,0.96,0.965115,101958,0.0115947,292.569,56.0682,-38.5566,12.163,69.1245
3,1.24286,264445,0,-251.327,27.1797,252.793,0.208092,69.4768,-52.9165,15.7195,88.7372,0.003481,0.103819,0.96,0.965604,104511,0.0583969,292.935,55.9011,-42.5769,12.6478,71.3981
4,1.23203,264645,0,-251.327,28.2215,252.907,0.22157,66.5452,-64.6932,15.1248,94.0331,0.0045528,0.107798,0.96,0.966044,104423,0.0567828,295.26,54.0128,-52.5097,12.2765,76.3241
5,1.27569,273711,0,-251.327,29.1123,253.008,0.222763,69.8819,-66.5504,16.052,97.8269,0.00548133,0.111201,0.96,0.966434,107984,0.122069,294.88,54.7797,-52.1682,12.583,76.6855
6,1.27124,275710,0,-251.327,29.8678,253.096,0.244659,65.4209,-84.3638,12.5467,107.492,0.0062779,0.114087,0.96,0.966776,108466,0.130899,297.233,51.4624,-66.3634,9.86945,84.557
7,1.25089,276554,0,-251.327,30.5042,253.172,0.270622,60.2714,-99.6345,18.5147,117.909,0.00695553,0.116517,0.96,0.96707,108399,0.129666,301.879,48.1829,-79.648,14.8022,94.2576
8,1.40015,306602,0,-251.327,31.0371,253.237,0.27148,68.1968,-110.839,20.5585,131.752,0.00752784,0.118553,0.96,0.967322,120161,0.345281,298.964,48.7063,-79.1629,14.6832,94.0993
9,1.28545,294368,0,-251.327,31.4812,253.291,0.36799,46.8796,-158.738,15.8197,166.27,0.00800827,0.120249,0.96,0.967535,113446,0.222186,307.443,36.4695,-123.49,12.3076,129.35
10,1.39665,317671,0,-251.327,31.8499,253.337,0.369688,51.1651,-172.746,15.6634,180.843,0.00840947,0.121658,0.96,0.967714,122384,0.386041,305.26,36.6343,-123.681,11.2079,129.478
11,1.58106,364050,0,-251.327,32.1548,253.376,0.351886,60.9038,-186.267,12.8483,196.392,0.0087431,0.122822,0.96,0.967865,140740,0.722519,310.099,38.521,-117.812,8.1275,124.216
