"Time_Iter","Outer_Iter","Inner_Iter",    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,   "RefForce[0]"  ,      "CD[0]"     ,      "CL[0]"     ,     "CSF[0]"     ,     "CMx[0]"     ,     "CMy[0]"     ,     "CMz[0]"     ,     "CFx[0]"     ,     "CFy[0]"     ,     "CFz[0]"     ,     "CEff[0]"    ,  "bgs[DispX][1]" ,  "bgs[DispY][1]" ,  "bgs[DispZ][1]" 
          0,           0,           0,      0.0607347955,     -0.1299893323,     -0.9005656757,             0.005,       3.174398602,      0.4407400596,                 0,                 0,                 0,      -1.826207334,       3.174398602,      0.4407400596,                 0,      0.1388420658,      -2.761157917,      -3.480465947,                 0
          0,           1,           0,      -1.035203977,      -1.314090608,      -1.582358427,             0.005,        2.80979391,     -0.3833910397,                 0,                 0,                 0,      -1.493060208,        2.80979391,     -0.3833910397,                 0,     -0.1364480997,      -3.857876314,      -4.288454734,                 0
          0,           2,           0,       -1.98818978,      -2.284657627,      -2.565670525,             0.005,       2.866833964,     -0.3276672607,                 0,                 0,                 0,      -1.531046373,       2.866833964,     -0.3276672607,                 0,     -0.1142958626,      -4.541795094,      -4.986865813,                 0
          0,           3,           0,      -2.687875313,       -2.98132897,      -3.264786169,             0.005,        2.85545319,     -0.3393967218,                 0,                 0,                 0,      -1.523372416,        2.85545319,     -0.3393967218,                 0,      -0.118859144,      -5.252240991,      -5.694145159,                 0
          0,           4,           0,      -3.396905632,      -3.690392729,      -3.973723116,             0.005,       2.857682859,     -0.3371218103,                 0,                 0,                 0,      -1.524871678,       2.857682859,     -0.3371218103,                 0,     -0.1179703371,      -5.958586088,      -6.401139315,                 0
          0,           5,           0,      -4.103368898,      -4.396750428,      -4.679975484,             0.005,        2.85724498,      -0.337569483,                 0,                 0,                 0,      -1.524577081,        2.85724498,      -0.337569483,                 0,     -0.1181450962,      -6.665773429,      -7.108199137,                 0
          0,           6,           0,      -4.809324667,      -5.100815651,      -5.384949403,             0.005,       2.857330943,     -0.3374816323,                 0,                 0,                 0,       -1.52463491,       2.857330943,     -0.3374816323,                 0,     -0.1181107961,      -7.372732795,      -7.815182298,                 0
          0,           7,           0,      -5.512552601,      -5.776758379,      -6.081087562,             0.005,       2.857314067,     -0.3374988865,                 0,                 0,                 0,      -1.524623557,       2.857314067,     -0.3374988865,                 0,     -0.1181175323,      -8.079843502,      -8.522291167,                 0
          0,           8,           0,      -6.182000624,      -6.327413521,      -6.630242341,             0.005,       2.857317375,     -0.3374955065,                 0,                 0,                 0,      -1.524625778,       2.857317375,     -0.3374955065,                 0,     -0.1181162126,      -8.789531208,      -9.232088924,                 0
          0,           9,           0,      -6.749066143,      -6.860449074,      -7.093283872,             0.005,       2.857316742,     -0.3374961661,                 0,                 0,                 0,      -1.524625363,       2.857316742,     -0.3374961661,                 0,     -0.1181164696,      -9.531313122,       -9.97516827,                 0
          0,          10,           0,      -7.240823215,      -7.511326568,      -7.645774376,             0.005,       2.857316839,      -0.337496045,                 0,                 0,                 0,       -1.52462542,       2.857316839,      -0.337496045,                 0,     -0.1181164232,      -10.49082066,       -10.9446394,                 0
          0,          11,           0,      -7.698853178,      -8.138939369,      -8.300573936,             0.005,       2.857316834,     -0.3374960583,                 0,                 0,                 0,      -1.524625419,       2.857316834,     -0.3374960583,                 0,     -0.1181164281,      -11.61380792,      -12.01066731,                 0
          0,          12,           0,      -8.916393651,      -9.432031539,      -9.468865107,             0.005,       2.857316834,     -0.3374960593,                 0,                 0,                 0,      -1.524625419,       2.857316834,     -0.3374960593,                 0,     -0.1181164284,        -12.253774,      -12.68367191,                 0
          0,          13,           0,      -9.579415895,      -10.13872487,      -10.14682401,             0.005,       2.857316834,     -0.3374960595,                 0,                 0,                 0,       -1.52462542,       2.857316834,     -0.3374960595,                 0,     -0.1181164285,      -12.90756553,      -13.33533922,                 0
          0,          14,           0,      -10.22174261,      -10.78596731,      -10.79600787,             0.005,       2.857316834,     -0.3374960596,                 0,                 0,                 0,       -1.52462542,       2.857316834,     -0.3374960596,                 0,     -0.1181164285,      -13.53869594,      -13.96770732,                 0
