"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -4.799716601,      -19.84522107,               -32
          0,           0,           1,      -4.480530897,      -3.310751422,      -4.831102648
          0,           0,           2,      -4.628515395,       -3.95484082,      -4.885314139
          0,           0,           3,      -4.494024298,      -4.006316207,      -5.205014861
          0,           0,           4,      -4.552279562,       -4.02956213,      -5.306000234
          0,           0,           5,      -4.744925933,      -4.191013443,       -5.41378774
          0,           0,           6,      -4.926193924,      -4.371688959,      -5.545340021
          0,           0,           7,      -5.001303824,      -4.444121645,      -5.756424123
          0,           0,           8,      -5.063828614,      -4.485697045,      -5.848649315
          0,           0,           9,      -5.214979833,      -4.608452273,       -5.73391589
          0,           0,          10,      -5.478301676,      -4.838085807,      -5.640607121
          0,           0,          11,      -5.740586371,      -5.082085345,      -5.599780103
          0,           0,          12,        -5.6561479,      -5.020209769,      -5.592030575
          0,           0,          13,      -5.551195947,      -4.917697637,      -5.605263549
          0,           0,          14,      -5.531316943,      -4.899694175,      -5.636349257
          0,           0,          15,       -5.57516746,      -4.946657202,      -5.682292034
          0,           0,          16,      -5.665922303,      -5.041671844,      -5.742938271
          0,           0,          17,      -5.800540075,      -5.181124247,      -5.818107487
          0,           0,          18,        -5.9884421,      -5.372815369,      -5.908221707
          0,           0,          19,      -6.223951352,      -5.607856575,      -6.014295778
          0,           0,          20,      -6.335212874,      -5.715768009,      -6.138025795
          0,           0,          21,      -6.235016613,      -5.620280184,      -6.282079269
          0,           0,          22,      -6.159093434,       -5.54759215,      -6.446736038
          0,           0,          23,      -6.155451923,      -5.544573665,      -6.627192581
          0,           0,          24,      -6.207176295,      -5.595696207,       -6.80686217
          0,           0,          25,       -6.30169271,      -5.689191693,      -6.940206671
          0,           0,          26,      -6.439765268,      -5.825533339,       -6.99757176
          0,           0,          27,      -6.634917293,      -6.016088388,      -7.011989227
          0,           0,          28,      -6.902853413,      -6.268645239,      -7.019663817
          0,           0,          29,      -7.103803422,      -6.446246824,      -7.033474582
          0,           0,          30,      -6.990835908,      -6.355520832,      -7.053240242
          0,           0,          31,      -6.887027088,      -6.264152666,      -7.079297057
          0,           0,          32,      -6.868815967,      -6.250221884,      -7.114668375
          0,           0,          33,      -6.914600525,      -6.297574433,      -7.160094388
          0,           0,          34,      -7.008015725,      -6.391966432,      -7.218397245
          0,           0,          35,      -7.146861492,      -6.531649548,      -7.291878604
          0,           0,          36,       -7.34194856,      -6.726481908,      -7.382853928
          0,           0,          37,      -7.592498263,      -6.972662512,      -7.493700663
          0,           0,          38,      -7.713959116,       -7.09003503,      -7.627615163
          0,           0,          39,      -7.602514399,      -6.984201551,      -7.789893329
          0,           0,          40,      -7.521668847,      -6.906518462,       -7.98498436
          0,           0,          41,      -7.516709907,      -6.902450841,      -8.207228236
          0,           0,          42,      -7.568741976,      -6.954481395,      -8.412571379
          0,           0,          43,      -7.664613599,      -7.050195111,      -8.489216889
          0,           0,          44,      -7.805038269,      -7.189933808,      -8.473812551
          0,           0,          45,      -8.003968768,      -7.385427481,      -8.460860244
          0,           0,          46,      -8.275317656,      -7.642425001,       -8.46652918
          0,           0,          47,      -8.451302758,       -7.80023703,      -8.484442788
          0,           0,          48,      -8.326925168,      -7.696218626,      -8.505870638
          0,           0,          49,      -8.229454705,      -7.608963748,      -8.529528393
          0,           0,          50,      -8.216421856,      -7.599363952,      -8.558938532
          0,           0,          51,      -8.265404243,      -7.649510335,      -8.597663702
          0,           0,          52,      -8.361115181,      -7.745910009,      -8.650177815
          0,           0,          53,       -8.50264166,      -7.887934399,      -8.719749503
          0,           0,          54,      -8.701948754,      -8.086438517,      -8.809150379
          0,           0,          55,      -8.958678227,      -8.337418232,      -8.920965107
          0,           0,          56,      -9.074801816,       -8.44865846,      -9.058843834
          0,           0,          57,      -8.956093753,      -8.336786933,      -9.228557587
          0,           0,          58,      -8.875679227,      -8.259978689,      -9.433444479
          0,           0,          59,      -8.872379136,      -8.257747839,      -9.654317009
          0,           0,          60,      -8.926099626,      -8.311580122,      -9.809066359
          0,           0,          61,        -9.0238033,      -8.409251674,       -9.82937389
          0,           0,          62,      -9.166699786,      -8.551602523,       -9.81554936
