"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.364152       , 0.001           
1               , -0.258291       , 0.001           
2               , -0.176228       , 0.001           
3               , -0.123217       , 0.001           
4               , -0.0977928      , 0.001           
5               , -0.0970879      , 0.001           
6               , -0.116677       , 0.001           
7               , -0.150056       , 0.001           
8               , -0.188968       , 0.001           
9               , -0.225092       , 0.001           
10              , -0.252804       , 0.001           
11              , -0.271762       , 0.001           
12              , -0.287358       , 0.001           
13              , -0.307904       , 0.001           
14              , -0.340276       , 0.001           
15              , -0.388541       , 0.001           
16              , -0.459104       , 0.001           
17              , -0.573706       , 0.001           
18              , -0.825425       , 0.001           
19              , 0.106039        , 0.001           
20              , 0.8355          , 0.001           
21              , 1.3091          , 0.001           
22              , 1.51614         , 0.001           
23              , 1.48975         , 0.001           
24              , 1.28799         , 0.001           
25              , 0.979794        , 0.001           
26              , 0.63221         , 0.001           
27              , 0.300849        , 0.001           
28              , 0.025449        , 0.001           
29              , -0.169324       , 0.001           
30              , -0.26971        , 0.001           
31              , -0.269411       , 0.001           
32              , -0.172012       , 0.001           
33              , -0.00162568     , 0.001           
34              , 0.188511        , 0.001           
35              , 0.340835        , 0.001           
36              , 0.4642          , 0.001           
37              , 0.676221        , 0.001           
