,Points_0,Pressure_Coefficient,,,,,,x/c,Cp
2,0.99776,0.516982,,,1,1,,-0.00224,0.516982
2,0.99378,0.414072,,,0,,,-0.00622,0.414072
2,0.98784,0.352594,,,,,,-0.01216,0.352594
2,0.97995,0.30327,,,,,,-0.02005,0.30327
2,0.97015,0.260703,,,,,,-0.02985,0.260703
2,0.95847,0.222462,,,,,,-0.04153,0.222462
2,0.94496,0.187303,,,,,,-0.05504,0.187303
2,0.92969,0.154509,,,,,,-0.07031,0.154509
2,0.9127,0.123533,,,,,,-0.0873,0.123533
2,0.89406,0.0940387,,,,,,-0.10594,0.0940387
2,0.87385,0.0657718,,,,,,-0.12615,0.0657718
2,0.85216,0.0384758,,,,,,-0.14784,0.0384758
2,0.82905,0.0118747,,,,,,-0.17095,0.0118747
2,0.80464,-0.0141956,,,,,,-0.19536,-0.0141956
2,0.77901,-0.0398182,,,,,,-0.22099,-0.0398182
2,0.75228,-0.0652659,,,,,,-0.24772,-0.0652659
2,0.72453,-0.0908718,,,,,,-0.27547,-0.0908718
2,0.69589,-0.116671,,,,,,-0.30411,-0.116671
2,0.66647,-0.142852,,,,,,-0.33353,-0.142852
2,0.63638,-0.169642,,,,,,-0.36362,-0.169642
2,0.60576,-0.197246,,,,,,-0.39424,-0.197246
2,0.57471,-0.22584,,,,,,-0.42529,-0.22584
2,0.54336,-0.255394,,,,,,-0.45664,-0.255394
2,0.51184,-0.285805,,,,,,-0.48816,-0.285805
2,0.48027,-0.316544,,,,,,-0.51973,-0.316544
2,0.44878,-0.351433,,,,,,-0.55122,-0.351433
2,0.4175,-0.381809,,,,,,-0.5825,-0.381809
2,0.38654,-0.37845,,,,,,-0.61346,-0.37845
2,0.35604,-0.452663,,,,,,-0.64396,-0.452663
2,0.32611,-0.6231,,,,,,-0.67389,-0.6231
2,0.29687,-0.648592,,,,,,-0.70313,-0.648592
2,0.26845,-0.628378,,,,,,-0.73155,-0.628378
2,0.24094,-0.60916,,,,,,-0.75906,-0.60916
2,0.21447,-0.585025,,,,,,-0.78553,-0.585025
2,0.18914,-0.557253,,,,,,-0.81086,-0.557253
2,0.16504,-0.523231,,,,,,-0.83496,-0.523231
2,0.14229,-0.480848,,,,,,-0.85771,-0.480848
2,0.12095,-0.432891,,,,,,-0.87905,-0.432891
2,0.10113,-0.377406,,,,,,-0.89887,-0.377406
2,0.0829,-0.312619,,,,,,-0.9171,-0.312619
2,0.06633,-0.236843,,,,,,-0.93367,-0.236843
2,0.05149,-0.147093,,,,,,-0.94851,-0.147093
2,0.03844,-0.0379118,,,,,,-0.96156,-0.0379118
2,0.02723,0.0984788,,,,,,-0.97277,0.0984788
2,0.0179,0.273134,,,,,,-0.9821,0.273134
2,0.01049,0.498853,,,,,,-0.98951,0.498853
2,0.00504,0.774201,,,,,,-0.99496,0.774201
2,0.00156,1.04306,,,,,,-0.99844,1.04306
2,6e-05,1.1658,,,,,,-0.99994,1.1658
2,6e-05,1.10879,,,,,,-0.99994,1.10879
2,0.00156,0.791235,,,,,,-0.99844,0.791235
2,0.00504,0.404505,,,,,,-0.99496,0.404505
2,0.01049,0.0793124,,,,,,-0.98951,0.0793124
2,0.0179,-0.15559,,,,,,-0.9821,-0.15559
2,0.02723,-0.323789,,,,,,-0.97277,-0.323789
2,0.03844,-0.448007,,,,,,-0.96156,-0.448007
2,0.05149,-0.544066,,,,,,-0.94851,-0.544066
2,0.06633,-0.620424,,,,,,-0.93367,-0.620424
2,0.0829,-0.685475,,,,,,-0.9171,-0.685475
2,0.10113,-0.742615,,,,,,-0.89887,-0.742615
2,0.12095,-0.790382,,,,,,-0.87905,-0.790382
2,0.14229,-0.833406,,,,,,-0.85771,-0.833406
2,0.16504,-0.874198,,,,,,-0.83496,-0.874198
