"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633192551994360e-05, 4.849290635380700e-01, -1.138976017328159e+00, -1.295085236993855e-01, 3.102255601001160e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.077780142845660e+00
1, 9.990000128750000e-01, -1.454406184923616e-04, 1.174235242028694e-02, -1.567187290896939e-01, -9.736123823709580e-02, 2.312599133807694e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.202614431270909e+00
2, 9.977599978450000e-01, -3.271597077893920e-04, -1.017958829685185e-02, -8.051723926923808e-02, -1.304561841157166e-01, 1.180620685294047e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.997725067109753e-02
3, 9.960200190539999e-01, -5.880509054741896e-04, -3.794095899898856e-02, -2.499159121431500e-02, -1.266193279607904e-01, 7.823106872495433e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.453216807863143e-02
4, 9.937800168990000e-01, -9.403215026928098e-04, -6.595148376137724e-02, 2.621382157072286e-02, -1.341909846911934e-01, -1.045550629568782e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.152233252883836e-02
5, 9.910500049590000e-01, -1.403399641146777e-03, -7.883266941604263e-02, 5.136109165448918e-02, -1.461691377626564e-01, -1.519104680869202e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.434926650615836e-02
6, 9.878399968150000e-01, -2.003093828390375e-03, -8.320121438591863e-02, 6.324287555980310e-02, -1.623987882785360e-01, -1.733800809048150e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.547386582242996e-02
7, 9.841300249100000e-01, -2.770688291058856e-03, -7.797105509154877e-02, 6.081708664571168e-02, -1.817844492534826e-01, -1.673389393890623e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.897812094205618e-02
8, 9.799500107769999e-01, -3.715859691349400e-03, -6.230784063971477e-02, 4.327796616637420e-02, -2.016382188961224e-01, -1.329819585098440e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.337141416789968e-02
9, 9.752799868580000e-01, -4.836301220365391e-03, -3.679533045411876e-02, 1.160757545536859e-02, -2.183162387768111e-01, -7.214992712492903e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.781298633692361e-02
10, 9.701499938960000e-01, -6.091060421970907e-03, -3.936901956301794e-03, -3.052618001909587e-02, -2.280567013985653e-01, 8.699280556522274e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.249747117794312e-02
11, 9.645400047300000e-01, -7.430254877700583e-03, 3.167611813228438e-02, -7.680264762612694e-02, -2.281436856479221e-01, 9.773823523376796e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.323711087485957e-03
12, 9.584699869160000e-01, -8.788871314731680e-03, 6.359750999406040e-02, -1.188110356500138e-01, -2.181484448684243e-01, 1.785797824638586e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.153843739708757e-03
13, 9.519400000570000e-01, -1.011953739359490e-02, 8.589156901325154e-02, -1.489041982317690e-01, -2.009068081038083e-01, 2.351581140619323e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.721906279396501e-03
14, 9.449599981310000e-01, -1.139831937984752e-02, 9.584918751557679e-02, -1.634633754699151e-01, -1.813677888094493e-01, 2.599683770740157e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.963181897209922e-03
15, 9.375399947170000e-01, -1.262914200968472e-02, 9.553496130321712e-02, -1.647129186538347e-01, -1.642728282068633e-01, 2.579999372336377e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.977001444749777e-03
16, 9.296900033950000e-01, -1.383568316487456e-02, 9.014810150742368e-02, -1.588191105434692e-01, -1.522878219731347e-01, 2.425435442221138e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.025111803838080e-03
17, 9.214000105860000e-01, -1.505148410677486e-02, 8.454384458264098e-02, -1.518847619057749e-01, -1.454687382745241e-01, 2.267843918709701e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.980780447953694e-03
