"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633192551994360e-05, 1.320848003504981e+00, 6.955360319782089e-01, 1.011604931159885e-01, 3.778244580451943e+00
1, 9.990000128750000e-01, -1.454406184923616e-04, 1.188619153296616e+00, 7.003271904226472e-01, 1.023480042953988e-01, 3.412133446704959e+00
2, 9.977599978450000e-01, -3.271597077893920e-04, 1.180054900518942e+00, 7.525175678899103e-01, 1.117693648676268e-01, 3.397842550803270e+00
3, 9.960200190539999e-01, -5.880509054741896e-04, 1.167049282313591e+00, 7.721643891827804e-01, 1.189607963594995e-01, 3.365817178796816e+00
4, 9.937800168990000e-01, -9.403215026928098e-04, 1.159003443198223e+00, 7.803680958702491e-01, 1.280222003730625e-01, 3.345492195172240e+00
5, 9.910500049590000e-01, -1.403399641146777e-03, 1.153461540019861e+00, 7.879810761546351e-01, 1.409834426597736e-01, 3.332144851775430e+00
6, 9.878399968150000e-01, -2.003093828390375e-03, 1.145934028901796e+00, 7.949031098627576e-01, 1.570614354664578e-01, 3.313401763773891e+00
7, 9.841300249100000e-01, -2.770688291058856e-03, 1.135254587434504e+00, 8.049365300789579e-01, 1.747364068742275e-01, 3.286813381737699e+00
8, 9.799500107769999e-01, -3.715859691349400e-03, 1.120187039400432e+00, 8.193577104088937e-01, 1.912393902041052e-01, 3.249228521521661e+00
9, 9.752799868580000e-01, -4.836301220365391e-03, 1.100828874662160e+00, 8.381830946359641e-01, 2.031479254524293e-01, 3.200884622675578e+00
10, 9.701499938960000e-01, -6.091060421970907e-03, 1.078317079620622e+00, 8.599349297563411e-01, 2.076941404116767e-01, 3.144557074103432e+00
11, 9.645400047300000e-01, -7.430254877700583e-03, 1.055091583667340e+00, 8.817728380437116e-01, 2.036690878257427e-01, 3.086268820067406e+00
12, 9.584699869160000e-01, -8.788871314731680e-03, 1.034958792254990e+00, 9.006351940370765e-01, 1.922271097020417e-01, 3.035666549696564e+00
13, 9.519400000570000e-01, -1.011953739359490e-02, 1.020886852371922e+00, 9.144259839804789e-01, 1.766209545072903e-01, 3.000294249372081e+00
14, 9.449599981310000e-01, -1.139831937984752e-02, 1.013555447181541e+00, 9.226876644178355e-01, 1.608041918845662e-01, 2.981884509957251e+00
15, 9.375399947170000e-01, -1.262914200968472e-02, 1.011384142091140e+00, 9.263685921858187e-01, 1.478649663746803e-01, 2.976424063559223e+00
16, 9.296900033950000e-01, -1.383568316487456e-02, 1.011799137165725e+00, 9.272823742681434e-01, 1.391695997250181e-01, 2.977430133161319e+00
17, 9.214000105860000e-01, -1.505148410677486e-02, 1.012480577789171e+00, 9.272375723381915e-01, 1.344862350850473e-01, 2.979075701751460e+00
18, 9.126999974250000e-01, -1.629990808968641e-02, 1.011985205555312e+00, 9.274978663061313e-01, 1.326316396476016e-01, 2.977737592891494e+00
19, 9.035800099370001e-01, -1.759973353187712e-02, 1.009828192985997e+00, 9.286151450820833e-01, 1.322328192776902e-01, 2.972197905611683e+00
20, 8.940600156780000e-01, -1.895420179870470e-02, 1.006182530161270e+00, 9.306374274708409e-01, 1.321878549167564e-01, 2.962900181402374e+00
21, 8.841500282290000e-01, -2.035957052879699e-02, 1.001499074201838e+00, 9.333025309582861e-01, 1.318399375344239e-01, 2.950974888612270e+00
22, 8.738499879840000e-01, -2.180910543430300e-02, 9.962528099013059e-01, 9.362829847525631e-01, 1.309383579589075e-01, 2.937612736919176e+00
23, 8.631799817090000e-01, -2.329221322589389e-02, 9.908288871132490e-01, 9.393320372314694e-01, 1.295017180654172e-01, 2.923789344561845e+00
24, 8.521599769590000e-01, -2.479941512380759e-02, 9.854401863572585e-01, 9.422745622899600e-01, 1.276619976114107e-01, 2.910036044677113e+00
25, 8.407700061800000e-01, -2.632837949520534e-02, 9.801729725352858e-01, 9.450548543076356e-01, 1.255767509802509e-01, 2.896574599531320e+00
26, 8.290500044819999e-01, -2.787021598333102e-02, 9.750208489906534e-01, 9.476634855869335e-01, 1.233556367129081e-01, 2.883387903209447e+00
27, 8.170099854470000e-01, -2.942117828972242e-02, 9.699401093351241e-01, 9.501341055478351e-01, 1.210622156054841e-01, 2.870369073890323e+00
28, 8.046399950980000e-01, -3.098043989985257e-02, 9.648778536639897e-01, 9.524768607070034e-01, 1.187139104343369e-01, 2.857378910708752e+00
29, 7.919700145720000e-01, -3.254208650530539e-02, 9.598124344578581e-01, 9.547175308674402e-01, 1.162997859391032e-01, 2.844365822236101e+00
30, 7.790099978450000e-01, -3.410258136868621e-02, 9.547338620044310e-01, 9.568823013674432e-01, 1.138038899609295e-01, 2.831309772965596e+00
31, 7.657799720760000e-01, -3.565691965670497e-02, 9.496124237992495e-01, 9.589594191163711e-01, 1.112015552136351e-01, 2.818127137747897e+00
32, 7.522799968720000e-01, -3.720220959049202e-02, 9.444211827501374e-01, 9.609530766847625e-01, 1.084777096069478e-01, 2.804746877333219e+00
33, 7.385200262070000e-01, -3.873417344112527e-02, 9.391803856213228e-01, 9.628684105365850e-01, 1.056246005071840e-01, 2.791224684619298e+00
34, 7.245299816130000e-01, -4.024632677589922e-02, 9.339407334198871e-01, 9.646875254306564e-01, 1.026376864597659e-01, 2.777690661738473e+00
35, 7.103199958800001e-01, -4.173450856991878e-02, 9.287392160357174e-01, 9.663888707172690e-01, 9.951899232871229e-02, 2.764236941079150e+00
36, 6.958900094030001e-01, -4.319567900979453e-02, 9.236194561142405e-01, 9.679958134820162e-01, 9.628086394328282e-02, 2.750986576025102e+00
37, 6.812700033190000e-01, -4.462394088188092e-02, 9.185747017291253e-01, 9.694643186672594e-01, 9.292833781030765e-02, 2.737907924675841e+00
38, 6.664699912070000e-01, -4.601574503663058e-02, 9.136383502342048e-01, 9.708240135403357e-01, 8.947944210731398e-02, 2.725098461600619e+00
39, 6.514999866490000e-01, -4.736780016636943e-02, 9.088237573828672e-01, 9.720704494125718e-01, 8.594880898489672e-02, 2.712591867690529e+00
40, 6.363800168040000e-01, -4.867624918413012e-02, 9.041472102183739e-01, 9.731934678584679e-01, 8.235113561255129e-02, 2.700427676253560e+00
41, 6.211299896240000e-01, -4.993769384749128e-02, 8.996409761294234e-01, 9.742169004881742e-01, 7.870393125362705e-02, 2.688698147462768e+00
42, 6.057599782940000e-01, -5.114994616543568e-02, 8.953037173990911e-01, 9.751207928830491e-01, 7.502029369586272e-02, 2.677392669110857e+00
43, 5.902799963950000e-01, -5.231111831905059e-02, 8.911426378487017e-01, 9.759396569873858e-01, 7.131645953490569e-02, 2.666540217822270e+00
44, 5.747100114820000e-01, -5.341891196250524e-02, 8.871249693211832e-01, 9.766515681781425e-01, 6.760140006649688e-02, 2.656046249757322e+00
45, 5.590599775310000e-01, -5.447209061876831e-02, 8.832785484350849e-01, 9.772923302577002e-01, 6.388982410452072e-02, 2.645994930648269e+00
46, 5.433599948880000e-01, -5.546839806185518e-02, 8.796613743855247e-01, 9.778399912422959e-01, 6.018515737289294e-02, 2.636531585796098e+00
47, 5.276100039480000e-01, -5.640780773651622e-02, 8.763628793154031e-01, 9.783307964860443e-01, 5.649788323566460e-02, 2.627902815564303e+00
48, 5.118399858470000e-01, -5.728865537848245e-02, 8.733105027938948e-01, 9.787468272391309e-01, 5.282506598681799e-02, 2.619909713384699e+00
49, 4.960500001910000e-01, -5.811116884544621e-02, 8.702852533728543e-01, 9.791263307410459e-01, 4.917095975033393e-02, 2.611985549564072e+00
50, 4.802699983120000e-01, -5.887407550014048e-02, 8.670835800426188e-01, 9.794221842132995e-01, 4.552640932895044e-02, 2.603577920133309e+00
51, 4.645099937920000e-01, -5.957724064237201e-02, 8.640459767784865e-01, 9.796259628884613e-01, 4.188506506137921e-02, 2.595582019315820e+00
52, 4.487800002100000e-01, -6.022046756124510e-02, 8.623855662626574e-01, 9.797230462965616e-01, 3.823745605599522e-02, 2.591188779469822e+00
53, 4.331099987030000e-01, -6.080274609201176e-02, 8.639964974380182e-01, 9.797964165742297e-01, 3.457136818247074e-02, 2.595414356196271e+00
54, 4.174999892710000e-01, -6.132415885530482e-02, 8.699367252160106e-01, 9.799136379206420e-01, 3.087470589063843e-02, 2.611078681564763e+00
55, 4.019699990750000e-01, -6.178389207543662e-02, 8.770485568926923e-01, 9.801197980321348e-01, 2.712754020670782e-02, 2.629884684449971e+00
56, 3.865399956700000e-01, -6.218106274898885e-02, 8.754308207934762e-01, 9.803903931935271e-01, 2.330743331954004e-02, 2.625667140429655e+00
57, 3.712300062180000e-01, -6.251469313053859e-02, 8.536201286015428e-01, 9.801408502664437e-01, 1.937630960193524e-02, 2.568060488779092e+00
58, 3.560400009160000e-01, -6.278401419321267e-02, 8.147457038075689e-01, 9.778605541297051e-01, 1.529150352195268e-02, 2.465300288954144e+00
59, 3.409900069240000e-01, -6.298757758605239e-02, 7.851507856204848e-01, 9.746238172670055e-01, 1.106278410651251e-02, 2.386993214469633e+00
60, 3.261100053790000e-01, -6.312374432607890e-02, 7.747942453255673e-01, 9.726972700981379e-01, 6.687613492132099e-03, 2.359392046569802e+00
61, 3.113999962810000e-01, -6.319101863651254e-02, 7.747406422176086e-01, 9.722193918021448e-01, 2.118668874210545e-03, 2.359074154684685e+00
62, 2.968699932100000e-01, -6.318746441249802e-02, 7.766043561359605e-01, 9.723630244327823e-01, -2.696081133894209e-03, 2.363963482635246e+00
63, 2.825500071050000e-01, -6.311102596960108e-02, 7.773079758462517e-01, 9.724171609263376e-01, -7.798330974208555e-03, 2.365819456099966e+00
64, 2.684499919410000e-01, -6.295954929017343e-02, 7.774692192991960e-01, 9.724767742996840e-01, -1.322673522419846e-02, 2.366280396221470e+00
65, 2.545700073240000e-01, -6.273046773062108e-02, 7.779300105364233e-01, 9.725025387341146e-01, -1.901924250355579e-02, 2.367520390167948e+00
66, 2.409400045870000e-01, -6.242153617461230e-02, 7.789766584240051e-01, 9.726217525433672e-01, -2.522588062329578e-02, 2.370331398145781e+00
67, 2.275699973110000e-01, -6.203019650222763e-02, 7.804011072545634e-01, 9.727186172220958e-01, -3.188888729499128e-02, 2.374135652989245e+00
68, 2.144699990750000e-01, -6.155376310280602e-02, 7.820651965868716e-01, 9.728113797062967e-01, -3.905766751302916e-02, 2.378585343010936e+00
69, 2.016600072380000e-01, -6.098992929457776e-02, 7.839980506248998e-01, 9.728476354796214e-01, -4.678886554890797e-02, 2.383742942327772e+00
70, 1.891400069000000e-01, -6.033552341654038e-02, 7.865390491847383e-01, 9.729285324635439e-01, -5.514236308590697e-02, 2.390533422313453e+00
71, 1.769299954180000e-01, -5.958831422687666e-02, 7.900705944041005e-01, 9.730681045796253e-01, -6.419137672780253e-02, 2.399965842837146e+00
72, 1.650400012730000e-01, -5.874569374987669e-02, 7.947114220180640e-01, 9.732290919073843e-01, -7.400284317172261e-02, 2.412348978610898e+00
73, 1.534900069240000e-01, -5.780597355612167e-02, 8.001461669919344e-01, 9.732514751649165e-01, -8.464754658897761e-02, 2.426821198927627e+00
74, 1.422899961470000e-01, -5.676703544013587e-02, 8.060644216977185e-01, 9.730585999201126e-01, -9.620916096104429e-02, 2.442563772769947e+00
75, 1.314399987460000e-01, -5.562582450223765e-02, 8.124814507365317e-01, 9.725459583914154e-01, -1.087776198670730e-01, 2.459599231441575e+00
76, 1.209499984980000e-01, -5.438019281105685e-02, 8.197574149856925e-01, 9.717504956768310e-01, -1.224631297172275e-01, 2.478904993098383e+00
77, 1.108499988910000e-01, -5.303100635258052e-02, 8.282007754521424e-01, 9.705679503899250e-01, -1.373988934757171e-01, 2.501284398215207e+00
78, 1.011300012470000e-01, -5.157436588272576e-02, 8.378217336819950e-01, 9.686664001638734e-01, -1.536619839480465e-01, 2.526690748958614e+00
79, 9.181000292300000e-02, -5.001064397156811e-02, 8.486517281424701e-01, 9.659068274793210e-01, -1.714047084277342e-01, 2.555210635416718e+00
80, 8.290000259900000e-02, -4.833936690145461e-02, 8.607856225660828e-01, 9.621097889744783e-01, -1.907810346808307e-01, 2.587094599501679e+00
81, 7.440000027400000e-02, -4.655833701321919e-02, 8.743179101775070e-01, 9.568882705650378e-01, -2.119077389725844e-01, 2.622537549817006e+00
82, 6.633000075800000e-02, -4.466985632962530e-02, 8.894529451311237e-01, 9.498899934392242e-01, -2.349603291937140e-01, 2.662059329867328e+00
83, 5.869000032500000e-02, -4.267238518180172e-02, 9.063454956967321e-01, 9.405497289396351e-01, -2.600345362058579e-01, 2.706003546348523e+00
84, 5.149000138000000e-02, -4.056702982633777e-02, 9.252116056128334e-01, 9.281780691223482e-01, -2.872136529828626e-01, 2.754872603960711e+00
85, 4.473999887700000e-02, -3.835572331670849e-02, 9.463984226719104e-01, 9.118758692971741e-01, -3.164986229394041e-01, 2.809497469887391e+00
86, 3.844000026600000e-02, -3.603756751572514e-02, 9.702108605359405e-01, 8.904848430443143e-01, -3.477035912190050e-01, 2.870572201430326e+00
87, 3.260000050100000e-02, -3.361547302980042e-02, 9.969508167153982e-01, 8.626229543334816e-01, -3.804308113889150e-01, 2.938785715977016e+00
88, 2.723000012300000e-02, -3.109377436873374e-02, 1.026867626350473e+00, 8.263878449147301e-01, -4.138453696830414e-01, 3.014618933782450e+00
89, 2.232000045500000e-02, -2.846736921201311e-02, 1.060266488759906e+00, 7.796699046373069e-01, -4.462625719924109e-01, 3.098708247066760e+00
90, 1.789999939500000e-02, -2.575352704508564e-02, 1.097220464580884e+00, 7.199096732881231e-01, -4.752568214204108e-01, 3.191067824216452e+00
91, 1.394999958600000e-02, -2.294181488779031e-02, 1.137643343469534e+00, 6.448357296631224e-01, -4.964867298724259e-01, 3.291343275745014e+00
92, 1.049000024800000e-02, -2.004825037443111e-02, 1.180624302950129e+00, 5.524276931012917e-01, -5.037644439374797e-01, 3.397016225379441e+00
93, 7.519999985000000e-03, -1.707823271411017e-02, 1.224901680343799e+00, 4.431483163357697e-01, -4.886951403460955e-01, 3.505001574874404e+00
94, 5.040000193000000e-03, -1.403809882113844e-02, 1.267909437796209e+00, 3.208602236325735e-01, -4.409749466000088e-01, 3.609037201127407e+00
95, 3.049999941000000e-03, -1.093487842610042e-02, 1.306699749286500e+00, 1.957308124776354e-01, -3.508874156978071e-01, 3.702565839424767e+00
96, 1.560000004000000e-03, -7.799488469047798e-03, 1.333543978710418e+00, 8.473254660044831e-02, -2.145849524306134e-01, 3.766320088083852e+00
97, 5.600000150000000e-04, -4.628960132478497e-03, 1.350490683624220e+00, 7.898285990580199e-03, -3.329705845948940e-02, 3.808532063604153e+00
98, 5.999999800000000e-05, -1.475890165745417e-03, 1.339246650872018e+00, -2.028768499678055e-02, 1.676980044909035e-01, 3.779743547104204e+00
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.313418995450178e+00, 0.000000000000000e+00, 3.047040439505005e-01, 3.713963812089509e+00
100, 5.999999800000000e-05, 1.371097629470294e-03, 1.302414791853418e+00, 5.834540558516910e-02, 4.273629010150939e-01, 3.693239705734539e+00
101, 5.600000150000000e-04, 4.101835073021190e-03, 1.256621055607013e+00, 1.661230402620515e-01, 5.899303787097465e-01, 3.586395348531000e+00
102, 1.560000004000000e-03, 6.697845624259732e-03, 1.166089126711045e+00, 3.392818882872543e-01, 6.891985106994331e-01, 3.360686216846693e+00
103, 3.049999941000000e-03, 9.159883556846970e-03, 1.083467468457525e+00, 5.106772519254489e-01, 7.066886979452671e-01, 3.155631648311535e+00
104, 5.040000193000000e-03, 1.151356199529697e-02, 1.005353348381317e+00, 6.507239063390278e-01, 6.684060742930530e-01, 2.958768157859641e+00
105, 7.519999985000000e-03, 1.375134723659562e-02, 9.364881741292358e-01, 7.515602174464562e-01, 6.022731258772358e-01, 2.782411191670406e+00
106, 1.049000024800000e-02, 1.588099456152351e-02, 8.801693427109663e-01, 8.183102522374014e-01, 5.290810813419831e-01, 2.636212928807606e+00
107, 1.394999958600000e-02, 1.790868381233076e-02, 8.357368594225179e-01, 8.607976791197868e-01, 4.599022644296872e-01, 2.519606242773420e+00
108, 1.789999939500000e-02, 1.983996827833475e-02, 8.016089162628413e-01, 8.874359473779544e-01, 3.990521760441517e-01, 2.429281107145995e+00
109, 2.232000045500000e-02, 2.167241129050488e-02, 7.758274952487115e-01, 9.043367175334953e-01, 3.470824485103232e-01, 2.360620000791954e+00
110, 2.723000012300000e-02, 2.342080209221491e-02, 7.566245793159880e-01, 9.153294639369743e-01, 3.034761404513604e-01, 2.309272899482805e+00
111, 3.260000050100000e-02, 2.508073021905922e-02, 7.423859956597681e-01, 9.226206502025606e-01, 2.667741912877881e-01, 2.271038629727368e+00
112, 3.844000026600000e-02, 2.666215456121531e-02, 7.319748657821392e-01, 9.277322433865380e-01, 2.359483274859600e-01, 2.243025116387690e+00
113, 4.473999887700000e-02, 2.816827226895435e-02, 7.242246981890451e-01, 9.313990952256358e-01, 2.098750162949476e-01, 2.222135165996398e+00
114, 5.149000138000000e-02, 2.960275135853808e-02, 7.184540097788208e-01, 9.340726598820214e-01, 1.876840024746022e-01, 2.206543451747070e+00
115, 5.869000032500000e-02, 3.097125775256526e-02, 7.144929937130529e-01, 9.362398059433301e-01, 1.687253237648068e-01, 2.195833313345835e+00
116, 6.633000075800000e-02, 3.227715559111580e-02, 7.121804453371973e-01, 9.381449464987293e-01, 1.524328929498377e-01, 2.189566176523358e+00
117, 7.440000027400000e-02, 3.352387049050651e-02, 7.111989692341983e-01, 9.399036468248778e-01, 1.383455081371394e-01, 2.186889098527907e+00
118, 8.290000259900000e-02, 3.471611338457736e-02, 7.111877969078902e-01, 9.416160019236758e-01, 1.261084175093115e-01, 2.186857564553798e+00
119, 9.181000292300000e-02, 3.585555121642122e-02, 7.116422749519641e-01, 9.432008212532220e-01, 1.153923714056665e-01, 2.188103548541521e+00
120, 1.011300012470000e-01, 3.694639428267898e-02, 7.120782075980041e-01, 9.445134370885654e-01, 1.059438551289096e-01, 2.189299468495097e+00
121, 1.108499988910000e-01, 3.799122287050238e-02, 7.125390277444050e-01, 9.456661970717247e-01, 9.757561953541885e-02, 2.190577183592626e+00
122, 1.209499984980000e-01, 3.899145893334021e-02, 7.135473343295100e-01, 9.468655624057126e-01, 9.013314458101983e-02, 2.193339313052279e+00
123, 1.314399987460000e-01, 3.995120695645724e-02, 7.154544962049012e-01, 9.481821158720323e-01, 8.348900943070170e-02, 2.198502565377007e+00
124, 1.422899961470000e-01, 4.087048115401344e-02, 7.180885925036384e-01, 9.497251707547014e-01, 7.752082173312019e-02, 2.205658600830359e+00
125, 1.534900069240000e-01, 4.175102737379152e-02, 7.208588843791829e-01, 9.512391210024657e-01, 7.210484085368832e-02, 2.213186431492120e+00
126, 1.650400012730000e-01, 4.259495343738853e-02, 7.233966403314009e-01, 9.525872988317773e-01, 6.714230219270803e-02, 2.220080667476577e+00
127, 1.769299954180000e-01, 4.340317494366551e-02, 7.255374805410537e-01, 9.536645954753123e-01, 6.255068961971018e-02, 2.225873585003222e+00
128, 1.891400069000000e-01, 4.417566848014045e-02, 7.273419634052379e-01, 9.545913637829997e-01, 5.827257583316852e-02, 2.230761907169565e+00
129, 2.016600072380000e-01, 4.491280675452241e-02, 7.289810039276607e-01, 9.554111681931560e-01, 5.425466566426672e-02, 2.235198369447552e+00
130, 2.144699990750000e-01, 4.561407563141134e-02, 7.307429777667075e-01, 9.562749886156715e-01, 5.044982957610935e-02, 2.239979405442244e+00
131, 2.275699973110000e-01, 4.627973007580869e-02, 7.327913170969080e-01, 9.572011609648305e-01, 4.681220450721259e-02, 2.245531168420653e+00
132, 2.409400045870000e-01, 4.690859904181527e-02, 7.351293753182144e-01, 9.582170603602961e-01, 4.329641293032043e-02, 2.251871658771093e+00
