"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.585390992,      -3.686229343,      -4.156979512,      -2.989013848
          0,           0,           1,      -3.824012105,      -3.697875119,      -3.718354467,      -3.213258726
          0,           0,           2,      -3.756258797,      -3.670584252,      -3.700533666,      -3.157903232
          0,           0,           3,      -3.706287716,      -3.685818916,      -3.675283638,      -3.112457734
          0,           0,           4,      -3.660049696,       -3.64946222,      -3.648649077,      -3.066569649
          0,           0,           5,       -3.66073543,      -3.644732431,      -3.645034431,       -3.07245172
          0,           0,           6,      -3.652762281,      -3.756165125,      -3.684308633,      -3.071434376
          0,           0,           7,      -3.657391343,      -3.759181509,      -3.689602744,       -3.07794246
          0,           0,           8,      -3.648509508,      -3.686803614,      -3.706758746,      -3.068918291
          0,           0,           9,       -3.66447557,      -3.713860596,      -3.714410631,      -3.089656528
          0,           0,          10,      -3.669315155,      -3.750589202,      -3.734775274,      -3.097849267
          0,           0,          11,      -3.671428059,      -3.768290283,      -3.749847553,      -3.099611097
          0,           0,          12,      -3.674215274,      -3.781263773,      -3.756487267,      -3.101254211
          0,           0,          13,      -3.677664496,      -3.794134323,      -3.770753157,      -3.104798013
          0,           0,          14,      -3.686814001,      -3.812301645,      -3.795444823,      -3.115132803
          0,           0,          15,      -3.701497553,       -3.83540466,      -3.825169088,      -3.130787496
          0,           0,          16,      -3.719621768,      -3.858020046,       -3.85445438,      -3.149257633
          0,           0,          17,      -3.739021803,      -3.871779483,      -3.879836919,      -3.168537594
          0,           0,          18,      -3.758296594,      -3.873893801,      -3.900694236,       -3.18736392
          0,           0,          19,      -3.777086928,      -3.871950905,      -3.921309358,       -3.20578395
          0,           0,          20,      -3.796237887,      -3.875354177,      -3.946839184,      -3.225230719
          0,           0,          21,      -3.816183491,       -3.88726812,       -3.97851963,      -3.246239145
          0,           0,          22,      -3.836398854,      -3.905018333,       -4.01360607,      -3.267731705
          0,           0,          23,      -3.855836215,      -3.924491873,      -4.047567077,      -3.287927774
          0,           0,          24,      -3.873389718,      -3.943826399,      -4.076479484,      -3.305338284
          0,           0,          25,      -3.889013316,      -3.964068593,      -4.099307977,      -3.320173039
          0,           0,          26,      -3.903835065,      -3.987217878,      -4.118492799,      -3.334259021
          0,           0,          27,      -3.918772232,      -4.014475479,      -4.138126119,      -3.349194708
          0,           0,          28,      -3.934331593,       -4.04622517,      -4.161676159,      -3.365688997
          0,           0,          29,      -3.951345592,      -4.082782905,      -4.190979638,      -3.384383715
          0,           0,          30,      -3.972081891,      -4.124137644,      -4.226264204,      -3.407287392
          0,           0,          31,      -3.998172116,       -4.16963852,      -4.265999104,      -3.435646485
          0,           0,          32,      -4.029916893,      -4.217359858,      -4.307229945,      -3.469295152
          0,           0,          33,      -4.066637924,      -4.264044526,      -4.346101336,      -3.507104847
          0,           0,          34,       -4.10562416,        -4.3060354,      -4.380654286,      -3.546037083
          0,           0,          35,      -4.144031022,      -4.340783863,      -4.411140128,      -3.583314985
          0,           0,          36,      -4.181199223,      -4.368474236,       -4.43982505,      -3.618610178
          0,           0,          37,      -4.217744051,      -4.391461702,       -4.46884018,      -3.653003904
          0,           0,          38,      -4.253176297,      -4.412950413,      -4.499193759,      -3.686455993
          0,           0,          39,      -4.287081124,      -4.436166804,      -4.530732484,      -3.719044279
          0,           0,          40,       -4.31735895,      -4.463244512,      -4.562670597,      -3.749098933
          0,           0,          41,      -4.341643153,       -4.49506774,      -4.594322979,      -3.774619881
          0,           0,          42,      -4.357397175,       -4.53145559,      -4.625647122,      -3.792844543
          0,           0,          43,      -4.364588432,      -4.570574354,      -4.656626395,       -3.80304421
          0,           0,          44,       -4.36703727,      -4.608603632,      -4.686467376,      -3.808059659
          0,           0,          45,      -4.368948871,      -4.643590968,      -4.714287982,      -3.811618437
          0,           0,          46,      -4.372151947,      -4.675062524,      -4.740181381,      -3.815496604
          0,           0,          47,      -4.377643386,      -4.703512599,      -4.764957198,      -3.820805092
          0,           0,          48,       -4.38551644,      -4.727211195,      -4.788374618,       -3.82804779
          0,           0,          49,      -4.397914147,      -4.743916293,      -4.808439889,      -3.839612134
          0,           0,          50,      -4.415073682,      -4.756526564,      -4.827647672,      -3.855901426
          0,           0,          51,      -4.434953912,      -4.770997989,      -4.847983695,      -3.875069707
          0,           0,          52,      -4.458177762,      -4.789031878,      -4.872684426,      -3.897789804
          0,           0,          53,      -4.484449514,       -4.81007615,      -4.899290918,      -3.923580186
          0,           0,          54,      -4.516104803,      -4.838386401,      -4.926930012,      -3.955001002
          0,           0,          55,      -4.549927878,      -4.875707028,       -4.95387594,      -3.988835472
          0,           0,          56,      -4.584817595,      -4.920717869,      -4.978260743,      -4.024133321
          0,           0,          57,      -4.618239706,       -4.96656502,      -5.000498536,      -4.058466358
          0,           0,          58,      -4.648036537,      -5.007155432,      -5.022819551,      -4.089624586
          0,           0,          59,      -4.673751544,      -5.041382115,      -5.046701647,      -4.116975293
          0,           0,          60,      -4.695937651,      -5.070726896,      -5.072579019,      -4.140801677
          0,           0,          61,      -4.716221616,      -5.096978463,      -5.100248112,      -4.162498244
          0,           0,          62,      -4.736457244,      -5.121703962,      -5.128986981,      -4.183776786
          0,           0,          63,      -4.758108529,      -5.145696513,      -5.157870893,      -4.206012106
          0,           0,          64,      -4.782110781,      -5.169558572,      -5.186145143,      -4.230115626
          0,           0,          65,      -4.808756727,      -5.193689791,      -5.213346351,      -4.256415549
          0,           0,          66,      -4.837790858,      -5.218580496,      -5.239567288,      -4.284770378
          0,           0,          67,      -4.868515716,      -5.244906405,      -5.264921088,      -4.314697738
          0,           0,          68,      -4.900359398,      -5.271511734,      -5.290094825,      -4.345924784
          0,           0,          69,      -4.930579321,      -5.299318042,      -5.315043274,      -4.375780455
          0,           0,          70,      -4.957741709,       -5.32853416,      -5.340920085,      -4.403078556
          0,           0,          71,      -4.981084852,      -5.358325191,      -5.368179511,      -4.427106843
          0,           0,          72,       -5.00063446,      -5.387519095,      -5.396649502,      -4.447755211
          0,           0,          73,      -5.017340345,      -5.415270256,      -5.425757286,      -4.465758128
          0,           0,          74,      -5.032386253,      -5.441093649,      -5.454844338,       -4.48202716
          0,           0,          75,      -5.047034492,      -5.464905928,      -5.483300219,      -4.497591716
          0,           0,          76,      -5.062211695,      -5.487169373,      -5.510599568,      -4.513242693
          0,           0,          77,      -5.078501082,      -5.508489214,      -5.536125589,      -4.529516961
          0,           0,          78,      -5.096143847,      -5.529691367,      -5.560157307,      -4.546693718
          0,           0,          79,      -5.115255718,      -5.551881613,      -5.582644299,      -4.564992696
          0,           0,          80,      -5.135795268,      -5.576012367,      -5.603361825,      -4.584498589
          0,           0,          81,       -5.15759168,      -5.602822911,      -5.622540535,      -4.605196275
          0,           0,          82,      -5.180575071,      -5.632706725,      -5.640670504,       -4.62718255
          0,           0,          83,       -5.20490667,      -5.664719834,      -5.658106072,      -4.650777584
          0,           0,          84,       -5.23051304,      -5.698486823,      -5.675582724,      -4.675973185
          0,           0,          85,      -5.257091136,       -5.73330932,      -5.694013145,      -4.702488891
          0,           0,          86,      -5.284216722,       -5.76823443,       -5.71424957,      -4.729909125
          0,           0,          87,       -5.31119148,      -5.802339338,      -5.736666371,      -4.757507705
          0,           0,          88,      -5.337444303,      -5.834493243,      -5.760889097,      -4.784626062
          0,           0,          89,       -5.36257855,      -5.863711967,      -5.786479505,      -4.810721398
          0,           0,          90,      -5.386431875,      -5.889516934,      -5.812885464,      -4.835483686
          0,           0,          91,      -5.409115441,      -5.912134716,      -5.839389149,      -4.858884351
          0,           0,          92,      -5.430930918,      -5.932385638,      -5.865279114,      -4.881129648
          0,           0,          93,      -5.452241816,       -5.95137557,      -5.889607164,      -4.902549886
          0,           0,          94,      -5.473399626,      -5.970050925,      -5.911981553,       -4.92350084
          0,           0,          95,      -5.494808438,      -5.989202745,      -5.932408571,      -4.944435237
          0,           0,          96,       -5.51667255,      -6.009507296,      -5.951296643,      -4.965636059
          0,           0,          97,      -5.539007345,      -6.031412328,      -5.969350637,      -4.987230323
          0,           0,          98,      -5.561665632,      -6.055106345,      -5.987246424,      -5.009185823
          0,           0,          99,      -5.584327771,      -6.080529335,      -6.005924722,      -5.031296317
          0,           0,         100,      -5.606635712,      -6.107464448,      -6.025907989,      -5.053310001
          0,           0,         101,      -5.628262218,      -6.135511796,      -6.047564262,      -5.074970317
          0,           0,         102,      -5.649028418,      -6.164038886,      -6.070952599,       -5.09609271
          0,           0,         103,      -5.668867122,      -6.192354223,      -6.095979391,      -5.116532791
