"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
1               , 0.02148054548   , 15.29226589     , 0.01430954472   , 0.3288766378    , 0.0             , 0.328486213     , 0.0             , 0.0             , 0.03411494339   , 0.0             , 0.0             , 0.0             , 469.0           , -13.02269359    , -13.39987392    , -13.61793416    , -12.46044646    , 0.448           
2               , 0.009219632258  , 26.04165955     , 0.003979803787  , 0.2402385137    , 0.0             , 0.2400945244    , 0.0             , 0.0             , 0.00197629125   , 0.0             , 0.0             , 0.0             , 494.0           , -13.01218172    , -13.68204596    , -13.5800544     , -12.45738875    , 0.448           
3               , 0.004102001897  , -1.386445991    , 0.004225091435  , -0.005596365984 , 0.0             , -0.005687204084 , 0.0             , 0.0             , -0.03642960621  , 0.0             , 0.0             , 0.0             , 558.0           , -13.007299      , -13.62329099    , -13.47678124    , -12.45469574    , 0.448           
4               , 0.00275859522   , 11.11524249     , 0.002089040822  , 0.03071533641   , 0.0             , 0.03066245481   , 0.0             , 0.0             , -0.03393039318  , 0.0             , 0.0             , 0.0             , 613.0           , -13.00652894    , -13.7020271     , -13.48777278    , -12.45308369    , 0.448           
5               , 0.01152670796   , 15.30415815     , 0.007675676053  , 0.1766160354    , 0.0             , 0.1764065616    , 0.0             , 0.0             , -0.008691347512 , 0.0             , 0.0             , 0.0             , 603.0           , -13.00710125    , -13.87334198    , -13.51188468    , -12.45549234    , 0.448           
6               , 0.002284862825  , 20.59187414     , 0.001257937306  , 0.04708825521   , 0.0             , 0.04704960772   , 0.0             , 0.0             , -0.03304920374  , 0.0             , 0.0             , 0.0             , 611.0           , -13.00981664    , -13.65811048    , -13.5118855     , -12.45698366    , 0.448           
7               , 0.03867490495   , 6.08890479      , 0.03352856178   , 0.2362754629    , 0.0             , 0.235487814     , 0.0             , 0.0             , 0.02814458101   , 0.0             , 0.0             , 0.0             , 615.0           , -13.01167031    , -13.83702031    , -13.53507685    , -12.46263563    , 0.448           
8               , 0.001648807007  , 47.13465307     , -4.694979745e-05, 0.07773342048   , 0.0             , 0.07771594624   , 0.0             , 0.0             , -0.03129708312  , 0.0             , 0.0             , 0.0             , 651.0           , -13.00528486    , -13.89430444    , -13.5161304     , -12.45263929    , 0.448           
9               , 0.07688454346   , 3.153545446     , 0.07157703395   , 0.2440784307    , 0.0             , 0.2424589019    , 0.0             , 0.0             , 0.06108006341   , 0.0             , 0.0             , 0.0             , 444.0           , -13.00804636    , -13.43665996    , -13.55124255    , -12.44822936    , 0.448           
10              , 0.001989266147  , 64.27176982     , -0.0008003200496, 0.1278666258    , 0.0             , 0.1278536559    , 0.0             , 0.0             , -0.02506815848  , 0.0             , 0.0             , 0.0             , 583.0           , -13.01063828    , -13.8296937     , -13.53896782    , -12.46060483    , 0.448           
