"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.311174654037993e+00, 7.309744083317760e-01, 1.061781413040568e-01, 3.757012058838636e+00
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.172268309641461e+00, 7.258672225896254e-01, 1.053343699570683e-01, 3.371405734733971e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.159933096839738e+00, 7.815927614421784e-01, 1.132379737616106e-01, 3.347875792263485e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.141944526038320e+00, 8.074640171504379e-01, 1.167228055689780e-01, 3.303600542213144e+00
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.128352229598835e+00, 8.218696883980758e-01, 1.184622548212558e-01, 3.269296238123934e+00
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.118657985123934e+00, 8.352081917070999e-01, 1.199620937647078e-01, 3.245582867238387e+00
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.109725406895631e+00, 8.451275499954379e-01, 1.208844826641247e-01, 3.223298760294259e+00
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.101835556276758e+00, 8.538827650989339e-01, 1.215585270960999e-01, 3.203670725661830e+00
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.094562911775824e+00, 8.615528656922923e-01, 1.219941282738723e-01, 3.185533509612662e+00
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.087787545344706e+00, 8.684364594226155e-01, 1.222404145633984e-01, 3.168614030335720e+00
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.081403267676991e+00, 8.746872919871465e-01, 1.223180827398733e-01, 3.152648325232976e+00
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.075330378193616e+00, 8.804207279198247e-01, 1.222494265368288e-01, 3.137439079123235e+00
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.069524844665001e+00, 8.857323209809211e-01, 1.220484807467580e-01, 3.122883464450965e+00
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.063941533133846e+00, 8.906669264866363e-01, 1.217260990119641e-01, 3.108865091986786e+00
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.058555842089336e+00, 8.952872108608433e-01, 1.212940033684442e-01, 3.095328693292839e+00
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.053344705770027e+00, 8.996225914009160e-01, 1.207600375229901e-01, 3.082215875727402e+00
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.048284960662799e+00, 9.037099151285457e-01, 1.201314535597714e-01, 3.069470352523016e+00
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.043354823790609e+00, 9.075758219587519e-01, 1.194169454682735e-01, 3.057037680371031e+00
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.038547265223431e+00, 9.112428793386493e-01, 1.186200320322586e-01, 3.044902636885067e+00
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.033842604044415e+00, 9.147171369347422e-01, 1.177470238210252e-01, 3.033011966744081e+00
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.029240668694984e+00, 9.180345133340153e-01, 1.168041521733913e-01, 3.021373017931635e+00
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.024729622541975e+00, 9.211956398611029e-01, 1.157942451348016e-01, 3.009952757843035e+00
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.020289398562725e+00, 9.242025390636951e-01, 1.147207263803390e-01, 2.998696413691522e+00
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.015928346333564e+00, 9.270965151093382e-01, 1.135907635029590e-01, 2.987636453722061e+00
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.011618465678558e+00, 9.298594756489384e-01, 1.124023718741336e-01, 2.976691669540525e+00
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.007358186403561e+00, 9.325187909882459e-01, 1.111628141211514e-01, 2.965864488910900e+00
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.003138013311352e+00, 9.350708403950909e-01, 1.098702723930438e-01, 2.955127667551316e+00
27, 8.170099854470000e-01, -2.376642068849115e-02, 9.989541605398562e-01, 9.375325733411621e-01, 1.085276331883804e-01, 2.944475041790843e+00
28, 8.046399950980000e-01, -2.518763605296113e-02, 9.947992239196490e-01, 9.399000156875735e-01, 1.071354235110760e-01, 2.933885142345031e+00
29, 7.919700145720000e-01, -2.662062628442961e-02, 9.906742516805852e-01, 9.421779387199855e-01, 1.056919631476451e-01, 2.923361564542155e+00
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.865777831691585e-01, 9.443858044588371e-01, 1.041999850737033e-01, 2.912905345921081e+00
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.824913155771197e-01, 9.465197419912205e-01, 1.026563009935245e-01, 2.902465299095501e+00
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.783851818775784e-01, 9.485781181381421e-01, 1.010587591657432e-01, 2.891961022746031e+00
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.742576722402887e-01, 9.505837659776225e-01, 9.940721176152116e-02, 2.881394183879617e+00
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.701152653495305e-01, 9.525376545495517e-01, 9.769784145784455e-02, 2.870782340362578e+00
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.659406870502745e-01, 9.544182925732114e-01, 9.592464081150349e-02, 2.860072983136938e+00
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.617564296992952e-01, 9.562709753042339e-01, 9.408852479556672e-02, 2.849339223709186e+00
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.575187216280211e-01, 9.580416210183570e-01, 9.217779672841239e-02, 2.838448287406039e+00
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.532407844833727e-01, 9.597737953056835e-01, 9.019196799315911e-02, 2.827448137068431e+00
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.489045355209892e-01, 9.614581661822628e-01, 8.812412114565679e-02, 2.816287835107758e+00
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.444980984959187e-01, 9.630856197395429e-01, 8.596695094107271e-02, 2.804933160445327e+00
41, 6.211299896240000e-01, -4.367359094194759e-02, 9.400234961429761e-01, 9.646761646734954e-01, 8.371531049644082e-02, 2.793395627936338e+00
42, 6.057599782940000e-01, -4.498807223669178e-02, 9.354564453277970e-01, 9.662040975815103e-01, 8.135955152936350e-02, 2.781603171874842e+00
43, 5.902799963950000e-01, -4.627132533375768e-02, 9.308053567066108e-01, 9.676957082538912e-01, 7.889415289025384e-02, 2.769586425682810e+00
44, 5.747100114820000e-01, -4.751950934859488e-02, 9.260555759859117e-01, 9.691207698566919e-01, 7.630758688313008e-02, 2.757297751754544e+00
45, 5.590599775310000e-01, -4.872955796694115e-02, 9.212254566255940e-01, 9.705013645934282e-01, 7.359492647977839e-02, 2.744793173041070e+00
46, 5.433599948880000e-01, -4.989683951066199e-02, 9.163007258202512e-01, 9.718051356005549e-01, 7.074312901618132e-02, 2.732025377057000e+00
47, 5.276100039480000e-01, -5.101897737545535e-02, 9.112956328878148e-01, 9.730477671000400e-01, 6.774732768445450e-02, 2.719037583312819e+00
48, 5.118399858470000e-01, -5.209138375948307e-02, 9.062169250190155e-01, 9.741965028583403e-01, 6.459323461934681e-02, 2.705838093540852e+00
49, 4.960500001910000e-01, -5.311153541819326e-02, 9.011319138445973e-01, 9.752904909869827e-01, 6.127733050336029e-02, 2.692618036677737e+00
50, 4.802699983120000e-01, -5.407492053959814e-02, 8.959941633206282e-01, 9.763124174262849e-01, 5.778690234617902e-02, 2.679249172137934e+00
51, 4.645099937920000e-01, -5.497835513414191e-02, 8.905008134698508e-01, 9.772716314942207e-01, 5.411392730209161e-02, 2.664933176570794e+00
52, 4.487800002100000e-01, -5.581859897363720e-02, 8.843077004796923e-01, 9.780983258633148e-01, 5.024632446562138e-02, 2.648740574708847e+00
53, 4.331099987030000e-01, -5.659141825851464e-02, 8.781415671365259e-01, 9.787548245945897e-01, 4.617072866003903e-02, 2.632584955817251e+00
54, 4.174999892710000e-01, -5.729416860686566e-02, 8.740647959268019e-01, 9.792369760108952e-01, 4.188090960529343e-02, 2.621909340246143e+00
55, 4.019699990750000e-01, -5.792324246601335e-02, 8.738158323031548e-01, 9.796882694992931e-01, 3.737248750503598e-02, 2.621338102401368e+00
56, 3.865399956700000e-01, -5.847520956655861e-02, 8.753587277839153e-01, 9.801725829354858e-01, 3.263843836631990e-02, 2.625512973900924e+00
57, 3.712300062180000e-01, -5.894684318665333e-02, 8.705699588371212e-01, 9.806473174284633e-01, 2.766409528849449e-02, 2.612975395020963e+00
58, 3.560400009160000e-01, -5.933561549045978e-02, 8.500323082657173e-01, 9.804655983619296e-01, 2.242471468330897e-02, 2.558770158133029e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 8.168847344066281e-01, 9.785344312665519e-01, 1.690052986708464e-02, 2.471152201213617e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 7.914541225502789e-01, 9.758868762678733e-01, 1.112011918879471e-02, 2.403855721740146e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 7.820048819883701e-01, 9.742683434872728e-01, 5.096453601115904e-03, 2.378691406964216e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 7.824884490242797e-01, 9.740885579914013e-01, -1.201898936163406e-03, 2.379879494991988e+00
63, 2.825500071050000e-01, -5.994005483718394e-02, 7.859706749974712e-01, 9.744375764175451e-01, -7.812117800134749e-03, 2.389066467815580e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 7.894723362545157e-01, 9.749818091937518e-01, -1.475632101760448e-02, 2.398396095720162e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 7.926890535849316e-01, 9.754428175629928e-01, -2.204753534031336e-02, 2.406979598990001e+00
66, 2.409400045870000e-01, -5.915585896897953e-02, 7.962078789737015e-01, 9.759086187692335e-01, -2.971135832345993e-02, 2.416378868190645e+00
