"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.992575696,      -13.30254408,               -32,      -13.31068367,      -1.502417719,      -8.875472533
          0,           0,           1,      -4.718511137,      -3.600958696,               -32,      -3.264719156,      -2.219922541,      -9.257729232
          0,           0,           2,      -4.614189349,      -3.698145005,               -32,       -3.71366411,      -2.120102716,      -9.949948129
          0,           0,           3,      -4.730941098,      -3.730343924,               -32,      -3.803451379,      -2.238496399,      -10.16807775
          0,           0,           4,      -4.875163203,      -3.752934262,               -32,      -3.798184114,      -2.396915905,       -10.3358828
          0,           0,           5,      -4.896757995,      -3.790828801,               -32,      -3.857814131,      -2.494495665,      -10.42265893
          0,           0,           6,      -4.838507098,      -3.846327368,               -32,      -3.943661314,      -2.511369699,      -10.46303708
          0,           0,           7,      -4.806437436,      -3.907558133,               -32,      -4.015725923,      -2.503940943,       -10.4908702
          0,           0,           8,      -4.806795927,      -3.947761248,               -32,      -4.036781763,      -2.509566012,      -10.51742211
          0,           0,           9,       -4.82822372,      -3.947813038,               -32,      -4.010110307,      -2.531528506,      -10.53726617
          0,           0,          10,      -4.850506502,      -3.927252654,               -32,      -3.973497835,      -2.555884369,      -10.54477054
          0,           0,          11,      -4.807744004,       -3.92068957,               -32,      -3.960946924,      -2.570573247,      -10.54691396
          0,           0,          12,      -4.797910523,      -3.946633702,               -32,      -3.982444188,      -2.571828113,      -10.55188288
          0,           0,          13,      -4.795242056,      -3.998683897,               -32,      -4.031054998,      -2.568222242,      -10.55999752
          0,           0,          14,      -4.806146996,      -4.050219049,               -32,      -4.079344108,      -2.568581465,      -10.56542405
          0,           0,          15,      -4.837878708,       -4.07085082,               -32,      -4.095488582,      -2.577718298,      -10.56345771
          0,           0,          16,      -4.897057114,      -4.066222646,               -32,      -4.085113627,       -2.59571265,      -10.55682368
          0,           0,          17,      -5.011298197,      -4.068381162,               -32,      -4.081804524,      -2.621684966,      -10.54906138
          0,           0,          18,      -5.075995929,      -4.083603078,               -32,      -4.094683468,      -2.643660846,       -10.5414878
          0,           0,          19,      -5.099700265,      -4.111643817,               -32,       -4.12084668,      -2.659504903,      -10.53409312
          0,           0,          20,      -5.104081583,      -4.141358012,               -32,      -4.146891516,      -2.671027445,      -10.52690827
          0,           0,          21,      -5.103959855,      -4.164167983,               -32,      -4.162451745,       -2.68250698,      -10.52047907
          0,           0,          22,      -5.113243385,      -4.183393093,               -32,      -4.171683496,        -2.6975957,      -10.51517586
          0,           0,          23,      -5.109505201,      -4.208735055,               -32,      -4.187528367,      -2.718570149,      -10.51065064
          0,           0,          24,      -5.083068607,      -4.245950004,               -32,      -4.217067187,       -2.74651962,       -10.5056558
          0,           0,          25,      -5.102245822,      -4.292059938,               -32,      -4.253190497,      -2.775692335,      -10.49852627
          0,           0,          26,      -5.130265351,       -4.33274208,               -32,      -4.283866216,      -2.802866534,      -10.48848775
          0,           0,          27,       -5.16277752,      -4.353325636,               -32,      -4.299302529,      -2.825377738,       -10.4755686
          0,           0,          28,      -5.199527031,      -4.354336902,               -32,      -4.304141258,      -2.843700802,      -10.46074738
          0,           0,          29,      -5.230876464,      -4.350273174,               -32,      -4.311932217,      -2.861479113,      -10.44579368
          0,           0,          30,      -5.246060471,      -4.355533797,               -32,      -4.332795882,      -2.884809274,      -10.43033629
          0,           0,          31,      -5.257557385,      -4.372290938,               -32,      -4.363956102,      -2.912597139,      -10.41439992
          0,           0,          32,      -5.267052058,      -4.398075551,               -32,      -4.397408387,       -2.94123296,      -10.39801868
          0,           0,          33,      -5.275468831,      -4.427146936,               -32,      -4.424172386,       -2.96876991,       -10.3812602
          0,           0,          34,      -5.305728151,      -4.454905669,               -32,      -4.442282983,      -2.995402508,      -10.36489868
          0,           0,          35,      -5.378088047,      -4.480300266,               -32,      -4.458295305,      -3.023958834,      -10.34930046
          0,           0,          36,      -5.461087359,      -4.503720658,               -32,      -4.480316588,      -3.057131462,      -10.33466813
          0,           0,          37,      -5.521148177,      -4.526942275,               -32,      -4.510843618,      -3.094475246,      -10.32080368
          0,           0,          38,      -5.556350472,      -4.550581326,               -32,      -4.544854849,      -3.132486812,      -10.30736885
          0,           0,          39,      -5.552420784,      -4.571800477,               -32,      -4.573519716,      -3.166716493,      -10.29406023
          0,           0,          40,      -5.543426844,      -4.587303881,               -32,      -4.592214769,      -3.195109886,      -10.28059381
          0,           0,          41,      -5.548624034,      -4.595991125,               -32,      -4.605861986,      -3.221347381,      -10.26693755
          0,           0,          42,      -5.572839675,      -4.599073618,               -32,      -4.623199878,       -3.25186961,      -10.25303724
          0,           0,          43,      -5.612849191,      -4.598341263,               -32,       -4.64901268,      -3.290620038,      -10.23891668
          0,           0,          44,      -5.665780075,      -4.594938284,               -32,      -4.680577637,      -3.336739108,      -10.22453989
          0,           0,          45,      -5.752999833,      -4.589942085,               -32,      -4.708961606,      -3.385069977,      -10.20986019
          0,           0,          46,      -5.825015412,      -4.584087227,               -32,      -4.724970509,      -3.428330055,      -10.19497396
          0,           0,          47,      -5.864475822,      -4.579094662,               -32,      -4.728290357,      -3.460938421,      -10.17998537
          0,           0,          48,      -5.885422373,      -4.577306919,               -32,      -4.726783057,      -3.485854865,      -10.16510623
          0,           0,          49,      -5.873201084,      -4.579287367,               -32,      -4.729032395,      -3.511890497,       -10.1505614
          0,           0,          50,      -5.858929893,      -4.584167651,               -32,      -4.737990526,      -3.546792009,      -10.13637509
          0,           0,          51,      -5.872106532,      -4.589078411,               -32,       -4.75114121,      -3.591096192,      -10.12267008
          0,           0,          52,      -5.901666878,      -4.591641731,               -32,      -4.763293785,      -3.643621322,      -10.10942182
          0,           0,          53,      -5.937140433,      -4.590235395,               -32,       -4.77090431,      -3.701639623,      -10.09653792
          0,           0,          54,      -5.973402653,      -4.585093295,               -32,       -4.77344744,       -3.75969891,      -10.08394398
          0,           0,          55,      -6.009391525,      -4.577546648,               -32,      -4.773371209,      -3.810943821,      -10.07156201
          0,           0,          56,       -6.04758515,      -4.569024799,               -32,      -4.773530719,      -3.850111609,      -10.05931998
          0,           0,          57,      -6.095174833,      -4.560487531,               -32,      -4.775049607,      -3.876906994,      -10.04717774
          0,           0,          58,       -6.15948253,      -4.552368173,               -32,      -4.777152753,       -3.89625587,      -10.03514093
          0,           0,          59,        -6.2068557,      -4.544689783,               -32,      -4.777931669,      -3.914634073,      -10.02316948
          0,           0,          60,      -6.208545496,      -4.537418478,               -32,      -4.775988092,      -3.933478794,      -10.01123597
          0,           0,          61,      -6.140749992,      -4.530655292,               -32,      -4.772184143,      -3.952531405,       -9.99938187
          0,           0,          62,      -6.078032127,      -4.524591019,               -32,      -4.767930759,      -3.973988963,      -9.987698575
          0,           0,          63,      -6.059757541,      -4.519269817,               -32,      -4.763522371,      -3.999506114,      -9.976270843
          0,           0,          64,      -6.074911701,      -4.514640448,               -32,      -4.759867727,      -4.026785114,      -9.965133003
          0,           0,          65,       -6.12286311,      -4.510346028,               -32,      -4.756830916,      -4.059620258,      -9.954333125
          0,           0,          66,      -6.203116945,      -4.506034736,               -32,      -4.753953672,      -4.098436694,      -9.943860947
          0,           0,          67,      -6.288412661,      -4.501417356,               -32,      -4.751119259,      -4.141274032,       -9.93381892
          0,           0,          68,      -6.299706578,      -4.496473005,               -32,      -4.748253012,      -4.186350388,      -9.924115349
          0,           0,          69,      -6.190550084,      -4.491269381,               -32,      -4.745136051,      -4.213849311,      -9.914523484
          0,           0,          70,      -6.120424001,      -4.485803054,               -32,      -4.742172987,      -4.221817404,      -9.905084526
          0,           0,          71,      -6.100572515,      -4.480369712,               -32,      -4.739248287,      -4.221822849,      -9.895798688
          0,           0,          72,      -6.112402716,      -4.475025238,               -32,      -4.736038398,      -4.206659836,      -9.886577275
