+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.2024e-01|   -4.112706|  -10.671034|    4.168367|    1.239292|    1.235444|
|           1|  2.2002e-01|   -4.955738|  -10.724919|    3.159509|    1.082594|    0.974407|
|           2|  2.1496e-01|   -4.852033|  -10.960610|    2.490194|    0.847192|    0.761352|
|           3|  2.1573e-01|   -4.879336|  -10.937758|    2.171871|    0.698720|    0.635085|
|           4|  2.1630e-01|   -4.972833|  -10.927570|    1.962299|    0.586369|    0.527495|
|           5|  2.2047e-01|   -5.057747|  -10.930657|    1.776523|    0.483510|    0.415115|
|           6|  2.2333e-01|   -5.111336|  -10.924402|    1.593436|    0.384574|    0.297664|
|           7|  2.2409e-01|   -5.136719|  -10.904687|    1.408535|    0.290210|    0.181639|
|           8|  2.2415e-01|   -5.142585|  -10.876041|    1.221411|    0.202580|    0.074073|
|           9|  2.2568e-01|   -5.137057|  -10.843033|    1.031879|    0.123936|   -0.020003|
|          10|  2.3035e-01|   -5.128362|  -10.814731|    0.841080|    0.056221|   -0.097888|
|          11|  2.3127e-01|   -5.124129|  -10.787057|    0.651919|    0.000562|   -0.159036|
|          12|  2.3117e-01|   -5.128382|  -10.758210|    0.469209|   -0.042849|   -0.204230|
|          13|  2.3105e-01|   -5.140419|  -10.730514|    0.299541|   -0.074464|   -0.234634|
|          14|  2.3172e-01|   -5.156782|  -10.708368|    0.150882|   -0.095014|   -0.251237|
|          15|  2.3182e-01|   -5.174136|  -10.694212|    0.031678|   -0.105289|   -0.254787|
|          16|  2.3183e-01|   -5.191268|  -10.687285|   -0.050456|   -0.106082|   -0.246011|
|          17|  2.3257e-01|   -5.209208|  -10.685736|   -0.089914|   -0.098204|   -0.225830|
|          18|  2.3539e-01|   -5.229706|  -10.687637|   -0.083678|   -0.082512|   -0.195473|
|          19|  2.3551e-01|   -5.253307|  -10.690313|   -0.031385|   -0.059941|   -0.156544|
|          20|  2.3544e-01|   -5.277880|  -10.692112|    0.064489|   -0.031611|   -0.111139|
|          21|  2.3516e-01|   -5.298370|  -10.692549|    0.198189|    0.001035|   -0.061875|
|          22|  2.3446e-01|   -5.308912|  -10.691110|    0.360510|    0.036183|   -0.011732|
|          23|  2.3475e-01|   -5.307140|  -10.687914|    0.539840|    0.071789|    0.036356|
|          24|  2.3510e-01|   -5.296910|  -10.683684|    0.723822|    0.105814|    0.079872|
|          25|  2.3559e-01|   -5.285705|  -10.679184|    0.900851|    0.136426|    0.116909|
|          26|  2.3536e-01|   -5.280221|  -10.674709|    1.060940|    0.162116|    0.146166|
|          27|  2.3652e-01|   -5.284406|  -10.670693|    1.196043|    0.181750|    0.166843|
|          28|  2.3631e-01|   -5.299640|  -10.666566|    1.300190|    0.194589|    0.178548|
|          29|  2.3611e-01|   -5.325355|  -10.662014|    1.369650|    0.200315|    0.181261|
|          30|  2.3591e-01|   -5.359291|  -10.656219|    1.403066|    0.199035|    0.175334|
|          31|  2.3598e-01|   -5.397413|  -10.648910|    1.401370|    0.191244|    0.161463|
|          32|  2.3566e-01|   -5.434073|  -10.639701|    1.367464|    0.177755|    0.140656|
|          33|  2.3544e-01|   -5.463304|  -10.628627|    1.305929|    0.159651|    0.114222|
|          34|  2.3514e-01|   -5.481463|  -10.615984|    1.222898|    0.138267|    0.083824|
|          35|  2.3567e-01|   -5.489499|  -10.601927|    1.125825|    0.115136|    0.051440|
|          36|  2.3547e-01|   -5.492204|  -10.587564|    1.022734|    0.091826|    0.019166|
|          37|  2.3522e-01|   -5.495013|  -10.573771|    0.921293|    0.069775|   -0.011016|
|          38|  2.3504e-01|   -5.501869|  -10.560885|    0.828233|    0.050202|   -0.037366|
|          39|  2.3429e-01|   -5.514959|  -10.548724|    0.749061|    0.034070|   -0.058456|
|          40|  2.3504e-01|   -5.535090|  -10.537140|    0.687843|    0.022056|   -0.073244|
|          41|  2.3487e-01|   -5.561846|  -10.526378|    0.647081|    0.014516|   -0.081149|
|          42|  2.3474e-01|   -5.593363|  -10.516357|    0.627733|    0.011492|   -0.082069|
|          43|  2.3464e-01|   -5.626090|  -10.506952|    0.629440|    0.012748|   -0.076331|
|          44|  2.3451e-01|   -5.654757|  -10.497922|    0.651011|    0.017879|   -0.064549|
|          45|  2.3421e-01|   -5.673534|  -10.489103|    0.690842|    0.026390|   -0.047539|
|          46|  2.3356e-01|   -5.679264|  -10.480661|    0.746584|    0.037644|   -0.026457|
|          47|  2.3435e-01|   -5.673954|  -10.472652|    0.814607|    0.050775|   -0.002914|
|          48|  2.3446e-01|   -5.663355|  -10.464996|    0.890174|    0.064749|    0.021184|
|          49|  2.3482e-01|   -5.653700|  -10.457574|    0.968186|    0.078524|    0.043956|
|          50|  2.3501e-01|   -5.649619|  -10.450161|    1.043845|    0.091176|    0.063795|
|          51|  2.3515e-01|   -5.653727|  -10.442654|    1.113010|    0.101965|    0.079504|
|          52|  2.3549e-01|   -5.667020|  -10.434858|    1.172369|    0.110356|    0.090332|
|          53|  2.3627e-01|   -5.689250|  -10.426592|    1.219526|    0.116019|    0.095980|
|          54|  2.3617e-01|   -5.719009|  -10.417711|    1.253035|    0.118820|    0.096554|
|          55|  2.3613e-01|   -5.753536|  -10.408190|    1.272363|    0.118786|    0.092487|
|          56|  2.3595e-01|   -5.788504|  -10.397946|    1.277726|    0.116063|    0.084421|
|          57|  2.3582e-01|   -5.818383|  -10.386944|    1.269822|    0.110851|    0.073082|
|          58|  2.3540e-01|   -5.838269|  -10.375094|    1.249682|    0.103403|    0.059247|
|          59|  2.3561e-01|   -5.846701|  -10.362435|    1.218904|    0.094085|    0.043823|
|          60|  2.3555e-01|   -5.846437|  -10.349019|    1.179942|    0.083441|    0.027872|
|          61|  2.3554e-01|   -5.842353|  -10.335052|    1.136006|    0.072148|    0.012492|
|          62|  2.3546e-01|   -5.839390|  -10.320639|    1.090636|    0.060934|   -0.001335|
|          63|  2.3513e-01|   -5.841448|  -10.305936|    1.047255|    0.050491|   -0.012850|
|          64|  2.3496e-01|   -5.851011|  -10.290957|    1.008852|    0.041417|   -0.021550|
|          65|  2.3481e-01|   -5.869248|  -10.275773|    0.977792|    0.034176|   -0.027181|
|          66|  2.3494e-01|   -5.896114|  -10.260379|    0.955708|    0.029070|   -0.029709|
|          67|  2.3471e-01|   -5.930176|  -10.244777|    0.943465|    0.026238|   -0.029282|
|          68|  2.3524e-01|   -5.968107|  -10.228989|    0.941229|    0.025659|   -0.026185|
|          69|  2.3513e-01|   -6.004114|  -10.212979|    0.948624|    0.027195|   -0.020778|
|          70|  2.3506e-01|   -6.030536|  -10.196733|    0.964937|    0.030631|   -0.013460|
|          71|  2.3495e-01|   -6.041523|  -10.180208|    0.989084|    0.035672|   -0.004708|
|          72|  2.3499e-01|   -6.037948|  -10.163457|    1.019394|    0.041893|    0.004864|
|          73|  2.3488e-01|   -6.026643|  -10.146468|    1.053611|    0.048747|    0.014545|
