|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.1313e-01|   -4.273964|  -10.665426|    2.059719|    0.650891|    0.731807|
|           1|  2.1238e-01|   -5.097998|  -10.866629|    1.497006|    0.630181|    0.559062|
|           2|  2.0986e-01|   -5.011062|  -11.009077|    1.151518|    0.484379|    0.422705|
|           3|  2.0806e-01|   -5.037964|  -10.981250|    0.998994|    0.379880|    0.341643|
|           4|  2.0749e-01|   -5.139007|  -10.986356|    0.913266|    0.299121|    0.275341|
|           5|  2.0616e-01|   -5.230956|  -10.993048|    0.847399|    0.226260|    0.209802|
|           6|  2.0616e-01|   -5.281975|  -10.988121|    0.786252|    0.158492|    0.145125|
|           7|  2.0555e-01|   -5.300407|  -10.973993|    0.723167|    0.096903|    0.085116|
|           8|  2.0494e-01|   -5.302716|  -10.953025|    0.653790|    0.043504|    0.033272|
|           9|  2.0531e-01|   -5.297991|  -10.936747|    0.575031|    0.000183|   -0.008806|
|          10|  2.0518e-01|   -5.291505|  -10.929640|    0.485989|   -0.031868|   -0.041413|
|          11|  2.1139e-01|   -5.289248|  -10.917470|    0.388338|   -0.052517|   -0.066025|
|          12|  2.1318e-01|   -5.295790|  -10.897111|    0.286157|   -0.062679|   -0.084345|
|          13|  2.1432e-01|   -5.310910|  -10.873396|    0.185404|   -0.064003|   -0.097539|
|          14|  2.1558e-01|   -5.329363|  -10.853078|    0.093242|   -0.058509|   -0.105949|
|          15|  2.1712e-01|   -5.344386|  -10.840143|    0.017036|   -0.048300|   -0.109326|
|          16|  2.1913e-01|   -5.353151|  -10.836037|   -0.036862|   -0.035335|   -0.107260|
|          17|  2.2021e-01|   -5.358826|  -10.835083|   -0.064101|   -0.021251|   -0.099545|
|          18|  2.2088e-01|   -5.367591|  -10.832607|   -0.062813|   -0.007319|   -0.086383|
|          19|  2.2220e-01|   -5.384557|  -10.828015|   -0.033672|    0.005561|   -0.068475|
|          20|  2.2379e-01|   -5.411298|  -10.822701|    0.020261|    0.016851|   -0.046984|
|          21|  2.2420e-01|   -5.444594|  -10.817691|    0.093945|    0.026337|   -0.023377|
|          22|  2.2446e-01|   -5.476873|  -10.813167|    0.181062|    0.034048|    0.000795|
|          23|  2.2448e-01|   -5.498792|  -10.808556|    0.274923|    0.040150|    0.024115|
|          24|  2.2457e-01|   -5.505641|  -10.803065|    0.369176|    0.044840|    0.045405|
|          25|  2.2611e-01|   -5.501577|  -10.797070|    0.458198|    0.048277|    0.063755|
|          26|  2.2601e-01|   -5.495732|  -10.791115|    0.537275|    0.050555|    0.078505|
|          27|  2.2926e-01|   -5.495957|  -10.786017|    0.602647|    0.051711|    0.089198|
|          28|  2.3179e-01|   -5.506303|  -10.782161|    0.651555|    0.051752|    0.095542|
|          29|  2.3202e-01|   -5.527363|  -10.779255|    0.682443|    0.050697|    0.097423|
|          30|  2.3262e-01|   -5.557379|  -10.777253|    0.695122|    0.048612|    0.094948|
|          31|  2.3330e-01|   -5.593149|  -10.775169|    0.690686|    0.045628|    0.088442|
|          32|  2.3607e-01|   -5.630763|  -10.771397|    0.671211|    0.041935|    0.078425|
|          33|  2.3873e-01|   -5.666361|  -10.764965|    0.639402|    0.037749|    0.065567|
|          34|  2.3964e-01|   -5.696782|  -10.755783|    0.598326|    0.033298|    0.050654|
|          35|  2.3971e-01|   -5.720114|  -10.744341|    0.551289|    0.028805|    0.034583|
|          36|  2.3973e-01|   -5.736201|  -10.731353|    0.501752|    0.024480|    0.018341|
|          37|  2.3954e-01|   -5.746800|  -10.717442|    0.453204|    0.020520|    0.002969|
|          38|  2.4060e-01|   -5.755026|  -10.703143|    0.408909|    0.017105|   -0.010522|
|          39|  2.4040e-01|   -5.764346|  -10.688820|    0.371590|    0.014380|   -0.021277|
|          40|  2.4025e-01|   -5.777861|  -10.674449|    0.343208|    0.012445|   -0.028689|
|          41|  2.4003e-01|   -5.798033|  -10.660291|    0.324896|    0.011343|   -0.032451|
|          42|  2.3980e-01|   -5.826399|  -10.646392|    0.316999|    0.011057|   -0.032556|
|          43|  2.3907e-01|   -5.862957|  -10.632860|    0.319222|    0.011520|   -0.029249|
|          44|  2.3829e-01|   -5.905228|  -10.619909|    0.330873|    0.012635|   -0.022932|
|          45|  2.3781e-01|   -5.947343|  -10.607544|    0.351055|    0.014291|   -0.014113|
|          46|  2.3754e-01|   -5.980591|  -10.595781|    0.378590|    0.016361|   -0.003422|
|          47|  2.3679e-01|   -5.997530|  -10.584865|    0.411790|    0.018695|    0.008326|
|          48|  2.3609e-01|   -5.997701|  -10.574800|    0.448437|    0.021114|    0.020183|
|          49|  2.3545e-01|   -5.988089|  -10.565395|    0.486096|    0.023443|    0.031218|
|          50|  2.3485e-01|   -5.977702|  -10.556521|    0.522466|    0.025526|    0.040660|
|          51|  2.3427e-01|   -5.973168|  -10.548146|    0.555575|    0.027245|    0.047964|
|          52|  2.3416e-01|   -5.978041|  -10.540197|    0.583860|    0.028524|    0.052823|
|          53|  2.3402e-01|   -5.993755|  -10.532643|    0.606205|    0.029322|    0.055154|
|          54|  2.3463e-01|   -6.020469|  -10.525504|    0.621950|    0.029634|    0.055069|
|          55|  2.3458e-01|   -6.057363|  -10.518723|    0.630875|    0.029482|    0.052823|
|          56|  2.3438e-01|   -6.102366|  -10.512178|    0.633112|    0.028901|    0.048754|
|          57|  2.3408e-01|   -6.151429|  -10.505664|    0.629010|    0.027931|    0.043217|
|          58|  2.3404e-01|   -6.197815|  -10.499028|    0.619037|    0.026608|    0.036566|
|          59|  2.3389e-01|   -6.232810|  -10.492139|    0.603886|    0.024976|    0.029197|
|          60|  2.3421e-01|   -6.249396|  -10.484982|    0.584695|    0.023109|    0.021591|
|          61|  2.3424e-01|   -6.247385|  -10.477620|    0.563067|    0.021107|    0.014275|
|          62|  2.3519e-01|   -6.234336|  -10.470135|    0.540839|    0.019085|    0.007728|
|          63|  2.3526e-01|   -6.220430|  -10.462611|    0.519798|    0.017159|    0.002319|
|          64|  2.3515e-01|   -6.213274|  -10.455023|    0.501477|    0.015430|   -0.001720|
|          65|  2.3501e-01|   -6.216819|  -10.447369|    0.487058|    0.013981|   -0.004283|
|          66|  2.3486e-01|   -6.232443|  -10.439626|    0.477320|    0.012874|   -0.005370|
|          67|  2.3472e-01|   -6.259751|  -10.431821|    0.472638|    0.012145|   -0.005061|
|          68|  2.3465e-01|   -6.296548|  -10.423953|    0.473020|    0.011809|   -0.003499|
|          69|  2.3449e-01|   -6.338103|  -10.416004|    0.478188|    0.011858|   -0.000858|
|          70|  2.3424e-01|   -6.376521|  -10.407984|    0.487659|    0.012272|    0.002659|
|          71|  2.3456e-01|   -6.402414|  -10.399897|    0.500722|    0.013013|    0.006812|
|          72|  2.3441e-01|   -6.410196|  -10.391772|    0.516392|    0.014018|    0.011307|
|          73|  2.3449e-01|   -6.402328|  -10.383621|    0.533463|    0.015197|    0.015814|
|          74|  2.3449e-01|   -6.387143|  -10.375432|    0.550685|    0.016444|    0.020015|
|          75|  2.3428e-01|   -6.373368|  -10.367223|    0.566926|    0.017651|    0.023644|
|          76|  2.3422e-01|   -6.366905|  -10.358985|    0.581279|    0.018723|    0.026502|
|          77|  2.3419e-01|   -6.370674|  -10.350730|    0.593095|    0.019584|    0.028468|
|          78|  2.3408e-01|   -6.385478|  -10.342469|    0.601985|    0.020180|    0.029494|
|          79|  2.3477e-01|   -6.410557|  -10.334176|    0.607807|    0.020481|    0.029593|
|          80|  2.3516e-01|   -6.443532|  -10.325858|    0.610614|    0.020480|    0.028832|
|          81|  2.3608e-01|   -6.479872|  -10.317519|    0.610599|    0.020184|    0.027307|
|          82|  2.3610e-01|   -6.512633|  -10.309153|    0.608010|    0.019607|    0.025125|
|          83|  2.3614e-01|   -6.534230|  -10.300782|    0.603144|    0.018774|    0.022410|
|          84|  2.3623e-01|   -6.540770|  -10.292409|    0.596403|    0.017729|    0.019325|
|          85|  2.3614e-01|   -6.534472|  -10.284032|    0.588336|    0.016538|    0.016078|
|          86|  2.3606e-01|   -6.521516|  -10.275678|    0.579590|    0.015282|    0.012894|
|          87|  2.3598e-01|   -6.508658|  -10.267351|    0.570820|    0.014045|    0.009983|
|          88|  2.3609e-01|   -6.501073|  -10.259043|    0.562623|    0.012905|    0.007514|
|          89|  2.3614e-01|   -6.501780|  -10.250773|    0.555495|    0.011926|    0.005608|
|          90|  2.3610e-01|   -6.511997|  -10.242541|    0.549813|    0.011157|    0.004335|
|          91|  2.3656e-01|   -6.531589|  -10.234331|    0.545825|    0.010624|    0.003715|
|          92|  2.3641e-01|   -6.559225|  -10.226146|    0.543656|    0.010338|    0.003725|
|          93|  2.3635e-01|   -6.592218|  -10.217985|    0.543321|    0.010293|    0.004312|
|          94|  2.3632e-01|   -6.626316|  -10.209841|    0.544756|    0.010470|    0.005400|
|          95|  2.3611e-01|   -6.656140|  -10.201707|    0.547833|    0.010844|    0.006898|
|          96|  2.3618e-01|   -6.677184|  -10.193585|    0.552351|    0.011378|    0.008695|
|          97|  2.3640e-01|   -6.688224|  -10.185479|    0.558012|    0.012026|    0.010658|
|          98|  2.3641e-01|   -6.691439|  -10.177393|    0.564426|    0.012731|    0.012641|
|          99|  2.3646e-01|   -6.690849|  -10.169327|    0.571163|    0.013436|    0.014508|
|         100|  2.3662e-01|   -6.690808|  -10.161298|    0.577801|    0.014086|    0.016143|
