+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.1166e-01|   -3.971432|  -10.669989|    5.388165|    1.981883|    1.591766|
|           1|  2.1908e-01|   -4.818095|  -10.646069|    4.365739|    1.753336|    1.311417|
|           2|  2.2047e-01|   -4.783352|  -10.856655|    3.603254|    1.437803|    1.065125|
|           3|  2.3057e-01|   -4.815614|  -10.851757|    3.211272|    1.239900|    0.914665|
|           4|  2.3029e-01|   -4.890946|  -10.845579|    2.916815|    1.080376|    0.775845|
|           5|  2.2738e-01|   -4.953916|  -10.846158|    2.630581|    0.925176|    0.622018|
|           6|  2.2741e-01|   -4.993318|  -10.837990|    2.337486|    0.768960|    0.455183|
|           7|  2.2686e-01|   -5.012012|  -10.815675|    2.040071|    0.614381|    0.285614|
|           8|  2.2663e-01|   -5.013223|  -10.781801|    1.743670|    0.465504|    0.124329|
|           9|  2.2423e-01|   -5.002601|  -10.742303|    1.452194|    0.326192|   -0.019959|
|          10|  2.2957e-01|   -4.989548|  -10.700689|    1.169581|    0.199885|   -0.141460|
|          11|  2.2968e-01|   -4.982662|  -10.665933|    0.900179|    0.089037|   -0.237632|
|          12|  2.3384e-01|   -4.985490|  -10.635675|    0.649250|   -0.004919|   -0.308426|
|          13|  2.3454e-01|   -4.996649|  -10.609181|    0.423155|   -0.081280|   -0.355196|
|          14|  2.3419e-01|   -5.012674|  -10.588954|    0.229472|   -0.139577|   -0.379735|
|          15|  2.3521e-01|   -5.030674|  -10.576622|    0.076512|   -0.179346|   -0.383863|
|          16|  2.3508e-01|   -5.049706|  -10.570461|   -0.027940|   -0.200241|   -0.369431|
|          17|  2.3487e-01|   -5.070505|  -10.570542|   -0.077966|   -0.202271|   -0.338437|
|          18|  2.3520e-01|   -5.094006|  -10.574665|   -0.070292|   -0.185962|   -0.293116|
|          19|  2.3524e-01|   -5.119334|  -10.580927|   -0.004252|   -0.152326|   -0.235935|
|          20|  2.3665e-01|   -5.142632|  -10.587199|    0.118312|   -0.102881|   -0.169693|
|          21|  2.3799e-01|   -5.157933|  -10.591491|    0.292435|   -0.039913|   -0.097755|
|          22|  2.3774e-01|   -5.160689|  -10.592975|    0.508651|    0.033099|   -0.024197|
|          23|  2.3754e-01|   -5.151543|  -10.592008|    0.753032|    0.111538|    0.046621|
|          24|  2.4076e-01|   -5.136472|  -10.589411|    1.009174|    0.190272|    0.110781|
|          25|  2.4285e-01|   -5.123036|  -10.586060|    1.260588|    0.264337|    0.165275|
|          26|  2.4254e-01|   -5.116988|  -10.582840|    1.492422|    0.329424|    0.208109|
|          27|  2.4207e-01|   -5.121481|  -10.579703|    1.692414|    0.382140|    0.238194|
|          28|  2.4165e-01|   -5.137602|  -10.576704|    1.851354|    0.420138|    0.255180|
|          29|  2.4116e-01|   -5.164850|  -10.572616|    1.963262|    0.442146|    0.259312|
