"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.931559311,      -16.32315323,      -16.22631785,      -2.480114033,      -10.66722025
          0,           0,           1,      -4.777416631,      -4.204689962,      -3.931407936,      -3.325759423,      -10.64717516
          0,           0,           2,       -4.78446614,      -4.310051759,      -4.242339368,      -3.318377652,      -10.81851114
          0,           0,           3,      -4.815999338,      -4.363393741,      -4.368397083,      -3.356066882,      -10.82835211
          0,           0,           4,      -4.879721318,      -4.368276545,       -4.35164212,      -3.427342162,      -10.82035899
          0,           0,           5,      -4.931519126,      -4.353198446,      -4.346471441,      -3.485257462,      -10.81943681
          0,           0,           6,      -4.963844196,      -4.335966705,      -4.353624617,      -3.521422743,      -10.81008571
          0,           0,           7,      -4.978942532,      -4.325307935,      -4.366611972,       -3.53849074,      -10.78685384
          0,           0,           8,      -4.978022035,      -4.325758062,       -4.38592114,      -3.538516101,      -10.75235662
          0,           0,           9,      -4.965555111,      -4.339777492,      -4.412205114,      -3.525867535,       -10.7111599
          0,           0,          10,      -4.950981612,       -4.36679566,      -4.442212818,      -3.509444404,      -10.66780771
          0,           0,          11,      -4.943154678,      -4.402695315,      -4.469649435,      -3.498418876,      -10.63150323
          0,           0,          12,        -4.9455519,      -4.438745359,      -4.488322051,      -3.497767454,      -10.60163417
          0,           0,          13,      -4.956697184,      -4.464442006,      -4.495172716,      -3.507760334,      -10.57611728
          0,           0,          14,      -4.973017044,       -4.47459424,      -4.492174336,      -3.525549315,      -10.55739561
          0,           0,          15,       -4.99148935,      -4.472542716,      -4.484835155,      -3.547287562,      -10.54626073
          0,           0,          16,      -5.010989541,      -4.464966289,      -4.478032343,      -3.570309392,      -10.54220932
          0,           0,          17,       -5.03211887,      -4.456493637,      -4.473773556,      -3.594123666,      -10.54291434
          0,           0,          18,      -5.055673927,      -4.449145351,        -4.4719973,      -3.619316287,      -10.54745791
          0,           0,          19,      -5.080676277,       -4.44421019,      -4.472394052,      -3.645228531,      -10.55398009
          0,           0,          20,      -5.103230248,      -4.443310285,      -4.475564823,       -3.66829177,      -10.56026287
          0,           0,          21,       -5.11762165,       -4.44819116,      -4.483001525,      -3.682699347,      -10.56448112
          0,           0,          22,      -5.119831693,      -4.459788926,       -4.49622187,      -3.684166719,       -10.5659254
          0,           0,          23,      -5.110894857,      -4.477148224,      -4.515673972,      -3.673976369,      -10.56485857
          0,           0,          24,      -5.096655654,       -4.49650351,      -4.540046679,      -3.658623485,      -10.56267322
          0,           0,          25,       -5.08423057,      -4.511589294,      -4.566128095,      -3.645683663,      -10.56031554
          0,           0,          26,      -5.079061597,      -4.516227126,      -4.589267104,      -3.640678335,      -10.55799519
          0,           0,          27,      -5.084175646,      -4.508178156,      -4.604914278,      -3.646521021,      -10.55560337
          0,           0,          28,      -5.100690406,       -4.49064673,       -4.61096499,      -3.664074537,      -10.55278105
          0,           0,          29,      -5.128153928,      -4.469696647,      -4.609006124,      -3.692574021,      -10.54802855
          0,           0,          30,      -5.164571019,       -4.45082648,      -4.603147255,      -3.729537078,      -10.54097033
          0,           0,          31,      -5.206000643,      -4.437489299,      -4.597773618,      -3.770238887,      -10.53162156
          0,           0,          32,      -5.246183545,      -4.431196164,      -4.596135613,      -3.807445238,      -10.51989278
          0,           0,          33,      -5.277507668,      -4.432021452,      -4.600136186,      -3.833192573,      -10.50593789
          0,           0,          34,      -5.294427265,      -4.438922973,      -4.610510534,       -3.84330863,      -10.49043049
          0,           0,          35,      -5.297462537,      -4.449842387,      -4.626712374,       -3.84050653,      -10.47403927
          0,           0,          36,      -5.293087176,      -4.461870452,      -4.646921267,      -3.832377891,       -10.4568362
          0,           0,          37,       -5.28913368,      -4.471791108,      -4.668372599,      -3.826582516,      -10.43857245
          0,           0,          38,      -5.291220806,      -4.477066894,      -4.687894552,      -3.828119484,      -10.41985264
          0,           0,          39,      -5.302212991,      -4.476739276,       -4.70273224,       -3.83935109,      -10.40109536
