 +------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.2651e-01|   -4.315587|  -10.662969|    1.230567|    0.530928|    0.507041|
|           1|  2.3010e-01|   -5.130506|  -10.904625|    0.873857|    0.548901|    0.394843|
|           2|  2.2822e-01|   -5.082652|  -11.006588|    0.670364|    0.423620|    0.299114|
|           3|  2.2234e-01|   -5.115673|  -10.977112|    0.588316|    0.327848|    0.239527|
|           4|  2.1897e-01|   -5.216946|  -10.989318|    0.550203|    0.252178|    0.189716|
|           5|  2.1596e-01|   -5.303506|  -11.002010|    0.527094|    0.183505|    0.141028|
|           6|  2.1372e-01|   -5.345052|  -11.003278|    0.508058|    0.119942|    0.094612|
|           7|  2.1240e-01|   -5.354987|  -10.994463|    0.486632|    0.062998|    0.053755|
|           8|  2.1212e-01|   -5.351919|  -10.967229|    0.457559|    0.014858|    0.020828|
|           9|  2.1157e-01|   -5.344241|  -10.953667|    0.416971|   -0.022549|   -0.003695|
|          10|  2.1543e-01|   -5.336477|  -10.956524|    0.363365|   -0.048181|   -0.021058|
|          11|  2.2023e-01|   -5.334392|  -10.952587|    0.297988|   -0.062203|   -0.033380|
|          12|  2.2429e-01|   -5.342504|  -10.936816|    0.224627|   -0.065856|   -0.042652|
|          13|  2.3069e-01|   -5.359996|  -10.913792|    0.148935|   -0.061116|   -0.050036|
|          14|  2.3031e-01|   -5.379917|  -10.893299|    0.077614|   -0.050363|   -0.055692|
|          15|  2.3446e-01|   -5.393428|  -10.880711|    0.017316|   -0.036055|   -0.059092|
|          16|  2.3371e-01|   -5.397388|  -10.879682|   -0.026443|   -0.020433|   -0.059488|
|          17|  2.3221e-01|   -5.396977|  -10.879126|   -0.050022|   -0.005320|   -0.056294|
|          18|  2.3660e-01|   -5.400802|  -10.874821|   -0.052051|    0.007936|   -0.049326|
|          19|  2.3846e-01|   -5.415358|  -10.867259|   -0.033402|    0.018508|   -0.038898|
|          20|  2.3928e-01|   -5.442460|  -10.859801|    0.003136|    0.026087|   -0.025755|
|          21|  2.3858e-01|   -5.478751|  -10.853769|    0.053428|    0.030812|   -0.010914|
|          22|  2.3787e-01|   -5.516801|  -10.849323|    0.112637|    0.033136|    0.004535|
|          23|  2.3722e-01|   -5.546524|  -10.845337|    0.175937|    0.033658|    0.019608|
|          24|  2.3910e-01|   -5.561137|  -10.840149|    0.238981|    0.032969|    0.033504|
|          25|  2.4002e-01|   -5.562769|  -10.833612|    0.298057|    0.031562|    0.045617|
|          26|  2.3951e-01|   -5.560057|  -10.826392|    0.350114|    0.029798|    0.055509|
|          27|  2.3900e-01|   -5.561332|  -10.819727|    0.392771|    0.027905|    0.062880|
|          28|  2.4015e-01|   -5.570997|  -10.814159|    0.424361|    0.026001|    0.067528|
|          29|  2.4361e-01|   -5.589712|  -10.810842|    0.444047|    0.024133|    0.069347|
|          30|  2.4536e-01|   -5.615938|  -10.809654|    0.451882|    0.022311|    0.068350|
|          31|  2.4475e-01|   -5.647233|  -10.808895|    0.448720|    0.020546|    0.064686|
|          32|  2.4589e-01|   -5.681119|  -10.806317|    0.436002|    0.018859|    0.058638|
|          33|  2.4587e-01|   -5.715419|  -10.800791|    0.415527|    0.017283|    0.050602|
|          34|  2.4551e-01|   -5.747954|  -10.792617|    0.389264|    0.015848|    0.041068|
|          35|  2.4498e-01|   -5.776348|  -10.782609|    0.359259|    0.014579|    0.030601|
|          36|  2.4578e-01|   -5.798708|  -10.771533|    0.327633|    0.013490|    0.019849|
|          37|  2.4643e-01|   -5.814822|  -10.760092|    0.296571|    0.012591|    0.009532|
|          38|  2.4608e-01|   -5.826774|  -10.748679|    0.268171|    0.011889|    0.000380|
|          39|  2.4553e-01|   -5.838069|  -10.737364|    0.244188|    0.011391|   -0.006976|
|          40|  2.4523e-01|   -5.852318|  -10.725981|    0.225868|    0.011099|   -0.012095|
|          41|  2.4480e-01|   -5.872597|  -10.714364|    0.213911|    0.011003|   -0.014760|
|          42|  2.4467e-01|   -5.900946|  -10.702525|    0.208512|    0.011082|   -0.014971|
|          43|  2.4438e-01|   -5.937736|  -10.690498|    0.209478|    0.011302|   -0.012907|
|          44|  2.4391e-01|   -5.980969|  -10.678557|    0.216377|    0.011625|   -0.008855|
|          45|  2.4350e-01|   -6.025708|  -10.666768|    0.228655|    0.012014|   -0.003172|
|          46|  2.4340e-01|   -6.064477|  -10.655332|    0.245607|    0.012433|    0.003719|
|          47|  2.4339e-01|   -6.090259|  -10.644259|    0.266250|    0.012851|    0.011296|
|          48|  2.4345e-01|   -6.101263|  -10.633631|    0.289282|    0.013237|    0.018959|
|          49|  2.4445e-01|   -6.102175|  -10.623506|    0.313225|    0.013564|    0.026115|
|          50|  2.4537e-01|   -6.100349|  -10.613825|    0.336627|    0.013815|    0.032266|
|          51|  2.4737e-01|   -6.101951|  -10.604673|    0.358200|    0.013981|    0.037054|
|          52|  2.4812e-01|   -6.110787|  -10.595891|    0.376890|    0.014061|    0.040278|
|          53|  2.4840e-01|   -6.128770|  -10.587625|    0.391919|    0.014066|    0.041883|
|          54|  2.4826e-01|   -6.156573|  -10.579796|    0.402803|    0.014010|    0.041941|
|          55|  2.4787e-01|   -6.193922|  -10.572288|    0.409336|    0.013911|    0.040614|
|          56|  2.4784e-01|   -6.239420|  -10.564982|    0.411552|    0.013783|    0.038118|
|          57|  2.4799e-01|   -6.289904|  -10.557703|    0.409635|    0.013635|    0.034679|
|          58|  2.4773e-01|   -6.339608|  -10.550294|    0.403855|    0.013467|    0.030517|
|          59|  2.4761e-01|   -6.380073|  -10.542644|    0.394606|    0.013273|    0.025867|
|          60|  2.4736e-01|   -6.402916|  -10.534880|    0.382555|    0.013042|    0.021015|
|          61|  2.4695e-01|   -6.405785|  -10.527061|    0.368698|    0.012760|    0.016291|
|          62|  2.4637e-01|   -6.395297|  -10.519206|    0.354236|    0.012420|    0.012007|
|          63|  2.4708e-01|   -6.382111|  -10.511464|    0.340368|    0.012019|    0.008413|
|          64|  2.4690e-01|   -6.374747|  -10.503785|    0.328143|    0.011564|    0.005667|
|          65|  2.4719e-01|   -6.377856|  -10.496126|    0.318373|    0.011068|    0.003849|
|          66|  2.4710e-01|   -6.393133|  -10.488512|    0.311608|    0.010554|    0.002969|
|          67|  2.4694e-01|   -6.420303|  -10.480948|    0.308127|    0.010049|    0.002986|
|          68|  2.4685e-01|   -6.457292|  -10.473391|    0.307968|    0.009585|    0.003821|
|          69|  2.4668e-01|   -6.499668|  -10.465889|    0.310972|    0.009194|    0.005368|
|          70|  2.4657e-01|   -6.539999|  -10.458444|    0.316823|    0.008908|    0.007504|
|          71|  2.4648e-01|   -6.568925|  -10.451023|    0.325045|    0.008756|    0.010076|
|          72|  2.4654e-01|   -6.579732|  -10.443635|    0.334994|    0.008757|    0.012900|
|          73|  2.4624e-01|   -6.573489|  -10.436308|    0.345893|    0.008913|    0.015770|
|          74|  2.4617e-01|   -6.558213|  -10.429053|    0.356935|    0.009207|    0.018479|
|          75|  2.4604e-01|   -6.543070|  -10.421821|    0.367386|    0.009605|    0.020852|
|          76|  2.4588e-01|   -6.534406|  -10.414631|    0.376654|    0.010061|    0.022752|
|          77|  2.4573e-01|   -6.535380|  -10.407497|    0.384317|    0.010526|    0.024094|
|          78|  2.4596e-01|   -6.546891|  -10.400412|    0.390117|    0.010953|    0.024833|
|          79|  2.4583e-01|   -6.568242|  -10.393336|    0.393955|    0.011298|    0.024973|
|          80|  2.4562e-01|   -6.597210|  -10.386271|    0.395864|    0.011532|    0.024549|
|          81|  2.4550e-01|   -6.629722|  -10.379223|    0.395965|    0.011632|    0.023620|
|          82|  2.4542e-01|   -6.659795|  -10.372197|    0.394432|    0.011585|    0.022259|
|          83|  2.4515e-01|   -6.680964|  -10.365187|    0.391466|    0.011387|    0.020548|
