        +------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.4361e-01|   -4.166610|  -10.669432|    3.543227|    1.014150|    1.096024|
|           1|  2.3913e-01|   -5.005108|  -10.770702|    2.646431|    0.901592|    0.849080|
|           2|  2.3629e-01|   -4.895156|  -10.986538|    2.064566|    0.698190|    0.653884|
|           3|  2.3450e-01|   -4.920135|  -10.961697|    1.792760|    0.566229|    0.539362|
|           4|  2.3563e-01|   -5.016796|  -10.953969|    1.620820|    0.466667|    0.444075|
|           5|  2.3442e-01|   -5.106311|  -10.956003|    1.473344|    0.376527|    0.346632|
|           6|  2.3503e-01|   -5.161955|  -10.948779|    1.329988|    0.291013|    0.246412|
|           7|  2.3583e-01|   -5.187444|  -10.931577|    1.184965|    0.210710|    0.148802|
|           8|  2.3685e-01|   -5.193694|  -10.904952|    1.036400|    0.137574|    0.059620|
|           9|  2.3609e-01|   -5.189389|  -10.877904|    0.883011|    0.073617|   -0.017277|
|          10|  2.3550e-01|   -5.181916|  -10.855366|    0.725178|    0.020470|   -0.080204|
|          11|  2.3514e-01|   -5.178475|  -10.831473|    0.565406|   -0.021095|   -0.129285|
|          12|  2.3495e-01|   -5.183281|  -10.804603|    0.408302|   -0.051274|   -0.165608|
|          13|  2.3616e-01|   -5.195947|  -10.777711|    0.260328|   -0.070936|   -0.190329|
|          14|  2.3690e-01|   -5.212831|  -10.755959|    0.129319|   -0.081259|   -0.204205|
|          15|  2.3733e-01|   -5.229882|  -10.741910|    0.023513|   -0.083489|   -0.207638|
|          16|  2.3655e-01|   -5.245394|  -10.735306|   -0.049742|   -0.078828|   -0.200971|
|          17|  2.3600e-01|   -5.260642|  -10.733795|   -0.085119|   -0.068382|   -0.184750|
|          18|  2.3539e-01|   -5.278255|  -10.734547|   -0.079870|   -0.053153|   -0.159868|
|          19|  2.3817e-01|   -5.300027|  -10.734942|   -0.033941|   -0.034086|   -0.127651|
|          20|  2.3886e-01|   -5.325137|  -10.734442|    0.049867|   -0.012149|   -0.089930|
|          21|  2.3974e-01|   -5.349313|  -10.732510|    0.165733|    0.011601|   -0.048986|
|          22|  2.4070e-01|   -5.366081|  -10.729599|    0.305075|    0.036002|   -0.007337|
|          23|  2.4178e-01|   -5.370900|  -10.725942|    0.457687|    0.059863|    0.032607|
|          24|  2.4220e-01|   -5.365372|  -10.721663|    0.613082|    0.082042|    0.068795|
|          25|  2.4242e-01|   -5.356252|  -10.716983|    0.761607|    0.101533|    0.099665|
|          26|  2.4257e-01|   -5.350797|  -10.712580|    0.895055|    0.117507|    0.124130|
|          27|  2.4243e-01|   -5.353787|  -10.708612|    1.006855|    0.129337|    0.141491|
|          28|  2.4208e-01|   -5.367225|  -10.705043|    1.092119|    0.136612|    0.151363|
|          29|  2.4158e-01|   -5.390955|  -10.701235|    1.147847|    0.139179|    0.153672|
|          30|  2.4223e-01|   -5.423110|  -10.696547|    1.173132|    0.137166|    0.148685|
|          31|  2.4284e-01|   -5.460289|  -10.690604|    1.169117|    0.130968|    0.137005|
|          32|  2.4290e-01|   -5.497805|  -10.682794|    1.138653|    0.121196|    0.119521|
|          33|  2.4324e-01|   -5.530559|  -10.672576|    1.085893|    0.108616|    0.097368|
|          34|  2.4383e-01|   -5.554801|  -10.660029|    1.016034|    0.094113|    0.071928|
|          35|  2.4403e-01|   -5.569890|  -10.645432|    0.935136|    0.078659|    0.044815|
|          36|  2.4432e-01|   -5.578350|  -10.629919|    0.849649|    0.063233|    0.017755|
|          37|  2.4467e-01|   -5.584080|  -10.614504|    0.765790|    0.048734|   -0.007585|
|          38|  2.4496e-01|   -5.590711|  -10.599571|    0.689104|    0.035937|   -0.029701|
|          39|  2.4496e-01|   -5.600953|  -10.585317|    0.624160|    0.025461|   -0.047344|
|          40|  2.4483e-01|   -5.616484|  -10.572244|    0.574333|    0.017740|   -0.059606|
|          41|  2.4438e-01|   -5.637919|  -10.560336|    0.541670|    0.013000|   -0.065992|
|          42|  2.4407e-01|   -5.664674|  -10.549435|    0.526920|    0.011257|   -0.066435|
|          43|  2.4387e-01|   -5.694830|  -10.539292|    0.529714|    0.012338|   -0.061250|
|          44|  2.4358e-01|   -5.724772|  -10.529822|    0.548976|    0.015955|   -0.051004|
|          45|  2.4494e-01|   -5.749370|  -10.521078|    0.583246|    0.021759|   -0.036446|
|          46|  2.4500e-01|   -5.764081|  -10.512925|    0.630470|    0.029311|   -0.018590|
|          47|  2.4520e-01|   -5.767864|  -10.505335|    0.687586|    0.038034|    0.001196|
|          48|  2.4537e-01|   -5.763881|  -10.498156|    0.750654|    0.047250|    0.021313|
|          49|  2.4559e-01|   -5.757451|  -10.491371|    0.815450|    0.056278|    0.040194|
|          50|  2.4580e-01|   -5.753527|  -10.484914|    0.878018|    0.064516|    0.056517|
|          51|  2.4582e-01|   -5.755414|  -10.478500|    0.934963|    0.071486|    0.069312|
|          52|  2.4594e-01|   -5.764717|  -10.471854|    0.983591|    0.076848|    0.077990|
|          53|  2.4620e-01|   -5.781668|  -10.464883|    1.021973|    0.080398|    0.082344|
|          54|  2.4626e-01|   -5.805383|  -10.457676|    1.048973|    0.082058|    0.082498|
|          55|  2.4668e-01|   -5.833946|  -10.450156|    1.064204|    0.081857|    0.078842|
|          56|  2.4667e-01|   -5.864423|  -10.442269|    1.067891|    0.079899|    0.071930|
|          57|  2.4670e-01|   -5.893103|  -10.433849|    1.060641|    0.076319|    0.062374|
|          58|  2.4671e-01|   -5.916416|  -10.424857|    1.043332|    0.071281|    0.050822|
|          59|  2.4637e-01|   -5.932477|  -10.415309|    1.017298|    0.065027|    0.038019|
|          60|  2.4644e-01|   -5.941745|  -10.405274|    0.984591|    0.057910|    0.024837|
|          61|  2.4729e-01|   -5.946265|  -10.394795|    0.947902|    0.050378|    0.012180|
|          62|  2.4737e-01|   -5.949048|  -10.383999|    0.910201|    0.042914|    0.000852|
|          63|  2.4729e-01|   -5.953393|  -10.372934|    0.874363|    0.035978|   -0.008526|
|          64|  2.4703e-01|   -5.962011|  -10.361649|    0.842892|    0.029969|   -0.015550|
|          65|  2.4693e-01|   -5.976541|  -10.350181|    0.817755|    0.025194|   -0.020024|
|          66|  2.4678e-01|   -5.997389|  -10.338538|    0.800291|    0.021856|   -0.021932|
|          67|  2.4655e-01|   -6.023593|  -10.326666|    0.791183|    0.020043|   -0.021409|
|          68|  2.4634e-01|   -6.052602|  -10.314584|    0.790514|    0.019739|   -0.018699|
|          69|  2.4616e-01|   -6.080146|  -10.302275|    0.797916|    0.020847|   -0.014106|
|          70|  2.4582e-01|   -6.100959|  -10.289729|    0.812721|    0.023219|   -0.007967|
|          71|  2.4550e-01|   -6.111346|  -10.276978|    0.833920|    0.026646|   -0.000689|
|          72|  2.4516e-01|   -6.112104|  -10.264048|    0.859995|    0.030830|    0.007213|
|          73|  2.4491e-01|   -6.107719|  -10.250932|    0.888971|    0.035396|    0.015152|
|          74|  2.4460e-01|   -6.103300|  -10.237647|    0.918723|    0.039943|    0.022561|
|          75|  2.4439e-01|   -6.103021|  -10.224229|    0.947275|    0.044104|    0.028965|
|          76|  2.4438e-01|   -6.109764|  -10.210688|    0.972983|    0.047585|    0.034019|
|          77|  2.4469e-01|   -6.125085|  -10.197061|    0.994619|    0.050180|    0.037511|
|          78|  2.4484e-01|   -6.149231|  -10.183393|    1.011380|    0.051775|    0.039358|
|          79|  2.4493e-01|   -6.181002|  -10.169707|    1.022880|    0.052339|    0.039587|
|          80|  2.4468e-01|   -6.217325|  -10.156004|    1.029093|    0.051914|    0.038321|
|          81|  2.4476e-01|   -6.252787|  -10.142300|    1.030263|    0.050583|    0.035734|
|          82|  2.4482e-01|   -6.280054|  -10.128604|    1.026757|    0.048443|    0.032012|
|          83|  2.4488e-01|   -6.292813|  -10.114952|    1.019004|    0.045606|    0.027361|
|          84|  2.4469e-01|   -6.290485|  -10.101327|    1.007621|    0.042230|    0.022048|
|          85|  2.4454e-01|   -6.278682|  -10.087803|    0.993524|    0.038532|    0.016423|
|          86|  2.4465e-01|   -6.264601|  -10.074398|    0.977859|    0.034757|    0.010872|
|          87|  2.4452e-01|   -6.253933|  -10.061128|    0.961834|    0.031143|    0.005758|
|          88|  2.4432e-01|   -6.250382|  -10.047971|    0.946576|    0.027896|    0.001380|
|          89|  2.4424e-01|   -6.255968|  -10.034911|    0.933045|    0.025174|   -0.002049|
|          90|  2.4512e-01|   -6.271433|  -10.021948|    0.921986|    0.023085|   -0.004402|
|          91|  2.4547e-01|   -6.296473|  -10.009092|    0.913913|    0.021685|   -0.005636|
|          92|  2.4551e-01|   -6.329668|   -9.996287|    0.909110|    0.020981|   -0.005775|
|          93|  2.4533e-01|   -6.368095|   -9.983549|    0.907655|    0.020942|   -0.004903|
|          94|  2.4525e-01|   -6.406832|   -9.970873|    0.909469|    0.021509|   -0.003137|
|          95|  2.4510e-01|   -6.439165|   -9.958244|    0.914361|    0.022610|   -0.000620|
|          96|  2.4510e-01|   -6.459077|   -9.945656|    0.922015|    0.024151|    0.002474|
|          97|  2.4509e-01|   -6.465380|   -9.933110|    0.931926|    0.026011|    0.005920|
