"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53367597
          0,           0,           1,      -4.962455889,      -4.898720218,      -5.458528859,      -4.610026864,      -4.341874151,      -11.58898494
          0,           0,           2,      -4.995135444,      -4.888587448,      -5.295064547,      -4.970665707,       -4.37831015,      -11.41171187
          0,           0,           3,      -5.106825412,      -4.985904579,      -5.239174242,      -5.052251269,      -4.506085623,      -11.36558251
          0,           0,           4,      -5.127963922,      -5.018933093,      -5.229311298,      -5.045245318,      -4.538593694,      -11.40979667
          0,           0,           5,      -5.137878318,      -5.044056411,      -5.230842786,      -5.061679517,      -4.555219149,      -11.54585944
          0,           0,           6,      -5.156204705,      -5.062260213,      -5.228434204,      -5.085069607,       -4.57370272,      -11.59841109
          0,           0,           7,      -5.179085371,      -5.073764601,      -5.219188264,      -5.105264979,      -4.593186761,      -11.61538756
          0,           0,           8,      -5.197316686,      -5.081117507,      -5.212224934,      -5.123893564,      -4.607838223,      -11.61332608
          0,           0,           9,      -5.209140052,      -5.090369937,      -5.214595172,      -5.141603882,      -4.617033809,        -11.597667
          0,           0,          10,      -5.218078341,      -5.102934119,      -5.225307566,      -5.157702542,      -4.624232122,      -11.57239187
          0,           0,          11,      -5.227149207,      -5.116784503,      -5.239132857,      -5.173063985,      -4.631855537,      -11.53928927
          0,           0,          12,      -5.237917592,      -5.131290418,      -5.251955495,      -5.190047715,       -4.64112163,      -11.49803004
          0,           0,          13,      -5.250965849,      -5.148221678,      -5.263396013,      -5.210876078,      -4.652860352,      -11.44845371
          0,           0,          14,      -5.265646494,      -5.168857066,      -5.275332248,      -5.236047834,      -4.666671189,       -11.3918845
          0,           0,          15,      -5.280461121,      -5.192351603,      -5.289566446,      -5.263819417,      -4.680807194,      -11.33013512
          0,           0,          16,      -5.294321144,      -5.216798895,      -5.306908894,      -5.291361611,       -4.69375914,      -11.26522726
          0,           0,          17,      -5.307247494,      -5.241127897,      -5.327432281,       -5.31673073,      -4.705499284,      -11.19921499
          0,           0,          18,      -5.319766039,      -5.265782724,      -5.350742973,      -5.339960222,      -4.716925608,      -11.13433864
          0,           0,          19,      -5.332542648,      -5.291897325,       -5.37612727,      -5.362501905,      -4.729113078,      -11.07284743
          0,           0,          20,      -5.346067896,      -5.320271271,      -5.402703584,      -5.385918834,      -4.742657785,      -11.01483374
          0,           0,          21,      -5.360050346,      -5.350939705,      -5.429590684,      -5.411048611,      -4.757059336,      -10.95794575
          0,           0,          22,      -5.374534398,      -5.383415861,      -5.456102917,      -5.437766213,       -4.77204952,      -10.90438196
          0,           0,          23,      -5.389682477,      -5.416970895,      -5.481926717,      -5.465309591,      -4.787542939,       -10.8268858
          0,           0,          24,      -5.405488338,      -5.451083152,      -5.507128819,      -5.492853556,      -4.803441542,      -10.78645589
          0,           0,          25,      -5.422102656,      -5.485351743,      -5.531973102,      -5.519885019,       -4.81994933,      -10.72101079
          0,           0,          26,      -5.440204078,       -5.51940543,      -5.556707264,      -5.546212863,      -4.837841187,      -10.64822206
          0,           0,          27,      -5.460128164,      -5.552707968,      -5.581478953,      -5.572064481,      -4.857533717,      -10.56443766
          0,           0,          28,      -5.481595043,      -5.585779311,       -5.60632433,       -5.59794033,      -4.878824369,      -10.49331884
          0,           0,          29,      -5.504462142,      -5.618068073,      -5.631239309,      -5.624354971,      -4.901633575,      -10.42892754
          0,           0,          30,      -5.529034829,      -5.649618645,      -5.656206716,      -5.651484936,      -4.926270408,      -10.36744986
          0,           0,          31,      -5.555192325,      -5.680139991,      -5.681200926,      -5.679338817,      -4.952582196,      -10.30855484
          0,           0,          32,      -5.582692261,      -5.710380866,      -5.706174335,      -5.707793799,      -4.980288239,      -10.25535997
          0,           0,          33,      -5.611140849,      -5.740231681,      -5.731040736,      -5.736623908,      -5.008985974,      -10.20657742
          0,           0,          34,      -5.640036694,      -5.769999715,      -5.755724643,      -5.765576968,      -5.038174204,      -10.16240076
          0,           0,          35,      -5.669366863,      -5.799558801,      -5.780177745,      -5.794269095,      -5.067814503,      -10.12013675
          0,           0,          36,      -5.698826253,      -5.829473778,      -5.804377814,      -5.822513831,      -5.097602921,      -10.08270872
          0,           0,          37,      -5.728050902,      -5.859319009,      -5.828311714,      -5.850297365,      -5.127203029,      -10.04819436
          0,           0,          38,      -5.756635787,      -5.888560841,      -5.851981114,      -5.877788749,      -5.156253534,      -10.01681929
          0,           0,          39,      -5.784273491,      -5.917661666,      -5.875396167,      -5.905219631,      -5.184481873,      -9.988196394
          0,           0,          40,      -5.810628523,      -5.944991084,      -5.898580322,      -5.932786903,      -5.211563123,      -9.961809083
          0,           0,          41,      -5.835396149,      -5.969886046,       -5.92156252,      -5.960575773,      -5.237151937,       -9.93752736
          0,           0,          42,       -5.85847136,      -5.990974862,      -5.944363433,      -5.988568832,      -5.261059496,      -9.914498672
          0,           0,          43,      -5.879833291,      -6.008696463,      -5.967000834,      -6.016716282,      -5.283159313,       -9.89287154
          0,           0,          44,      -5.899571104,       -6.02468096,      -5.989517069,      -6.044908404,      -5.303429308,       -9.87241529
          0,           0,          45,      -5.917989707,      -6.036490907,      -6.011960788,        -6.0729706,      -5.322094161,      -9.852661721
          0,           0,          46,      -5.935526424,      -6.045261159,      -6.034410333,      -6.100731862,      -5.339576912,       -9.83347523
          0,           0,          47,      -5.952674343,      -6.052101184,      -6.056983875,      -6.128093722,      -5.356420229,      -9.814844832
          0,           0,          48,      -5.969917882,      -6.057687961,      -6.079828118,       -6.15501253,      -5.373204496,      -9.796742851
          0,           0,          49,      -5.987648041,       -6.06284655,      -6.103095179,      -6.181469186,      -5.390430292,      -9.779173873
          0,           0,          50,      -6.006199633,      -6.067989338,      -6.126933426,      -6.207486568,      -5.408543559,      -9.762157865
          0,           0,          51,      -6.025711424,      -6.073515957,      -6.151469657,         -6.233167,      -5.427770699,       -9.74572484
          0,           0,          52,      -6.046183188,      -6.079540637,      -6.176771122,      -6.258656025,      -5.448176401,      -9.729938475
          0,           0,          53,      -6.067419675,      -6.086033749,       -6.20282457,      -6.284078006,      -5.469605726,      -9.714857026
          0,           0,          54,      -6.089019835,       -6.09301039,      -6.229524107,      -6.309534779,      -5.491659162,      -9.700584986
          0,           0,          55,      -6.110496533,      -6.100185308,      -6.256646697,       -6.33507661,      -5.513805196,      -9.687141606
          0,           0,          56,      -6.131297335,      -6.107342616,      -6.283838284,       -6.36062427,      -5.535393768,      -9.674597666
          0,           0,          57,      -6.150942304,      -6.114393398,      -6.310625884,      -6.385938565,      -5.555807047,      -9.662981567
          0,           0,          58,      -6.169063328,      -6.121247526,      -6.336438981,      -6.410617837,      -5.574512889,      -9.652296806
          0,           0,          59,       -6.18552209,      -6.127876893,      -6.360703335,      -6.434144637,      -5.591225558,      -9.642570957
          0,           0,          60,      -6.200439511,      -6.134452211,      -6.382943428,      -6.455972351,      -5.605974767,      -9.633812974
          0,           0,          61,      -6.214164721,      -6.140990826,      -6.402883103,      -6.475603242,      -5.619104792,      -9.626047722
          0,           0,          62,      -6.227187066,      -6.147554796,      -6.420496394,      -6.492782926,      -5.631188514,      -9.619269237
          0,           0,          63,      -6.240035226,      -6.154245661,      -6.436014555,      -6.507516694,      -5.642891765,      -9.613463509
          0,           0,          64,      -6.253230324,      -6.161039107,      -6.449863518,      -6.520108177,      -5.654884392,      -9.608565936
          0,           0,          65,      -6.267142031,      -6.167901608,      -6.462571456,      -6.531142738,      -5.667668661,      -9.604501143
          0,           0,          66,      -6.281982772,      -6.174709136,      -6.474685407,      -6.541324188,      -5.681556389,      -9.601156874
