"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.164141138,      -13.48875714,       -13.5718118,      -2.116433707,      -9.128089902
          0,           0,           1,      -4.579334838,      -3.510619858,      -3.727983532,      -2.530183788,      -9.422501539
          0,           0,           2,      -4.733349211,      -3.585155038,       -3.82724137,      -2.680325386,       -9.76147417
          0,           0,           3,      -4.731894252,      -3.663013498,      -4.011808828,      -2.678447285,      -10.02695016
          0,           0,           4,      -4.779579935,      -3.731243722,      -4.060253532,       -2.72708792,      -10.17980278
          0,           0,           5,      -4.836187008,       -3.78883071,      -4.055660542,      -2.784837731,      -10.27728242
          0,           0,           6,      -4.878251459,       -3.83907334,        -4.0715385,      -2.828207582,      -10.35034171
          0,           0,           7,       -4.90741233,      -3.884710952,      -4.094744105,      -2.858510904,       -10.4258938
          0,           0,           8,      -4.925219915,      -3.927193635,      -4.110894452,      -2.877073198,      -10.48164936
          0,           0,           9,      -4.932973891,      -3.966529633,      -4.115357517,      -2.885233921,      -10.52518963
          0,           0,          10,      -4.933070111,      -4.001733704,      -4.109706977,      -2.885567822,      -10.56189405
          0,           0,          11,       -4.92819383,      -4.031243258,      -4.097649637,      -2.880933531,       -10.5936914
          0,           0,          12,      -4.920867306,        -4.0534266,      -4.082722873,      -2.873957338,      -10.62185709
          0,           0,          13,      -4.913041873,      -4.067096115,      -4.067536938,      -2.866633833,      -10.64954343
          0,           0,          14,      -4.905843026,      -4.071989022,      -4.053688131,      -2.860087894,      -10.68152796
          0,           0,          15,      -4.899724698,      -4.068969248,      -4.041984207,      -2.854744945,      -10.70631343
          0,           0,          16,      -4.894655556,      -4.059761087,       -4.03264166,      -2.850530118,      -10.72765563
          0,           0,          17,      -4.890303714,      -4.046408739,      -4.025453699,      -2.847061748,      -10.74680186
          0,           0,          18,      -4.886197672,      -4.030785265,      -4.019950748,      -2.843820311,      -10.76411489
          0,           0,          19,      -4.881847009,      -4.014334707,      -4.015550297,      -2.840276514,      -10.77979508
          0,           0,          20,      -4.876820243,       -3.99803485,      -4.011683255,      -2.835973978,      -10.79402815
          0,           0,          21,      -4.870791388,      -3.982478024,      -4.007881277,      -2.830576366,      -10.80774459
          0,           0,          22,      -4.863567418,       -3.96798071,      -4.003815661,      -2.823891492,      -10.82351544
          0,           0,          23,      -4.855100508,      -3.954675827,      -3.999292455,      -2.815878208,      -10.83676873
          0,           0,          24,      -4.845480672,      -3.942579025,      -3.994221532,      -2.806633934,      -10.84712168
          0,           0,          25,      -4.834904735,      -3.931633263,      -3.988581151,      -2.796360399,      -10.85565275
          0,           0,          26,       -4.82362506,      -3.921740849,      -3.982392918,       -2.78531107,      -10.86265908
          0,           0,          27,      -4.811891066,       -3.91278905,       -3.97571107,      -2.773732975,      -10.86823819
          0,           0,          28,        -4.7998998,      -3.904670884,      -3.968622082,      -2.761818575,      -10.87243594
          0,           0,          29,      -4.787766814,      -3.897299438,      -3.961246084,      -2.749678416,      -10.87525151
          0,           0,          30,      -4.775522672,      -3.890614892,       -3.95373336,      -2.737339667,      -10.87668444
          0,           0,          31,      -4.763132524,      -3.884583022,      -3.946253011,      -2.724767779,      -10.87706215
          0,           0,          32,      -4.750530138,      -3.879186623,      -3.938974995,      -2.711902143,       -10.8772883
          0,           0,          33,      -4.737655757,      -3.874415674,      -3.932049566,      -2.698694563,      -10.87629045
          0,           0,          34,      -4.724486709,      -3.870256069,      -3.925588978,      -2.685139099,      -10.87345152
          0,           0,          35,      -4.711053406,      -3.866681736,      -3.919655005,      -2.671285978,       -10.8692505
          0,           0,          36,      -4.697439041,      -3.863652065,      -3.914253867,      -2.657238505,      -10.86402853
          0,           0,          37,      -4.683766857,      -3.861112804,      -3.909337896,      -2.643137706,      -10.85802377
          0,           0,          38,      -4.670181821,      -3.858996978,      -3.904811703,      -2.629142209,      -10.85143858
          0,           0,          39,      -4.656833143,      -3.857224142,      -3.900540223,      -2.615410132,      -10.84448083
          0,           0,          40,      -4.643861277,      -3.855696338,      -3.896357215,      -2.602086368,      -10.83734873
          0,           0,          41,      -4.631389826,      -3.854291046,       -3.89207395,      -2.589295353,      -10.83023696
          0,           0,          42,      -4.619520663,      -3.852853247,      -3.887489358,      -2.577137158,      -10.82332496
          0,           0,          43,      -4.608330331,       -3.85119051,      -3.882403433,      -2.565684743,      -10.81676357
          0,           0,          44,      -4.597866446,      -3.849074829,      -3.876635074,      -2.554980964,      -10.81067676
          0,           0,          45,      -4.588144395,      -3.846254969,      -3.870043217,       -2.54503568,      -10.80508648
          0,           0,          46,      -4.579145574,      -3.842480198,      -3.862547768,      -2.535824323,      -10.79989255
          0,           0,          47,      -4.570818658,      -3.837532791,      -3.854145093,      -2.527289518,      -10.79500514
          0,           0,          48,      -4.563084928,      -3.831263168,      -3.844913141,      -2.519346847,       -10.7904027
          0,           0,          49,      -4.555847549,         -3.823619,      -3.835003862,      -2.511894627,      -10.78603238
          0,           0,          50,      -4.549003397,      -3.814659905,      -3.824624243,      -2.504826211,      -10.78181332
          0,           0,          51,      -4.542455218,      -3.804553244,      -3.814010347,      -2.498042488,      -10.77764905
          0,           0,          52,      -4.536121553,      -3.793552249,      -3.803400144,      -2.491461894,      -10.77344594
          0,           0,          53,      -4.529942447,      -3.781962605,      -3.793010175,      -2.485025939,      -10.76913681
          0,           0,          54,      -4.523880095,      -3.770105986,      -3.783019212,       -2.47869942,      -10.76467099
          0,           0,          55,      -4.517914995,      -3.758287709,      -3.773559741,      -2.472466017,      -10.76001818
          0,           0,          56,      -4.512039288,       -3.74677316,      -3.764716515,      -2.466321097,      -10.75516488
          0,           0,          57,      -4.506249469,      -3.735773998,      -3.756530377,      -2.460264012,      -10.75012031
          0,           0,          58,      -4.500540447,      -3.725443094,      -3.749005338,      -2.454291937,       -10.7448751
          0,           0,          59,      -4.494902166,      -3.715875958,       -3.74211706,      -2.448396439,      -10.73948082
          0,           0,          60,      -4.489319152,      -3.707116327,      -3.735821326,      -2.442563117,      -10.73393431
          0,           0,          61,      -4.483772464,      -3.699163978,      -3.730061439,      -2.436773705,      -10.72823427
          0,           0,          62,      -4.478243039,      -3.691983392,      -3.724774136,      -2.431009573,      -10.72238764
          0,           0,          63,      -4.472715286,      -3.685512433,       -3.71989384,      -2.425255449,      -10.71643342
          0,           0,          64,      -4.467179936,        -3.6796705,      -3.715355386,       -2.41950235,      -10.71045425
