Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.99906,0,0,0,79.709,0,31.884,1.0053,0,0.27501,0,0,0,1.67E-07,-2.54E-13,-0.0015575,0,0,0.29467,0,1,5.35E-08,0
0.9977,0,0,0,79.597,0,31.839,1.0052,0,0.18537,0,0,0,1.67E-07,0.017046,0.002412,0,0,0.97833,0,0.99797,-0.00028818,0
0.99862,0,0,0,79.665,0,31.866,1.0052,0,0.24005,0,0,0,1.67E-07,0.01024,0.0014449,0,0,0.75625,0,0.99578,-0.00059679,0
0.99791,0,0,0,79.599,0,31.84,1.0051,0,0.18751,0,0,0,1.67E-07,0.0078471,0.0011041,0,0,0.65992,0,0.99344,-0.00092705,0
0.99782,0,0,0,79.584,0,31.834,1.005,0,0.17497,0,0,0,1.67E-07,0.0070509,0.00098893,0,0,0.62385,0,0.99092,-0.0012803,0
0.99765,0,0,0,79.565,0,31.826,1.0049,0,0.15998,0,0,0,1.67E-07,0.0067801,0.00094775,0,0,0.61018,0,0.98823,-0.0016579,0
0.99752,0,0,0,79.551,0,31.82,1.0048,0,0.14884,0,0,0,1.67E-07,0.0066939,0.00093233,0,0,0.60483,0,0.98534,-0.0020613,0
0.9974,0,0,0,79.539,0,31.815,1.0048,0,0.13885,0,0,0,1.67E-07,0.0066746,0.00092606,0,0,0.6026,0,0.98224,-0.002492,0
0.9973,0,0,0,79.528,0,31.811,1.0048,0,0.13043,0,0,0,1.67E-07,0.0066818,0.00092326,0,0,0.60167,0,0.97892,-0.0029514,0
0.99721,0,0,0,79.519,0,31.807,1.0047,0,0.12289,0,0,0,1.67E-07,0.0066989,0.00092156,0,0,0.60127,0,0.97537,-0.0034413,0
0.99714,0,0,0,79.51,0,31.804,1.0047,0,0.11619,0,0,0,1.67E-07,0.0067187,0.00091997,0,0,0.60107,0,0.97157,-0.0039631,0
0.99706,0,0,0,79.503,0,31.801,1.0047,0,0.11011,0,0,0,1.67E-07,0.0067384,0.00091806,0,0,0.60094,0,0.9675,-0.0045184,0
0.997,0,0,0,79.496,0,31.798,1.0047,0,0.10459,0,0,0,1.67E-07,0.006757,0.00091571,0,0,0.60082,0,0.96316,-0.005109,0
0.99694,0,0,0,79.489,0,31.796,1.0046,0,0.099529,0,0,0,1.67E-07,0.0067743,0.00091288,0,0,0.60071,0,0.95852,-0.0057364,0
0.99689,0,0,0,79.484,0,31.793,1.0046,0,0.094875,0,0,0,1.67E-07,0.0067905,0.00090956,0,0,0.60061,0,0.95356,-0.0064022,0
0.99684,0,0,0,79.478,0,31.791,1.0046,0,0.09058,0,0,0,1.67E-07,0.0068056,0.00090577,0,0,0.60051,0,0.94827,-0.007108,0
0.99679,0,0,0,79.473,0,31.789,1.0046,0,0.086613,0,0,0,1.67E-07,0.0068198,0.00090152,0,0,0.60043,0,0.94264,-0.0078555,0
0.99675,0,0,0,79.469,0,31.788,1.0046,0,0.082948,0,0,0,1.67E-07,0.0068332,0.0008968,0,0,0.60035,0,0.93664,-0.008646,0
0.99671,0,0,0,79.465,0,31.786,1.0046,0,0.079565,0,0,0,1.67E-07,0.006846,0.00089163,0,0,0.60029,0,0.93025,-0.009481,0
0.99667,0,0,0,79.461,0,31.784,1.0045,0,0.076449,0,0,0,1.67E-07,0.0068581,0.00088601,0,0,0.60024,0,0.92347,-0.010362,0
0.99664,0,0,0,79.457,0,31.783,1.0045,0,0.073591,0,0,0,1.67E-07,0.0068696,0.00087993,0,0,0.6002,0,0.91626,-0.01129,0
0.99661,0,0,0,79.454,0,31.782,1.0045,0,0.070983,0,0,0,1.67E-07,0.0068806,0.00087339,0,0,0.60017,0,0.9086,-0.012265,0
0.99658,0,0,0,79.451,0,31.78,1.0045,0,0.068621,0,0,0,1.67E-07,0.0068911,0.0008664,0,0,0.60016,0,0.9005,-0.01329,0
0.99656,0,0,0,79.448,0,31.779,1.0045,0,0.066501,0,0,0,1.67E-07,0.0069011,0.00085894,0,0,0.60015,0,0.89191,-0.014364,0
0.99654,0,0,0,79.446,0,31.778,1.0045,0,0.064623,0,0,0,1.67E-07,0.0069107,0.00085102,0,0,0.60015,0,0.88284,-0.015488,0
0.99652,0,0,0,79.444,0,31.778,1.0045,0,0.062987,0,0,0,1.67E-07,0.0069199,0.00084263,0,0,0.60016,0,0.87325,-0.016662,0
0.9965,0,0,0,79.442,0,31.777,1.0045,0,0.061592,0,0,0,1.67E-07,0.0069285,0.00083375,0,0,0.60017,0,0.86315,-0.017886,0
0.99648,0,0,0,79.441,0,31.776,1.0045,0,0.060443,0,0,0,1.67E-07,0.0069366,0.00082439,0,0,0.60018,0,0.8525,-0.019159,0
0.99647,0,0,0,79.44,0,31.776,1.0045,0,0.059539,0,0,0,1.67E-07,0.0069443,0.00081453,0,0,0.60019,0,0.84132,-0.02048,0
0.99646,0,0,0,79.439,0,31.775,1.0045,0,0.058882,0,0,0,1.67E-07,0.0069516,0.00080418,0,0,0.6002,0,0.82957,-0.021849,0
0.99646,0,0,0,79.438,0,31.775,1.0045,0,0.058475,0,0,0,1.67E-07,0.0069585,0.00079333,0,0,0.60022,0,0.81727,-0.023262,0
0.99646,0,0,0,79.438,0,31.775,1.0045,0,0.058319,0,0,0,1.67E-07,0.006965,0.00078195,0,0,0.60023,0,0.80439,-0.024719,0
0.99646,0,0,0,79.438,0,31.775,1.0045,0,0.058416,0,0,0,1.67E-07,0.0069711,0.00077004,0,0,0.60025,0,0.79095,-0.026217,0
0.99646,0,0,0,79.439,0,31.775,1.0045,0,0.058768,0,0,0,1.67E-07,0.0069768,0.00075756,0,0,0.60026,0,0.77694,-0.027751,0
0.99647,0,0,0,79.439,0,31.776,1.0045,0,0.059378,0,0,0,1.67E-07,0.0069822,0.0007445,0,0,0.60027,0,0.76238,-0.029319,0
0.99648,0,0,0,79.44,0,31.776,1.0045,0,0.060248,0,0,0,1.67E-07,0.0069872,0.00073082,0,0,0.60028,0,0.74726,-0.030916,0
0.9965,0,0,0,79.442,0,31.777,1.0045,0,0.061382,0,0,0,1.67E-07,0.0069918,0.00071647,0,0,0.60029,0,0.7316,-0.032538,0
0.99651,0,0,0,79.444,0,31.777,1.0045,0,0.062785,0,0,0,1.67E-07,0.0069961,0.00070141,0,0,0.60029,0,0.71543,-0.034179,0
0.99653,0,0,0,79.446,0,31.778,1.0045,0,0.064462,0,0,0,1.67E-07,0.007,0.00068559,0,0,0.60029,0,0.69875,-0.035832,0
0.99656,0,0,0,79.448,0,31.779,1.0045,0,0.066421,0,0,0,1.67E-07,0.0070036,0.00066894,0,0,0.60028,0,0.6816,-0.037491,0
0.99658,0,0,0,79.451,0,31.78,1.0045,0,0.068671,0,0,0,1.67E-07,0.0070068,0.00065139,0,0,0.60027,0,0.66401,-0.03915,0
