"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.845304036,      -16.82067187,      -17.04891401,      -3.238138035,      -10.66657997
          0,           0,           1,      -4.503577272,      -4.146160419,      -3.940201197,      -3.892120005,      -10.60616569
          0,           0,           2,      -4.461436529,      -4.167845116,      -4.452306147,      -3.835608931,      -10.27236176
          0,           0,           3,      -4.610184261,       -4.31664068,      -4.722252751,      -3.993059783,      -10.00820072
          0,           0,           4,      -4.714055862,       -4.42011652,      -4.707828691,      -4.130147691,      -9.887581353
          0,           0,           5,      -4.720562204,      -4.459285012,      -4.735453256,       -4.16550977,      -10.32112032
          0,           0,           6,      -4.696734003,      -4.467023463,      -4.782331373,      -4.150514086,      -10.28679457
          0,           0,           7,      -4.677989449,      -4.480305956,      -4.829116434,      -4.132704616,      -10.22623869
          0,           0,           8,      -4.671661958,        -4.5039362,      -4.871232683,      -4.126715873,      -10.17491719
          0,           0,           9,      -4.673986654,       -4.53513972,      -4.904312061,      -4.130241563,      -10.19498974
          0,           0,          10,      -4.679021828,      -4.569768498,      -4.927425664,      -4.137037767,      -10.19777982
          0,           0,          11,      -4.682662468,      -4.604478644,      -4.942200354,       -4.14246201,      -10.16575577
          0,           0,          12,      -4.683105303,      -4.637395919,      -4.950901036,      -4.144075239,      -9.948082788
          0,           0,          13,      -4.679975306,      -4.666666644,      -4.956357234,      -4.140449777,      -9.662186868
          0,           0,          14,      -4.673237022,      -4.691333493,      -4.961229552,      -4.130746501,      -9.363779522
          0,           0,          15,      -4.663092402,      -4.710560672,      -4.967473597,      -4.115094094,      -9.063269611
          0,           0,          16,      -4.650222225,      -4.723729334,      -4.976183288,      -4.094608674,      -8.769204196
          0,           0,          17,      -4.635502819,      -4.728880353,      -4.986854846,      -4.070981064,      -8.951454331
          0,           0,          18,      -4.620047071,      -4.726260748,      -4.996269923,      -4.046335855,       -8.71063554
          0,           0,          19,      -4.604998348,      -4.717948499,      -4.999910609,      -4.022942367,      -8.499223852
          0,           0,          20,      -4.591174095,      -4.709882147,      -4.996410248,      -4.001888865,      -8.361944836
          0,           0,          21,      -4.579215935,      -4.703221044,      -4.987970277,      -3.984092247,      -8.291551582
          0,           0,          22,      -4.571445556,       -4.69849344,      -4.979258442,      -3.972116728,       -8.28778266
          0,           0,          23,      -4.567356372,      -4.693989006,      -4.973906808,       -3.96537529,      -8.308724113
          0,           0,          24,      -4.564031489,      -4.686707645,      -4.976160186,      -3.960752352,      -8.307462318
          0,           0,          25,      -4.555964663,       -4.67627375,       -4.98676575,      -3.951148027,      -8.307620707
          0,           0,          26,      -4.544427156,      -4.659597161,      -5.003449558,      -3.936362738,      -8.312366619
          0,           0,          27,      -4.541043005,      -4.656631086,      -5.024089428,      -3.929750264,      -8.309409909
          0,           0,          28,      -4.538203011,      -4.651411362,      -5.042991117,      -3.924948639,       -8.29281276
          0,           0,          29,      -4.537814943,      -4.652710465,      -5.055422439,      -3.920871036,      -8.217877134
          0,           0,          30,      -4.546306844,      -4.670793427,      -5.053945134,      -3.927749844,      -8.023679676
          0,           0,          31,      -4.559863315,      -4.690962411,      -5.039327361,       -3.94145043,      -8.228073614
          0,           0,          32,      -4.571416041,      -4.702369525,      -5.017365001,      -3.953783225,      -8.375574272
          0,           0,          33,      -4.578136215,      -4.720854604,      -4.994180522,      -3.962663459,      -8.377025855
          0,           0,          34,      -4.570703636,      -4.731573776,      -4.970614659,      -3.958250424,      -8.377161861
          0,           0,          35,      -4.553110879,      -4.739961934,      -4.947764638,      -3.942694974,      -8.369091361
          0,           0,          36,      -4.534612926,       -4.74720327,      -4.923878486,      -3.926105897,      -8.330224393
          0,           0,          37,      -4.515470343,      -4.746670182,       -4.90067886,      -3.908476215,       -8.37152963
          0,           0,          38,      -4.490410036,      -4.748781304,      -4.876836355,      -3.884344399,      -8.369626814
          0,           0,          39,      -4.466560493,      -4.746679197,      -4.854488726,      -3.861585474,      -8.377216202
          0,           0,          40,      -4.445289743,      -4.743424813,      -4.835249038,      -3.841141231,      -8.374741107
          0,           0,          41,      -4.422365288,        -4.7403059,      -4.817416967,      -3.818747784,      -8.385405754
          0,           0,          42,      -4.400166488,      -4.738040919,      -4.802451603,      -3.796665952,      -8.368810861
          0,           0,          43,      -4.381076144,      -4.735273549,      -4.789531402,      -3.777772169,      -8.282819246
          0,           0,          44,      -4.366621189,      -4.733921199,      -4.779462292,      -3.763623966,      -8.064735144
          0,           0,          45,       -4.35777777,      -4.732207449,      -4.771353463,      -3.755364651,      -7.733858555
          0,           0,          46,      -4.354295652,      -4.730841489,      -4.765310818,      -3.752760806,      -7.324398149
          0,           0,          47,      -4.354801325,      -4.729403073,      -4.761310331,      -3.754327832,      -6.845064835
          0,           0,          48,      -4.357917917,      -4.714807355,      -4.758745895,      -3.758638067,      -6.294387607
          0,           0,          49,      -4.362325072,      -4.666395667,      -4.756340942,      -3.764274592,       -5.72891789
          0,           0,          50,      -4.366980695,      -4.586732223,      -4.749359182,      -3.770123791,      -5.146564626
          0,           0,          51,      -4.371367622,      -4.513474534,      -4.730065462,      -3.775553622,      -4.556118944
          0,           0,          52,      -4.375504897,      -4.471604197,      -4.695322684,      -3.780510014,      -3.961867298
          0,           0,          53,      -4.379585876,      -4.477930593,      -4.584568882,      -3.784978496,      -3.864778702
          0,           0,          54,      -4.384938653,      -4.548233341,      -4.666459394,      -3.790559046,      -3.889632969
          0,           0,          55,      -4.391127059,      -4.561289103,      -4.688958203,      -3.796673514,      -3.960376657
          0,           0,          56,      -4.399111866,      -4.559247916,       -4.69852916,      -3.804490161,      -4.043419587
          0,           0,          57,      -4.409117968,      -4.527260597,      -4.731379286,      -3.814073969,      -4.241636111
          0,           0,          58,      -4.420996971,      -4.517049355,      -4.702042167,      -3.825411614,      -4.184883217
          0,           0,          59,      -4.434158489,      -4.627133156,      -4.745513174,      -3.837919345,      -4.287763562
          0,           0,          60,      -4.447942374,      -4.615765371,      -4.823314514,      -3.851180332,       -4.39658905
          0,           0,          61,      -4.463399002,      -4.637015945,      -4.880535706,      -3.866278444,      -4.503199015
          0,           0,          62,       -4.48056833,      -4.623730333,      -4.914196649,      -3.883181422,      -4.617100731
          0,           0,          63,      -4.499521025,      -4.621671339,      -4.940263953,      -3.901867568,      -4.728635257
          0,           0,          64,      -4.520236172,      -4.570165662,      -4.934449212,      -3.922303645,      -4.854357567
          0,           0,          65,      -4.542278848,      -4.565155898,       -4.92406592,      -3.944049337,      -4.866424823
          0,           0,          66,      -4.565616738,      -4.631237729,      -4.965289424,      -3.967056222,      -4.800638057
          0,           0,          67,      -4.589958127,      -4.729998578,      -5.023741265,      -3.991052859,      -4.724302226
          0,           0,          68,      -4.615121751,      -4.767567614,      -5.067419563,      -4.015786614,      -4.637636403
          0,           0,          69,      -4.641074516,      -4.780558733,      -5.094809757,      -4.041281587,      -4.525498961
          0,           0,          70,      -4.667767365,       -4.78240125,      -5.105849157,       -4.06759388,      -4.364549385
          0,           0,          71,      -4.695002933,      -4.734316258,      -4.983109263,      -4.094580388,      -3.787543062
          0,           0,          72,      -4.721337889,      -4.731059661,      -5.066667761,      -4.120770074,      -4.528048934
          0,           0,          73,      -4.748229003,      -4.719387391,      -5.096735949,      -4.148057299,      -4.690361866
          0,           0,          74,      -4.773025937,      -4.694854049,      -5.135176261,      -4.173586407,      -4.674741813
          0,           0,          75,      -4.796258605,      -4.672878879,      -5.145332255,      -4.197672599,      -4.688531243
          0,           0,          76,      -4.815551706,      -4.665698898,      -5.149092235,      -4.218166474,      -4.574820409
          0,           0,          77,      -4.828823782,      -4.667324768,      -5.209109323,      -4.232135604,      -4.617293158
          0,           0,          78,      -4.835569225,      -4.648638294,      -5.221309286,      -4.238963074,      -4.621665315
          0,           0,          79,      -4.836806622,      -4.619275866,      -5.178429427,      -4.239429618,      -4.639223843
          0,           0,          80,      -4.833955782,      -4.607616863,      -5.109404853,      -4.235193464,      -4.661107322
          0,           0,          81,      -4.828778795,      -4.710675002,       -5.21623066,      -4.228498524,      -4.633864282
          0,           0,          82,      -4.822599161,      -4.744783782,      -5.261483041,      -4.220663007,      -4.694087826
          0,           0,          83,      -4.814909204,      -4.758349174,      -5.294566042,       -4.21120487,      -4.743998437
          0,           0,          84,      -4.807252941,      -4.761318442,      -5.316557995,      -4.201707114,      -4.770831332
          0,           0,          85,      -4.800521404,      -4.725353044,      -5.309272202,      -4.193021904,      -4.766271779
          0,           0,          86,      -4.797979405,      -4.676427904,      -5.235765045,      -4.188731885,      -4.801637995
          0,           0,          87,      -4.799401943,      -4.580382801,      -5.211333378,      -4.188741436,      -4.819695988
          0,           0,          88,      -4.801571205,      -4.559069832,      -5.142376724,      -4.190130662,      -4.833460688
          0,           0,          89,      -4.803407511,      -4.641493097,      -5.190763497,      -4.191830516,       -4.85422471
          0,           0,          90,      -4.808728397,      -4.627859495,      -5.140012883,       -4.19770405,      -4.875672902
          0,           0,          91,      -4.816990191,      -4.652817452,        -5.0437098,      -4.206918961,       -4.80777257
          0,           0,          92,      -4.828744078,      -4.810233527,      -5.244653045,      -4.220046842,       -4.75139243
          0,           0,          93,      -4.842842139,       -4.82381489,      -5.278439392,       -4.23559468,      -4.536503914
          0,           0,          94,      -4.855978407,      -4.854845645,      -5.404085526,      -4.250318294,      -4.670366424
          0,           0,          95,      -4.866736874,      -4.865740611,      -5.411447073,      -4.262162413,      -4.690463277
          0,           0,          96,      -4.873849277,      -4.874522687,      -5.412820946,      -4.269830273,      -4.689969602
          0,           0,          97,      -4.876919108,      -4.881184768,      -5.402505161,      -4.272855246,       -4.68881943
          0,           0,          98,      -4.876779313,      -4.894988794,       -5.41157624,      -4.272138933,      -4.691286259
          0,           0,          99,      -4.874832471,      -4.888833058,      -5.409888306,      -4.269355129,      -4.699472904
          0,           0,         100,       -4.87171286,      -4.893092833,      -5.409394986,      -4.265321504,       -4.71331236
          0,           0,         101,      -4.868939783,       -4.90506222,       -5.40994873,      -4.261548039,      -4.725890094
          0,           0,         102,      -4.867502685,      -4.918734184,      -5.411362615,      -4.259162447,      -4.742017082
          0,           0,         103,      -4.867556757,      -4.935264925,      -5.413674744,      -4.258381311,       -4.75860645
          0,           0,         104,      -4.869368752,      -4.949500998,      -5.417115781,      -4.259474295,      -4.775478098
          0,           0,         105,      -4.872862244,      -4.961693185,      -5.423034945,      -4.262353861,      -4.792414903
          0,           0,         106,      -4.877908719,       -4.97154899,      -5.430443517,      -4.266879376,      -4.809202095
          0,           0,         107,      -4.884450062,       -4.98199971,      -5.439289822,      -4.272984163,      -4.825461583
          0,           0,         108,      -4.892007177,      -4.997616829,       -5.44890494,      -4.280156398,      -4.841455877
          0,           0,         109,      -4.900611325,      -5.014486461,      -5.459386708,      -4.288402133,      -4.856564884
          0,           0,         110,      -4.909952537,      -5.032074432,        -5.4712164,      -4.297427235,      -4.870559352
          0,           0,         111,       -4.91957386,      -5.048871249,      -5.482842344,      -4.306782173,      -4.883351312
          0,           0,         112,      -4.929685723,      -5.062038567,      -5.493454966,      -4.316664155,      -4.894927228
          0,           0,         113,       -4.93992581,      -5.065961458,      -5.504119793,       -4.32672207,      -4.905390534
          0,           0,         114,      -4.950513646,      -5.060498197,      -5.514189678,      -4.337181125,      -4.914589795
          0,           0,         115,      -4.961205041,      -5.069014743,      -5.525480149,      -4.347732303,      -4.922564607
          0,           0,         116,      -4.972400609,      -5.085257668,      -5.537013057,      -4.358714251,      -4.929424423
          0,           0,         117,      -4.984216285,      -5.105924116,      -5.548851519,      -4.370266886,      -4.935308283
          0,           0,         118,      -4.996287062,      -5.108950988,      -5.557066675,      -4.382066637,      -4.940340356
          0,           0,         119,      -5.008672254,       -5.13827383,      -5.567233036,      -4.394185306,      -4.945061064
          0,           0,         120,      -5.020945003,      -5.158846224,      -5.582550425,      -4.406271867,      -4.949280587
          0,           0,         121,      -5.033089138,      -5.149260706,      -5.593187859,       -4.41834593,      -4.952970671
          0,           0,         122,      -5.044846425,      -5.155361597,      -5.602942171,      -4.430075683,       -4.95604047
          0,           0,         123,      -5.056988236,      -5.170756537,      -5.614245666,      -4.442025204,      -4.958426832
          0,           0,         124,      -5.069958407,      -5.182384783,      -5.625637534,       -4.45468135,      -4.960086856
          0,           0,         125,      -5.083747474,      -5.173892364,      -5.637510367,      -4.468141926,      -4.961011573
          0,           0,         126,      -5.098094077,      -5.197763253,      -5.651609819,      -4.482188529,      -4.961394268
          0,           0,         127,      -5.113186845,      -5.230156943,      -5.666349584,      -4.497002328,      -4.961092519
          0,           0,         128,      -5.128944256,      -5.258077713,      -5.681709432,      -4.512482386,      -4.960129544
          0,           0,         129,      -5.145354226,      -5.284748329,      -5.697851367,       -4.52860625,      -4.958596371
          0,           0,         130,       -5.16212498,       -5.31314148,      -5.715236586,      -4.545089613,      -4.956556302
          0,           0,         131,      -5.179377482,      -5.340630936,      -5.733005808,      -4.562045237,      -4.954070436
          0,           0,         132,        -5.1968259,      -5.364268006,      -5.751769158,      -4.579207807,      -4.951193873
