"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -6.709790204,      -7.571146623,      -7.787236086,                 0,       43.82429791,    -0.04286123602,      0.1198632239
          1,              0.01,      -6.821342176,      -7.696448834,      -8.051464577,                 0,      -8.674072706,      0.0383281498,      0.1196208578
          2,              0.02,      -6.834389923,      -7.665008669,      -8.102010183,                 0,       1.390490908,    0.009634871193,      0.1195717042
          3,              0.03,      -6.757176482,      -7.536251781,      -8.087268888,                 0,       1.862731766,    -0.01252600662,      0.1196233742
          4,              0.04,      -7.046233194,      -7.735564922,      -8.444072316,                 0,        1.82536234,   -0.005468234329,      0.1196537537
          5,              0.05,      -7.137984758,      -7.875888461,      -8.480900548,                 0,       1.835925888,  -2.310216661e-05,      0.1196324226
          6,              0.06,      -7.176371777,      -7.894458498,      -8.547807931,                 0,       1.869315677,    0.002749511594,      0.1195904407
          7,              0.07,      -7.706792048,      -8.472261483,      -8.924354272,                 0,       1.897341954,    0.003319363832,      0.1195617368
          8,              0.08,      -7.732593445,      -8.450621336,      -9.030187246,                 0,       1.907114729,    0.001324621152,      0.1195549153
          9,              0.09,      -7.757411176,      -8.490924011,      -9.052995588,                 0,       1.910772529,   -0.001056948446,      0.1195621574
         10,               0.1,      -8.032258051,      -8.804207627,      -9.232421576,                 0,       1.923933606,   -0.001531169843,      0.1195697807
         11,              0.11,      -8.243469402,      -9.026286471,      -9.369942237,                 0,       1.950087337,  -0.0006999025687,      0.1195687622
         12,              0.12,      -8.211942143,      -8.975252944,      -9.310852826,                 0,       1.981447725,   0.0005274744174,       0.119557703
         13,              0.13,      -8.220779642,      -8.993198962,      -9.339892016,                 0,       2.009525832,   0.0008722540265,      0.1195401051
         14,              0.14,      -8.339796264,      -9.117902617,      -9.525907898,                 0,       2.028827635,   0.0002997556738,      0.1195204882
         15,              0.15,      -8.587820474,      -9.369354887,      -9.798997659,                 0,       2.039748222,  -0.0003082350696,      0.1195017466
         16,              0.16,       -8.63647433,      -9.411880854,      -9.750265395,                 0,       2.045261097,  -0.0004694720256,      0.1194847846
         17,              0.17,      -8.504687121,      -9.299792919,      -9.674952405,                 0,       2.047781455,  -0.0005181720359,      0.1194697132
         18,              0.18,      -8.451045994,      -9.249099743,      -9.678193872,                 0,       2.046568494,  -0.0003769589556,      0.1194565433
         19,              0.19,      -8.486312893,      -9.286089776,      -9.733467658,                 0,       2.042627555,  -0.0002035217353,      0.1194450942
         20,               0.2,      -8.635087297,      -9.439711404,      -9.876771068,                 0,       2.036190635,  -0.0001505804361,      0.1194347625
         21,              0.21,       -8.99362154,      -9.795220907,      -10.17233095,                 0,       2.027178354,  -0.0001751358941,      0.1194248379
         22,              0.22,      -9.151738194,      -9.958048735,      -10.21994735,                 0,        2.01598708,  -0.0001784090515,      0.1194147506
         23,              0.23,      -8.762344947,      -9.564523221,      -9.950749964,                 0,       2.004609725,  -0.0001509041362,       0.119403916
         24,              0.24,      -8.631429219,      -9.434503773,      -9.853582501,                 0,       1.990457668,  -0.0001351767914,      0.1193920037
         25,              0.25,      -8.639464923,      -9.443026103,      -9.866201121,                 0,       1.976556818,  -4.692916836e-05,      0.1193790137
         26,              0.26,      -8.774179175,      -9.575661334,      -9.984444902,                 0,       1.962761129,   1.344862509e-05,      0.1193651312
         27,              0.27,      -9.109798399,       -9.91308202,      -10.23513233,                 0,       1.948787394,   3.931957585e-05,      0.1193507044
         28,              0.28,      -9.355509449,      -10.13174477,      -10.42564419,                 0,       1.935262479,   7.305794562e-05,      0.1193361043
         29,              0.29,      -8.986760378,      -9.779641058,      -10.21354056,                 0,       1.922630224,   8.613345742e-05,      0.1193216712
         30,               0.3,      -8.862415461,      -9.660290744,      -10.09927437,                 0,       1.908758474,   4.103334533e-05,      0.1193077688
         31,              0.31,      -8.862506887,      -9.664854545,      -10.09679534,                 0,       1.895846049,   6.508038511e-05,      0.1192946895
         32,              0.32,      -8.951040943,       -9.76369578,      -10.18235338,                 0,       1.883619186,   9.928658286e-05,      0.1192824791
         33,              0.33,      -9.136530886,      -9.962915318,      -10.36156031,                 0,       1.871891758,   0.0001272755408,      0.1192709582
         34,              0.34,      -9.461962182,      -10.31507484,      -10.58131186,                 0,       1.860481338,   0.0001459001056,      0.1192598301
         35,              0.35,      -9.412807682,      -10.20647335,      -10.44021458,                 0,       1.850465101,   0.0001933778882,      0.1192487475
         36,              0.36,      -9.134684863,      -9.936601717,      -10.27949051,                 0,       1.840324359,   0.0002125888481,      0.1192373473
         37,              0.37,      -9.007873682,      -9.818269421,      -10.20482686,                 0,       1.829786867,   0.0002056742623,       0.119225416
         38,              0.38,      -8.992855652,      -9.805376374,      -10.20656952,                 0,       1.819900312,   0.0002200698646,      0.1192129184
         39,              0.39,      -9.083202573,      -9.891342481,      -10.28550714,                 0,       1.810492474,   0.0002327117008,      0.1191999582
         40,               0.4,      -9.314785155,      -10.12097273,      -10.44501036,                 0,       1.801392835,   0.0002327726185,      0.1191867298
         41,              0.41,      -9.635502224,      -10.47100748,      -10.64017026,                 0,       1.792530169,   0.0002288438697,      0.1191734455
         42,              0.42,      -9.431614652,      -10.26153548,      -10.60744894,                 0,       1.785230397,   0.0002659870156,       0.119160247
         43,              0.43,       -9.25593561,      -10.07284198,      -10.50478427,                 0,       1.777163259,   0.0002504626438,       0.119147261
         44,              0.44,      -9.203698215,      -10.01200981,      -10.45495202,                 0,       1.769073836,   0.0002227047346,       0.119134595
         45,              0.45,      -9.240883809,      -10.04529564,      -10.47955677,                 0,       1.761425137,   0.0002241883686,      0.1191222844
