"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,           9,      -6.542717379,      -3.935350252,      -3.975428017,      -1.074716459,      -2.818604259,      0.9329898399,      0.7958884574,       1.187552977,                 0,                 0,                 0,       0.318545782,      0.6673954094,       1.264240435,                 0,       1.492109812,     0.00383426243,      -1.022630639,      -1.018278739,     -0.4174112059,      -1.031282817,      -2.389413804,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,           9,      -6.553026751,      -4.008094909,      -4.072094914,      -1.091554107,      -3.169062004,      0.9329898399,      0.5177266137,       1.056685799,                 0,                 0,                 0,      0.2022963389,      0.4044367104,       1.105014331,                 0,       2.041011165,    0.005040491808,     -0.1571242473,     -0.1548412316,     -0.2452130754,     -0.1606321163,     -0.6515361598,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,           9,      -6.609940402,      -4.134848797,      -4.191215658,      -1.143176127,      -3.233207473,      0.9329898399,       0.342021484,      0.8238167803,                 0,                 0,                 0,     0.04367932624,      0.2540355525,      0.8550548059,                 0,       2.408669685,    0.006262541963,     -0.2600615204,     -0.3064221478,     -0.3668691933,     -0.2528484466,     -0.4865164341,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,           9,      -6.673385443,      -4.200995118,      -4.238507308,      -1.205510039,      -3.251544696,      0.9329898399,      0.2522906936,      0.5997436215,                 0,                 0,                 0,    -0.03120456203,      0.1882183397,      0.6228297217,                 0,       2.377192805,    0.005783497018,     -0.4138320063,     -0.4370974829,     -0.4585215827,     -0.4035391085,     -0.5093599182,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,           9,      -6.767090277,      -4.288689664,      -4.258171339,      -1.293239843,      -3.303299684,      0.9329898399,      0.2223740566,      0.4633850581,                 0,                 0,                 0,    -0.03241657744,      0.1727189403,      0.4840910046,                 0,       2.083808989,    0.008384390432,     -0.5766752304,     -0.5610411574,     -0.5036816648,     -0.5579371607,     -0.6176276084,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,           9,      -6.853282584,      -4.350595911,      -4.305563834,      -1.377685635,      -3.337886198,      0.9329898399,      0.2368512692,      0.5139160736,                 0,                 0,                 0,    -0.00763476128,      0.1818349158,      0.5358584868,                 0,       2.169783912,     0.01269405442,     -0.6828174988,      -0.605968935,     -0.5270423512,      -0.659294909,     -0.7111355392,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,           9,      -6.832902587,      -4.355980298,       -4.30502425,      -1.361620199,      -3.389215295,      0.9329898399,      0.2839545025,      0.7301931357,                 0,                 0,                 0,     0.02984109375,      0.2060730037,      0.7558743891,                 0,       2.571514554,     0.01392903808,     -0.6617298605,     -0.5751619388,     -0.5442250714,     -0.6407967324,     -0.8317600943,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,      -6.852473387,      -4.362243904,      -4.365533855,      -1.380501487,      -3.436524093,      0.9329898399,      0.3390265058,      0.9939624358,                 0,                 0,                 0,     0.07006386042,      0.2332719172,       1.023955325,                 0,        2.93181335,     0.01516956709,      -0.720993833,     -0.5997955041,     -0.6557254862,     -0.6948736417,     -0.9532271574,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -6.919781042,      -4.350661464,      -4.434626955,      -1.441518828,      -3.489104121,      0.9329898399,      0.3667507662,       1.183392008,                 0,                 0,                 0,     0.09295616952,      0.2410435191,       1.215245156,                 0,       3.226692667,      0.0164186673,     -0.7633350558,      -0.581396893,     -0.6627493997,     -0.7300186201,      -1.048355589,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,           9,      -6.981057244,      -4.326221413,      -4.462668786,      -1.493333221,      -3.592217097,      0.9329898399,      0.3627860871,       1.228518556,                 0,                 0,                 0,     0.08814526842,      0.2323835502,       1.259710075,                 0,       3.386344183,     0.01905158336,     -0.7231330071,     -0.4944313992,     -0.6030684586,     -0.6875809481,      -1.184009189,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
