"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
          0,           9,      -6.558589565,      -3.932194795,      -3.993324889,      -1.092946548,      -2.822137627,      0.9329898399,      0.7464693642,       1.131055929,                 0,                 0,                 0,      0.2885996123,      0.6241525888,       1.202887182,                 0,       1.515207433,    0.003842504143,      -1.038502825,       -1.01418343,      -0.404588424,      -1.049512906,      -2.392952383,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          1,           9,      -6.632037671,      -4.111435141,      -4.184106899,      -1.172782676,      -3.234176321,      0.9329898399,      0.4271149918,      0.8791581257,                 0,                 0,                 0,      0.1207104761,      0.3328781633,      0.9189876792,                 0,       2.058364006,    0.005046390494,     -0.1925279484,     -0.2446425223,     -0.3237633922,     -0.1969427591,     -0.6914248495,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          2,           9,      -6.691862704,      -4.224080479,       -4.29496158,       -1.22851992,      -3.283195242,      0.9329898399,      0.2725458563,       0.609380835,                 0,                 0,                 0,    -0.01607235363,      0.2073551794,      0.6345313826,                 0,        2.23588369,    0.006266782648,      -0.315794903,     -0.3792542651,     -0.4370991405,     -0.3107915054,     -0.5005443531,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          3,           9,      -6.820960624,      -4.339859755,      -4.356368752,      -1.355968804,      -3.376456118,      0.9329898399,      0.2182649012,      0.4471871925,                 0,                 0,                 0,    -0.03583943332,      0.1703254332,       0.467552349,                 0,       2.048827777,    0.007157594584,     -0.5340726699,     -0.5562973679,     -0.5421532582,      -0.524725249,     -0.5849303982,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          4,           9,      -6.967035702,      -4.456734648,      -4.410401922,      -1.498002399,       -3.44146769,      0.9329898399,      0.2265430007,      0.4772750714,                 0,                 0,                 0,    -0.01133936583,      0.1754131447,      0.4983407004,                 0,        2.10677474,    0.008386642506,     -0.7215154859,     -0.6598884649,     -0.5702408175,     -0.7034012866,     -0.7283173072,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          5,           9,      -6.992333182,      -4.466173961,      -4.422602534,      -1.525454684,      -3.435306481,      0.9329898399,      0.2660235452,      0.6842692242,                 0,                 0,                 0,     0.02442439382,      0.1930406299,      0.7083277581,                 0,       2.572213011,     0.01269572867,      -0.742615809,      -0.620901921,     -0.5493669563,     -0.7241735461,     -0.8060258225,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          6,           9,      -7.030891969,      -4.475720078,       -4.47757953,      -1.566263973,      -3.504976656,      0.9329898399,      0.3031014589,      0.9165565537,                 0,                 0,                 0,     0.05411003701,      0.2056347893,      0.9432182907,                 0,       3.023926566,     0.01393030433,     -0.8022070192,     -0.6037056775,     -0.6634126304,     -0.7831120761,      -0.958160158,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          7,           9,      -7.072736897,      -4.441984546,      -4.518680277,       -1.60091049,      -3.574661504,      0.9329898399,      0.3198358846,       1.063775309,                 0,                 0,                 0,      0.0715736932,      0.2068889918,        1.09137979,                 0,       3.326003617,     0.01654295736,     -0.8498406016,     -0.5859255275,     -0.6853727489,     -0.8198601288,      -1.085366242,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          8,           9,      -7.145865282,      -4.420843148,       -4.55839517,      -1.661272782,      -3.665082341,      0.9329898399,      0.3179506499,       1.100956225,                 0,                 0,                 0,     0.06362552244,      0.2011276206,       1.128159965,                 0,       3.462663862,     0.01916440935,     -0.8335490715,     -0.5140885332,     -0.6228846347,     -0.7955500799,      -1.207516814,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
          9,           9,      -7.241851023,      -4.427439853,       -4.61466689,      -1.740709328,      -3.672037753,      0.9329898399,      0.3109913297,       1.090589941,                 0,                 0,                 0,     0.04108874878,      0.1952899961,       1.117123021,                 0,       3.506817833,     0.02042474749,      -0.889408997,     -0.5137726373,     -0.7012055096,     -0.8402861627,      -1.246630916,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
