"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.831253576,      -12.13958265,      -12.13146394,      -12.13900926,       2.332281853
          0,           0,           1,      -2.810403052,     -0.3748305691,     -0.4583295694,     -0.4729444108,       2.562564759
          0,           0,           2,      -2.763377341,     -0.2384524444,     -0.3097083471,     -0.3323170463,       2.676014635
          0,           0,           3,      -2.762944189,      -0.203442538,     -0.2834068574,     -0.2970871968,       2.683977073
          0,           0,           4,      -2.829175872,     -0.2192358847,     -0.3348280636,     -0.3507998593,       2.617529116
          0,           0,           5,       -2.93383638,     -0.2525200125,     -0.4080183933,      -0.418264095,       2.521798555
          0,           0,           6,      -3.016647149,     -0.2959377491,     -0.4655961883,     -0.4751655205,       2.439760936
          0,           0,           7,      -3.067611496,     -0.3461299135,     -0.5125117562,     -0.5213862047,       2.387181705
          0,           0,           8,      -3.095876923,     -0.3981720439,     -0.5515943118,     -0.5558275686,       2.357669131
          0,           0,           9,      -3.120099179,     -0.4480131119,     -0.5824095519,     -0.5829739108,       2.334177305
          0,           0,          10,      -3.154282632,     -0.4935994633,     -0.6096979467,     -0.6100711597,       2.302429604
          0,           0,          11,      -3.205811572,     -0.5349110905,     -0.6395362611,     -0.6413368941,       2.251842879
          0,           0,          12,      -3.276669293,     -0.5728950479,     -0.6735459538,     -0.6758432735,         2.1762475
          0,           0,          13,      -3.350810825,     -0.6081741018,     -0.7059973442,      -0.706601169,       2.086965051
          0,           0,          14,      -3.377788769,     -0.6404533211,     -0.7256269134,     -0.7226304387,         2.0404166
          0,           0,          15,      -3.330011739,     -0.6693434927,     -0.7260318006,     -0.7191222819,       2.089518714
          0,           0,          16,      -3.259407167,     -0.6950998547,     -0.7142123194,     -0.7042891927,       2.174075979
          0,           0,          17,      -3.208419915,      -0.718975815,     -0.7035564515,     -0.6914203683,        2.23769681
          0,           0,          18,      -3.188161631,     -0.7428796997,     -0.7038686287,     -0.6898491542,       2.267621925
          0,           0,          19,      -3.199167138,     -0.7685577686,     -0.7194450667,     -0.7035775195,       2.264172287
          0,           0,          20,      -3.240169164,     -0.7967849749,     -0.7505527335,     -0.7327781111,       2.229098558
          0,           0,          21,      -3.309057166,      -0.826995958,     -0.7940370557,     -0.7744300706,       2.164102503
          0,           0,          22,      -3.399472268,     -0.8574818863,     -0.8428230986,     -0.8218942286,       2.073515616
          0,           0,          23,       -3.49510782,     -0.8860182643,     -0.8872301716,     -0.8660637681,       1.969329521
          0,           0,          24,       -3.56428073,     -0.9111568602,     -0.9187358263,     -0.8985907796,       1.882019111
          0,           0,          25,      -3.587335883,     -0.9330045862,     -0.9363858934,      -0.917795644,       1.844587272
          0,           0,          26,      -3.587440275,     -0.9530774491,     -0.9471220442,     -0.9295519778,        1.84354894
          0,           0,          27,      -3.595176137,     -0.9731094961,     -0.9585224146,     -0.9410413381,        1.84167475
          0,           0,          28,      -3.622227508,     -0.9939942123,     -0.9738062401,     -0.9557423775,         1.8211768
          0,           0,          29,      -3.665462244,      -1.015407745,     -0.9917583285,     -0.9729679697,       1.782962436
          0,           0,          30,      -3.712120193,      -1.035994785,      -1.008942862,     -0.9897721777,       1.739224232
          0,           0,          31,      -3.746474888,      -1.054192128,      -1.022468344,       -1.00345473,       1.706478064
          0,           0,          32,      -3.761783519,      -1.069045743,      -1.031640553,      -1.013241687,       1.693495392
          0,           0,          33,      -3.766682455,      -1.080529361,      -1.037881845,      -1.020299358,       1.692732969
          0,           0,          34,      -3.774221505,      -1.089416486,       -1.04314768,      -1.026296959,       1.690571632
          0,           0,          35,      -3.790705435,      -1.096697355,      -1.048412211,      -1.032058076,        1.67966486
