"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         499,                 0,      -5.990187848,      -4.396933779,      -3.417984139,      0.4107233555,      -2.788475702
          1,           0,         499,    0.002355502561,      -6.803498493,      -5.295934856,      -4.278593932,     -0.7507436974,       -3.26291663
          2,           0,         499,    0.004711005123,      -7.085836231,      -5.523893549,      -4.775600328,      -1.701679162,      -4.080480551
          3,           0,         499,    0.007066507684,      -7.114596569,      -5.625755666,       -4.79668005,       -1.73058724,      -3.989466416
          4,           0,         499,    0.009422010245,      -6.991300384,      -5.596980428,      -4.829604108,      -1.613437978,      -3.982153233
          5,           0,         499,     0.01177751281,      -6.911397295,      -5.536374974,      -4.890369947,       -1.54604889,       -3.97375776
          6,           0,         499,     0.01413301537,      -6.880112363,      -5.639948382,      -4.957265804,      -1.540867931,      -3.969857499
          7,           0,         499,     0.01648851793,      -6.866649494,      -5.692163296,      -5.104191656,      -1.522775107,      -4.001421646
          8,           0,         499,     0.01884402049,      -6.890804974,      -5.805401484,      -4.769433347,      -1.536540464,      -4.085235784
          9,           0,         499,     0.02119952305,       -6.95283277,      -5.777532338,      -4.475873067,      -1.584412701,      -4.209450872
         10,           0,         499,     0.02355502561,      -7.018329495,      -5.743620863,      -4.339466181,      -1.642972713,      -4.265457593
         11,           0,         499,     0.02591052817,      -7.109876647,      -5.823171904,      -4.315559956,       -1.72579522,      -4.188480497
         12,           0,         499,     0.02826603074,      -7.224022897,      -5.946397539,      -4.375655628,      -1.831168243,      -4.100494527
         13,           0,         499,      0.0306215333,      -7.337367542,       -6.00739626,      -4.502458997,      -1.950908334,      -4.002007928
         14,           0,         499,     0.03297703586,      -7.361495434,      -5.924388462,      -4.664227284,      -1.987196096,      -3.996644302
         15,           0,         499,     0.03533253842,      -7.265058485,      -5.930212607,      -4.752625434,      -1.887378652,      -4.070904061
         16,           0,         499,     0.03768804098,      -7.166085701,      -5.938459369,      -4.786518489,      -1.797863932,      -4.135729351
         17,           0,         499,     0.04004354354,      -7.078566717,      -5.919061944,      -4.921018996,       -1.73280981,      -4.151399772
         18,           0,         499,      0.0423990461,        -6.9948868,      -5.885912694,      -5.175346914,      -1.668320408,      -4.171216815
         19,           0,         499,     0.04475454866,      -6.915478971,      -5.885329399,      -5.161417705,       -1.59101867,      -4.146582309
         20,           0,         499,     0.04711005123,        -6.8891123,      -5.917279912,      -5.071496889,       -1.55448898,      -4.192805573
         21,           0,         499,     0.04946555379,      -6.893335041,      -5.815912574,      -4.687714581,       -1.54081623,      -4.319639073
         22,           0,         499,     0.05182105635,      -6.934962618,       -5.78295624,      -4.469296587,      -1.563770856,      -4.245869785
         23,           0,         499,     0.05417655891,      -7.028959971,      -5.784166575,      -4.397800457,      -1.323475756,      -4.256672136
