Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.0867,231070,0,-299.245,-2.08358e-08,299.245,0.236365,13.2491,-86.14,0.111955,87.153,-0.0139052,0,1.14303,1.14312,90988.9,-0.189472,291.688,12.2527,-79.3133,0.106928,80.2542
1,1.07725,230492,0,-299.246,-2.38241e-08,299.246,0.260329,23.489,-92.7479,0.217017,95.6763,-0.0131267,0,1.14304,1.14311,90465.9,-0.199058,292.558,21.9556,-86.1944,0.191603,88.9469
2,1.0849,221541,0,-299.235,-3.45597e-09,299.235,0.17352,21.8974,-36.0274,-32.2811,53.0994,-0.0181232,0,1.14299,1.14314,87812.7,-0.247694,281.972,20.1828,-33.2304,-29.7416,48.9507
3,1.04513,218286,0,-299.265,6.13307e-10,299.265,0.227802,34.8877,-60.3836,16.69,71.7069,-0.00487856,0,1.14311,1.14312,86059,-0.279841,287.067,33.3942,-59.0922,14.8316,69.4769
4,1.12899,229053,0,-299.276,-1.5482e-08,299.276,0.180557,35.3906,-15.8377,56.3216,68.3773,-4.64593e-05,0,1.14315,1.14315,90789.7,-0.193123,280.142,31.3477,-14.0288,49.8875,60.5661
5,1.08449,217817,0,-299.231,1.97227e-09,299.231,0.145833,22.6923,-16.0367,-44.9182,52.8182,-0.0198534,0,1.14298,1.14315,86610.9,-0.269725,278.214,20.9223,-14.7953,-41.4211,48.7067
6,1.00899,213159,0,-299.262,8.65001e-09,299.262,0.239689,32.3602,-75.8683,0.290122,82.4819,-0.00637191,0,1.1431,1.14311,83912.1,-0.319195,289.71,32.0349,-75.1831,0.279564,81.724
7,1.01684,215823,0,-299.26,-1.45647e-08,299.26,0.254694,36.192,-80.8547,0.309095,88.5858,-0.00721499,0,1.14309,1.14311,84762,-0.303617,290.377,35.5509,-79.4344,0.310248,87.0275
8,1.10314,231086,0,299.246,-3.3021e-09,299.246,0.245516,15.1206,89.1149,-0.154891,90.3887,-0.013123,0,-1.14304,1.14311,90863.8,-0.191764,286.947,14.1842,81.0819,-0.123784,82.3133
9,1.10534,230905,0,299.245,1.16745e-08,299.245,0.231464,8.56503,86.3648,-0.0864775,86.7885,-0.0138975,0,-1.14303,1.14312,90996.9,-0.189324,286.787,7.7704,78.1867,-0.0678113,78.5719
