Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.19595,246978,0,-37.4611,-7.47342,38.1993,0.107097,6.55742,-42.0586,-8.88036,43.4832,-0.00262152,-0.0285464,0.143091,0.145934,98474.2,-0.0522581,286.836,5.45574,-35.1486,-7.42581,36.3364
1,1.19587,247045,0,-37.4618,-7.80511,38.2663,0.11108,4.48612,-43.9878,-9.30439,45.1843,-0.00230555,-0.0298133,0.143094,0.146185,98474.2,-0.0522581,286.853,3.75117,-36.7134,-7.77237,37.7141
2,1.19599,247385,0,-37.4571,-10.0357,38.7782,0.131934,-4.04619,-51.9826,-12.0371,53.5112,-0.0043969,-0.0383335,0.143075,0.148187,98474.2,-0.0522581,286.831,-3.39372,-43.4649,-10.0653,44.744
3,1.19627,247416,0,-37.4564,-10.0586,38.7834,0.133565,-5.35266,-52.6136,-12.0788,54.247,-0.00470207,-0.0384209,0.143073,0.148216,98474.2,-0.0522581,286.764,-4.47389,-43.9756,-10.0976,45.3413
4,1.19312,246658,0,-37.4477,-10.0277,38.7671,0.0818627,3.57209,-30.3216,-11.9312,32.7798,-0.00848433,-0.0383028,0.14304,0.148322,98474.2,-0.0522581,287.513,3.04838,-25.4913,-10.0011,27.5522
5,1.19346,246729,0,-37.4479,-10.0871,38.7827,0.0888006,2.08686,-31.8093,-12.0204,34.0687,-0.00838397,-0.0385298,0.143041,0.148376,98474.2,-0.0522581,287.424,1.96349,-26.7666,-10.0699,28.6655
6,1.26299,262200,0,-37.4461,-10.0404,38.7688,0.0750884,-20.6968,-19.5052,-12.8637,31.2135,-0.00917366,-0.0383515,0.143034,0.14837,104712,0.0620779,288.814,-16.2604,-15.4597,-10.1823,24.639
7,1.2633,262264,0,-37.4463,-10.0942,38.783,0.0813721,-22.042,-20.8525,-12.9445,32.9884,-0.00908277,-0.0385571,0.143035,0.148418,104712,0.0620779,288.734,-17.243,-16.6148,-10.2447,26.0447
8,1.18671,246522,0,-37.4908,11.853,39.3199,0.0699162,-6.71379,-24.486,5.31495,25.94,0.0103575,0.0452752,0.143204,0.150547,98474.2,-0.0522581,289.085,-5.67868,-20.6197,4.67442,21.8923
9,1.18513,246590,0,-37.4842,12.9944,39.6727,0.0765112,-3.88268,-27.0529,10.1345,29.1487,0.00750474,0.0496349,0.143179,0.151724,98474.2,-0.0522581,289.466,-3.26779,-22.8375,8.68453,24.6506
10,1.18967,246703,0,-37.4691,3.98316,37.6802,0.0864672,0.141722,-33.069,4.74181,33.4076,0.000878298,0.0152146,0.143121,0.143931,98474.2,-0.0522581,288.357,-0.0477389,-27.7757,3.98275,28.0598
11,1.19041,246637,0,-37.4691,2.46347,37.55,0.0807007,1.01832,-32.0162,2.95427,32.1683,0.000887325,0.00940976,0.143122,0.143433,98474.2,-0.0522581,288.174,0.79685,-26.881,2.47042,27.006
12,1.19545,247012,0,-37.4615,-8.3557,38.382,0.109109,0.3553,-43.1203,-9.98375,44.2625,-0.00247222,-0.0319164,0.143092,0.146629,98474.2,-0.0522581,286.958,0.260424,-36.0273,-8.35342,36.984
13,1.19536,247095,0,-37.462,-8.48703,38.4113,0.113382,3.03772,-44.3895,-10.1212,45.63,-0.00223155,-0.0324181,0.143094,0.146737,98474.2,-0.0522581,286.978,2.42398,-37.0469,-8.46588,38.0791
14,1.26309,262248,0,-37.4446,-9.08874,38.5319,0.079983,-15.0364,-27.2169,-11.6136,33.1923,-0.00984189,-0.0347164,0.143028,0.14751,104712,0.0620779,288.788,-11.7776,-21.5911,-9.19152,26.2559
15,1.26294,262250,0,-37.4446,-9.19619,38.5573,0.0801502,-15.2097,-27.4842,-11.7439,33.5356,-0.00984695,-0.0351269,0.143028,0.147607,104712,0.0620779,288.827,-11.9438,-21.8062,-9.30042,26.5455
16,1.19475,246848,0,-37.4489,-10.1705,38.8054,0.0974052,1.93527,-37.1904,-12.1363,39.1684,-0.00795523,-0.0388485,0.143044,0.148439,98474.2,-0.0522581,287.131,1.68737,-31.0762,-10.1558,32.7371
17,1.19543,247056,0,-37.4495,-10.0636,38.7781,0.10998,3.86767,-42.7431,-11.9963,44.5627,-0.00772383,-0.0384403,0.143046,0.148323,98474.2,-0.0522581,286.968,3.26008,-35.6591,-10.0352,37.1874
