Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.851923,0,2.45146,-0,6.05579e-08,0,0,0,0,0,0,0.950621,0.9,-0.0127501,1.30914,0.980583,-0.0770186,0.00103804,8.95114e-05,0.000100124,0.00104669,1.12946,0,0,0,0,8.58648
1,0.849727,0,2.44501,-0,6.05554e-08,0,0,0,0,0,0,0.945064,0.9,-0.0133011,1.30511,0.978002,-0.0821797,0.00104459,8.69124e-05,9.91314e-05,0.00105288,1.1294,0,0,0,0,8.61568
2,0.844222,0,2.42884,-0,6.05492e-08,0,0,0,0,0,0,0.930174,0.9,-0.0147168,1.29439,0.971534,-0.0951163,0.0010602,8.10272e-05,9.67861e-05,0.00106769,1.12924,0,0,0,0,8.67362
3,0.838343,0,2.41157,-0,6.05425e-08,0,0,0,0,0,0,0.914511,0.9,-0.0161477,1.2832,0.964627,-0.10893,0.00107628,7.51734e-05,9.46131e-05,0.00108304,1.12908,0,0,0,0,8.7328
4,0.831879,0,2.39259,-0,6.05352e-08,0,0,0,0,0,0,0.898133,0.9,-0.0175856,1.27159,0.957036,-0.124113,0.00109548,6.86635e-05,9.25275e-05,0.00110152,1.1289,0,0,0,0,8.78902
5,0.824666,0,2.37143,-0,6.05271e-08,0,0,0,0,0,0,0.881106,0.9,-0.0190153,1.25965,0.94857,-0.141045,0.00111847,6.07943e-05,9.01037e-05,0.00112374,1.1287,0,0,0,0,8.85504
6,0.816895,0,2.34864,-0,6.05186e-08,0,0,0,0,0,0,0.863508,0.9,-0.0204134,1.24742,0.939455,-0.159275,0.00114571,5.10912e-05,8.68087e-05,0.00115013,1.12849,0,0,0,0,8.9337
7,0.885269,0,2.55946,-0,6.07734e-08,0,0,0,0,0,0,1.00698,0.9,0.00660857,1.35057,1.02378,0.00938545,0.000105017,0.000422214,1.51517e-06,0.000435081,1.1348,0,0,0,0,5.53337
8,0.891248,0,2.57674,-0,6.07733e-08,0,0,0,0,0,0,1.01691,0.9,0.00538843,1.35799,1.0307,0.023211,9.6144e-05,0.000427134,2.88708e-06,0.000437831,1.1348,0,0,0,0,5.55207
9,0.896362,0,2.59146,-0,6.07721e-08,0,0,0,0,0,0,1.02612,0.9,0.00422313,1.3649,1.03658,0.0349845,8.73225e-05,0.000432397,4.29633e-06,0.000441147,1.13477,0,0,0,0,5.57473
