Points:0,Pressure_Coefficient
0.83806,0.12934
0.82728,0.11597
0.82728,0.094861
0.81623,0.095472
0.81623,0.082092
0.80466,0.071538
0.80466,0.067886
0.79238,0.048595
0.79238,0.052571
0.77921,0.025155
0.77921,0.034397
0.76504,0.0028621
0.76504,0.014114
0.74975,-0.018303
0.74975,-0.0094243
0.73329,-0.037028
0.73329,-0.036064
0.71562,-0.053502
0.71562,-0.066621
0.69672,-0.067295
0.69672,-0.10105
0.67662,-0.079253
0.67662,-0.13962
0.65536,-0.089843
0.65536,-0.18548
0.63299,-0.10011
0.63299,-0.25385
0.6096,-0.11049
0.6096,-0.36165
0.58528,-0.12126
0.58528,-0.51349
0.56015,-0.66608
0.56015,-0.13182
0.53433,-0.75812
0.53433,-0.14111
0.50795,-0.78548
0.50795,-0.14741
0.48116,-0.77644
0.48116,-0.14902
0.45411,-0.7544
0.45411,-0.14454
0.42696,-0.7303
0.42696,-0.13345
0.39987,-0.11614
0.39987,-0.70513
0.37301,-0.093822
0.37301,-0.67966
0.34655,-0.068155
0.34655,-0.65549
0.32065,-0.040866
0.32065,-0.63495
0.29546,-0.013419
0.29546,-0.61945
0.27114,0.013188
0.27114,-0.60884
0.24781,0.038546
0.24781,-0.60185
0.22562,-0.59708
0.22562,0.062762
0.20466,-0.5922
0.20466,0.086355
0.18506,-0.58751
0.18506,0.11009
0.16688,-0.58913
0.16688,0.13484
0.15019,-0.60866
0.15019,0.1611
0.13503,-0.66238
0.13503,0.18896
0.12142,0.21832
0.12142,-0.77201
0.10936,0.23992
0.10936,-0.91567
0.098801,0.24166
0.098801,-1.0193
0.089722,0.25731
0.089722,-1.0179
0.082152,0.3509
0.082152,-0.87697
0.076138,0.52699
0.076138,-0.60545
0.071645,0.72486
0.071645,-0.25516
0.068528,0.87295
0.068528,0.11942
0.066666,0.90936
0.066666,0.48506
0.066036,0.77753
