"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.455922249,      -9.280824176,      -10.07188228,      -10.04678606,      -3.846666929,      -11.49881533
          0,           0,           1,      -4.888257383,      -4.824447772,      -5.344107277,      -4.564023061,       -4.26064688,      -11.53360101
          0,           0,           2,      -4.925505131,      -4.787336562,      -5.115593212,      -4.832771386,       -4.30765228,      -11.33754466
          0,           0,           3,      -5.009666086,      -4.841445898,      -5.020904724,      -4.853268921,      -4.412354382,      -11.43088216
          0,           0,           4,      -5.009157226,      -4.857565278,      -4.981315266,      -4.825623731,      -4.413159212,      -11.48056463
          0,           0,           5,      -5.011913411,      -4.857199355,       -4.95897733,      -4.805889726,      -4.412640797,      -11.48441907
          0,           0,           6,      -5.034443871,      -4.861958742,      -4.937143783,      -4.803223134,      -4.434844779,      -11.48688884
          0,           0,           7,      -5.061856889,      -4.867564626,      -4.917237801,      -4.814560516,      -4.461595997,       -11.4797284
          0,           0,           8,       -5.07655725,      -4.867347715,      -4.906748429,      -4.829574249,      -4.472349218,      -11.46130857
          0,           0,           9,      -5.079542092,      -4.865666495,      -4.906849428,      -4.840715125,        -4.4692364,      -11.43483454
          0,           0,          10,        -5.0815878,      -4.868619353,      -4.913400005,      -4.848030542,      -4.465808861,       -11.3999384
          0,           0,          11,      -5.088218134,      -4.877785119,      -4.921778119,      -4.855638016,      -4.468944555,      -11.35276632
          0,           0,          12,      -5.099069983,      -4.892170274,       -4.92998676,      -4.866786953,      -4.478407566,       -11.2891113
          0,           0,          13,      -5.112062837,      -4.910681272,      -4.938593041,      -4.882361774,      -4.491580936,      -11.20919199
          0,           0,          14,      -5.125463718,      -4.932600714,      -4.948988133,      -4.901505928,      -4.505783067,      -11.11654054
          0,           0,          15,      -5.138502016,      -4.957168596,      -4.962119854,      -4.922593732,       -4.51925706,      -11.01718065
          0,           0,          16,      -5.152072847,      -4.983530928,      -4.978266737,      -4.944060912,      -4.532339415,      -10.92065816
          0,           0,          17,      -5.166103696,      -5.011103134,      -4.997288246,       -4.96497536,      -4.545192258,      -10.83080984
          0,           0,          18,      -5.181176943,      -5.039864579,      -5.018861089,      -4.985236388,      -4.559055123,      -10.74339429
          0,           0,          19,      -5.198010337,       -5.07019839,      -5.042553841,       -5.00538691,      -4.575267269,      -10.65360515
          0,           0,          20,      -5.216924763,      -5.102493884,       -5.06783362,      -5.026177136,      -4.594467255,      -10.56406744
          0,           0,          21,      -5.236148775,      -5.137070179,      -5.094113229,      -5.048212408,      -4.614957393,      -10.47189727
